#	startTime:1560825005888
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560825005888	TYPE_WAYPOINT	124.46223	63.962784
1560825006053	TYPE_ACCELEROMETER	0.8307953	1.3000488	8.844177
1560825006053	TYPE_MAGNETIC_FIELD	17.82	-10.139999	-34.2
1560825006053	TYPE_GYROSCOPE	-0.09553528	0.08744812	-0.07316589
1560825006053	TYPE_ROTATION_VECTOR	0.08091016	0.02777797	0.7802088
1560825006053	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.199997	9.48	-172.98
1560825006053	TYPE_GYROSCOPE_UNCALIBRATED	-0.02822876	0.15127563	-0.034088135
1560825006053	TYPE_ACCELEROMETER_UNCALIBRATED	0.84994507	1.5322876	10.2447815
1560825006073	TYPE_ACCELEROMETER	0.84994507	1.5322876	10.2447815
1560825006073	TYPE_MAGNETIC_FIELD	17.64	-9.9	-34.26
1560825006073	TYPE_GYROSCOPE	0.015258789	0.15776062	-0.109375
1560825006073	TYPE_ROTATION_VECTOR	0.07824509	0.03086967	0.76941526
1560825006073	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.019997	9.719999	-173.04
1560825006073	TYPE_GYROSCOPE_UNCALIBRATED	-0.09640503	0.08682251	-0.07191467
1560825006073	TYPE_ACCELEROMETER_UNCALIBRATED	0.6536102	1.6352386	11.008545
1560825006093	TYPE_ACCELEROMETER	0.6536102	1.6352386	11.008545
1560825006093	TYPE_MAGNETIC_FIELD	17.699999	-9.36	-34.32
1560825006093	TYPE_GYROSCOPE	0.20967102	0.21687317	-0.09767151
1560825006093	TYPE_ROTATION_VECTOR	0.07138197	0.03536379	0.7323517
1560825006093	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.079998	10.259999	-173.1
1560825006093	TYPE_GYROSCOPE_UNCALIBRATED	0.014389038	0.15713501	-0.10812378
1560825006093	TYPE_ACCELEROMETER_UNCALIBRATED	0.6296692	1.4772186	10.551254
1560825006114	TYPE_ACCELEROMETER	0.6296692	1.4772186	10.551254
1560825006114	TYPE_MAGNETIC_FIELD	17.82	-9.12	-34.32
1560825006114	TYPE_GYROSCOPE	0.17556763	0.1721344	-0.112579346
1560825006114	TYPE_ROTATION_VECTOR	0.066666074	0.034117367	0.7677752
1560825006114	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.199997	10.499999	-173.1
1560825006114	TYPE_GYROSCOPE_UNCALIBRATED	0.20880127	0.21624756	-0.09642029
1560825006114	TYPE_ACCELEROMETER_UNCALIBRATED	0.3830719	1.2114716	10.374069
1560825006134	TYPE_ACCELEROMETER	0.3830719	1.2114716	10.374069
1560825006134	TYPE_MAGNETIC_FIELD	17.94	-9.059999	-34.32
1560825006134	TYPE_GYROSCOPE	-0.010314941	0.13645935	-0.10990906
1560825006134	TYPE_ROTATION_VECTOR	0.049885932	0.034242935	0.7863511
1560825006134	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.32	10.559999	-173.1
1560825006134	TYPE_GYROSCOPE_UNCALIBRATED	0.17469788	0.17150879	-0.111328125
1560825006134	TYPE_ACCELEROMETER_UNCALIBRATED	0.13887024	0.88345337	11.40358
1560825006154	TYPE_ACCELEROMETER	0.13887024	0.88345337	11.40358
1560825006154	TYPE_MAGNETIC_FIELD	17.94	-8.7	-34.5
1560825006154	TYPE_GYROSCOPE	-0.11099243	0.08265686	-0.10032654
1560825006154	TYPE_ROTATION_VECTOR	0.049119428	0.03585698	0.78569543
1560825006154	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.32	10.919999	-173.28
1560825006154	TYPE_GYROSCOPE_UNCALIBRATED	-0.011184692	0.13583374	-0.10865784
1560825006154	TYPE_ACCELEROMETER_UNCALIBRATED	0.13887024	0.88345337	11.40358
1560825006175	TYPE_ACCELEROMETER	-0.08859253	0.74938965	12.363663
1560825006175	TYPE_MAGNETIC_FIELD	17.88	-8.5199995	-34.62
1560825006175	TYPE_GYROSCOPE	-0.07637024	0.036849976	-0.060913086
1560825006175	TYPE_ROTATION_VECTOR	0.04768989	0.036067344	0.7851172
1560825006175	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.26	11.099999	-173.4
1560825006175	TYPE_GYROSCOPE_UNCALIBRATED	-0.07723999	0.036224365	-0.059661865
1560825006175	TYPE_ACCELEROMETER_UNCALIBRATED	0.02154541	0.8714905	12.741943
1560825006195	TYPE_ACCELEROMETER	0.02154541	0.8714905	12.741943
1560825006195	TYPE_MAGNETIC_FIELD	18.0	-8.4	-34.44
1560825006195	TYPE_GYROSCOPE	0.15267944	0.14657593	-0.025756836
1560825006195	TYPE_ROTATION_VECTOR	0.0465719	0.0354591	0.7846682
1560825006195	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.379997	11.219999	-173.22
1560825006195	TYPE_GYROSCOPE_UNCALIBRATED	-0.07723999	0.036224365	-0.059661865
1560825006195	TYPE_ACCELEROMETER_UNCALIBRATED	0.21308899	0.7589569	12.107483
1560825006215	TYPE_ACCELEROMETER	0.21308899	0.7589569	12.107483
1560825006215	TYPE_MAGNETIC_FIELD	18.18	-8.099999	-34.44
1560825006215	TYPE_GYROSCOPE	0.3454895	0.30316162	-0.003921509
1560825006215	TYPE_ROTATION_VECTOR	0.046119142	0.036079846	0.7844291
1560825006215	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.559998	11.5199995	-173.22
1560825006215	TYPE_GYROSCOPE_UNCALIBRATED	0.15180969	0.14595032	-0.024505615
1560825006215	TYPE_ACCELEROMETER_UNCALIBRATED	-0.03112793	0.588974	10.742783
1560825006235	TYPE_ACCELEROMETER	-0.03112793	0.588974	10.742783
1560825006235	TYPE_MAGNETIC_FIELD	18.48	-7.9199996	-34.44
1560825006235	TYPE_GYROSCOPE	0.26026917	0.40756226	0.024841309
1560825006235	TYPE_ROTATION_VECTOR	0.045974612	0.039728712	0.7843475
1560825006235	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.86	11.699999	-173.22
1560825006235	TYPE_GYROSCOPE_UNCALIBRATED	0.34461975	0.302536	-0.002670288
1560825006235	TYPE_ACCELEROMETER_UNCALIBRATED	-0.77812195	-0.03352356	10.2400055
1560825006256	TYPE_ACCELEROMETER	-0.77812195	-0.03352356	10.2400055
1560825006256	TYPE_MAGNETIC_FIELD	18.48	-7.9199996	-34.44
1560825006256	TYPE_GYROSCOPE	-0.015106201	0.4539032	0.09515381
1560825006256	TYPE_ROTATION_VECTOR	0.045974612	0.039728712	0.7843475
1560825006256	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.86	11.699999	-173.22
1560825006256	TYPE_GYROSCOPE_UNCALIBRATED	0.2593994	0.40693665	0.02609253
1560825006256	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5059509	-0.8164215	11.228806
1560825006276	TYPE_ACCELEROMETER	-1.5059509	-0.8164215	11.228806
1560825006276	TYPE_MAGNETIC_FIELD	18.6	-8.04	-34.62
1560825006276	TYPE_GYROSCOPE	-0.25	0.34417725	0.19476318
1560825006276	TYPE_ROTATION_VECTOR	0.04526958	0.04461499	0.78441256
1560825006276	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.98	11.579999	-173.4
1560825006276	TYPE_GYROSCOPE_UNCALIBRATED	-0.25086975	0.34355164	0.1960144
1560825006276	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6065063	-1.1516113	12.88559
1560825006296	TYPE_ACCELEROMETER	-1.6065063	-1.1516113	12.88559
1560825006296	TYPE_MAGNETIC_FIELD	18.6	-7.9199996	-34.739998
1560825006296	TYPE_GYROSCOPE	-0.10513306	0.13964844	0.2778473
1560825006296	TYPE_ROTATION_VECTOR	0.04258351	0.04847654	0.78489214
1560825006296	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.98	11.699999	-173.51999
1560825006296	TYPE_GYROSCOPE_UNCALIBRATED	-0.10600281	0.13902283	0.2790985
1560825006296	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3000488	-1.1611938	13.014877
1560825006317	TYPE_ACCELEROMETER	-1.3000488	-1.1611938	13.014877
1560825006317	TYPE_MAGNETIC_FIELD	18.539999	-7.9199996	-34.86
1560825006317	TYPE_GYROSCOPE	0.3151245	0.04270935	0.3396454
1560825006317	TYPE_ROTATION_VECTOR	0.038353827	0.049724136	0.7860262
1560825006317	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.92	11.699999	-173.64
1560825006317	TYPE_GYROSCOPE_UNCALIBRATED	-0.10600281	0.13902283	0.2790985
1560825006317	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3000488	-1.1611938	13.014877
1560825006337	TYPE_ACCELEROMETER	-0.7733307	-1.1587982	11.518509
1560825006337	TYPE_MAGNETIC_FIELD	18.72	-7.9199996	-34.86
1560825006337	TYPE_GYROSCOPE	0.55267334	0.07519531	0.34655762
1560825006337	TYPE_ROTATION_VECTOR	0.03506312	0.04932812	0.7877259
1560825006337	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.1	11.699999	-173.64
1560825006337	TYPE_GYROSCOPE_UNCALIBRATED	0.31425476	0.04208374	0.3408966
1560825006337	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7733307	-1.1587982	11.518509
1560825006357	TYPE_ACCELEROMETER	-0.5027771	-1.1947021	9.990997
1560825006357	TYPE_MAGNETIC_FIELD	18.72	-8.22	-34.8
1560825006357	TYPE_GYROSCOPE	0.4898224	0.09863281	0.2911682
1560825006357	TYPE_ROTATION_VECTOR	0.035298467	0.050389435	0.7896207
1560825006357	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.1	11.399999	-173.58
1560825006357	TYPE_GYROSCOPE_UNCALIBRATED	0.5518036	0.0745697	0.34780884
1560825006357	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5027771	-1.1947021	9.990997
1560825006377	TYPE_ACCELEROMETER	-0.296875	-1.1970978	9.564835
1560825006377	TYPE_MAGNETIC_FIELD	19.02	-9.12	-35.94
1560825006377	TYPE_GYROSCOPE	0.34016418	0.09277344	0.21394348
1560825006377	TYPE_ROTATION_VECTOR	0.037981153	0.054414272	0.7915667
1560825006377	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.28	11.099999	-174.23999
1560825006377	TYPE_GYROSCOPE_UNCALIBRATED	0.33929443	0.09214783	0.2151947
1560825006377	TYPE_ACCELEROMETER_UNCALIBRATED	-0.33998108	-1.0606384	9.34697
1560825006398	TYPE_ACCELEROMETER	-0.33998108	-1.0606384	9.34697
1560825006398	TYPE_MAGNETIC_FIELD	19.02	-9.9	-35.94
1560825006398	TYPE_GYROSCOPE	0.20806885	0.018737793	0.15109253
1560825006398	TYPE_ROTATION_VECTOR	0.043312732	0.06448567	0.79511636
1560825006398	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.4	9.719999	-174.72
1560825006398	TYPE_GYROSCOPE_UNCALIBRATED	0.33929443	0.09214783	0.2151947
1560825006398	TYPE_ACCELEROMETER_UNCALIBRATED	-0.33998108	-1.0606384	9.34697
1560825006418	TYPE_ACCELEROMETER	-0.19154358	-0.723053	9.052475
1560825006418	TYPE_MAGNETIC_FIELD	19.08	-10.2	-36.0
1560825006418	TYPE_GYROSCOPE	0.15054321	-0.13093567	0.12445068
1560825006418	TYPE_ROTATION_VECTOR	0.044523574	0.066212915	0.7959052
1560825006418	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.4	9.719999	-174.72
1560825006418	TYPE_GYROSCOPE_UNCALIBRATED	0.2071991	0.018112183	0.15234375
1560825006418	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19154358	-0.723053	9.052475
1560825006438	TYPE_ACCELEROMETER	-0.0143585205	-0.3902588	8.489838
1560825006438	TYPE_MAGNETIC_FIELD	19.199999	-10.2	-36.0
1560825006438	TYPE_GYROSCOPE	0.17610168	-0.19645691	0.13990784
1560825006438	TYPE_ROTATION_VECTOR	0.04656647	0.06657809	0.7965006
1560825006438	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.46	9.419999	-174.78
1560825006438	TYPE_GYROSCOPE_UNCALIBRATED	0.17523193	-0.19708252	0.14115906
1560825006438	TYPE_ACCELEROMETER_UNCALIBRATED	0.0047912598	0.04309082	7.6159515
1560825006459	TYPE_ACCELEROMETER	0.0047912598	0.04309082	7.6159515
1560825006459	TYPE_MAGNETIC_FIELD	18.9	-10.74	-36.12
1560825006459	TYPE_GYROSCOPE	0.15000916	-0.09951782	0.20861816
1560825006459	TYPE_ROTATION_VECTOR	0.04931047	0.06673881	0.79713315
1560825006459	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.28	8.879999	-174.9
1560825006459	TYPE_GYROSCOPE_UNCALIBRATED	0.1491394	-0.10014343	0.20986938
1560825006459	TYPE_ACCELEROMETER_UNCALIBRATED	0.25378418	0.18196106	7.024582
1560825006479	TYPE_ACCELEROMETER	0.25378418	0.18196106	7.024582
1560825006479	TYPE_MAGNETIC_FIELD	19.08	-10.86	-36.42
1560825006479	TYPE_GYROSCOPE	-0.061462402	0.053359985	0.19529724
1560825006479	TYPE_ROTATION_VECTOR	0.05117303	0.06724104	0.7982388
1560825006479	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.46	8.759999	-175.2
1560825006479	TYPE_GYROSCOPE_UNCALIBRATED	-0.062332153	0.052734375	0.19654846
1560825006479	TYPE_ACCELEROMETER_UNCALIBRATED	0.4620819	0.31604004	7.8122864
1560825006499	TYPE_ACCELEROMETER	0.4620819	0.31604004	7.8122864
1560825006499	TYPE_MAGNETIC_FIELD	18.72	-10.92	-36.42
1560825006499	TYPE_GYROSCOPE	-0.17810059	0.01234436	0.091430664
1560825006499	TYPE_ROTATION_VECTOR	0.0505221	0.06697174	0.79948217
1560825006499	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.1	8.699999	-175.2
1560825006499	TYPE_GYROSCOPE_UNCALIBRATED	-0.062332153	0.052734375	0.19654846
1560825006499	TYPE_ACCELEROMETER_UNCALIBRATED	0.18435669	0.54348755	8.707718
1560825006519	TYPE_ACCELEROMETER	0.18435669	0.54348755	8.707718
