#	startTime:1560825251268
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560825251269	TYPE_WAYPOINT	87.90105	98.436104
1560825251437	TYPE_ACCELEROMETER	0.6368561	0.6368561	8.465897
1560825251437	TYPE_MAGNETIC_FIELD	-16.38	-25.56	-27.24
1560825251437	TYPE_GYROSCOPE	-0.12962341	0.0027618408	-0.15518188
1560825251437	TYPE_ROTATION_VECTOR	-0.025660764	-0.045016374	-0.9617498
1560825251437	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.0	-5.9400005	-166.02
1560825251437	TYPE_GYROSCOPE_UNCALIBRATED	-0.18695068	-0.15341187	-0.16618347
1560825251437	TYPE_ACCELEROMETER_UNCALIBRATED	0.6368561	0.6368561	8.465897
1560825251457	TYPE_ACCELEROMETER	0.1771698	0.6584015	8.528152
1560825251457	TYPE_MAGNETIC_FIELD	-16.26	-25.619999	-27.119999
1560825251457	TYPE_GYROSCOPE	-0.13389587	-0.017486572	-0.09233093
1560825251457	TYPE_ROTATION_VECTOR	-0.025660764	-0.045016374	-0.9617498
1560825251457	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.0	-5.9400005	-166.02
1560825251457	TYPE_GYROSCOPE_UNCALIBRATED	-0.13049316	0.0021362305	-0.15393066
1560825251457	TYPE_ACCELEROMETER_UNCALIBRATED	0.1771698	0.6584015	8.528152
1560825251477	TYPE_ACCELEROMETER	0.48841858	0.58657837	8.576035
1560825251477	TYPE_MAGNETIC_FIELD	-16.08	-25.92	-27.119999
1560825251477	TYPE_GYROSCOPE	-0.2111206	-0.12561035	-0.09339905
1560825251477	TYPE_ROTATION_VECTOR	-0.01858068	-0.040021062	-0.96883464
1560825251477	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.29999924	-6.300001	-165.9
1560825251477	TYPE_GYROSCOPE_UNCALIBRATED	-0.13476562	-0.018112183	-0.09107971
