#	startTime:1560825325733
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560825325735	TYPE_WAYPOINT	98.14704	76.572914
1560825325912	TYPE_ACCELEROMETER	-1.1947021	0.38067627	9.418793
1560825325912	TYPE_MAGNETIC_FIELD	4.14	22.14	-10.5
1560825325912	TYPE_GYROSCOPE	-0.122161865	0.021408081	-0.16371155
1560825325912	TYPE_ROTATION_VECTOR	0.022882726	0.03438072	0.104575075
1560825325912	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.519999	41.76	-149.28
1560825325912	TYPE_GYROSCOPE_UNCALIBRATED	-0.045272827	0.047409058	-0.20133972
1560825325912	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1947021	0.38067627	9.418793
1560825325932	TYPE_ACCELEROMETER	-1.4341278	0.13407898	10.070007
1560825325932	TYPE_MAGNETIC_FIELD	4.3199997	21.96	-10.32
1560825325932	TYPE_GYROSCOPE	-0.2180481	-0.10003662	-0.093933105
1560825325932	TYPE_ROTATION_VECTOR	0.00551073	0.06412019	0.09284694
1560825325932	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.699999	41.579998	-149.1
1560825325932	TYPE_GYROSCOPE_UNCALIBRATED	-0.21891785	-0.10066223	-0.092681885
1560825325932	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4341278	0.13407898	10.070007
1560825325953	TYPE_ACCELEROMETER	-1.1324615	-0.15562439	10.817001
1560825325953	TYPE_MAGNETIC_FIELD	4.62	21.96	-10.2
