#	startTime:1560825359125
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560825359125	TYPE_WAYPOINT	98.14704	76.572914
1560825359289	TYPE_ACCELEROMETER	-1.6950989	-1.553833	12.607864
1560825359289	TYPE_MAGNETIC_FIELD	18.42	28.38	-22.02
1560825359289	TYPE_GYROSCOPE	-0.104599	0.072006226	-0.15945435
1560825359289	TYPE_ROTATION_VECTOR	-0.053883035	0.04948499	0.26009008
1560825359289	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.8	48.0	-160.8
1560825359289	TYPE_GYROSCOPE_UNCALIBRATED	-0.19122314	0.13955688	-0.24394226
1560825359289	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6950989	-1.553833	12.607864
1560825359309	TYPE_ACCELEROMETER	-1.3144226	-2.0661926	13.1106415
1560825359309	TYPE_MAGNETIC_FIELD	18.3	28.56	-22.14
1560825359309	TYPE_GYROSCOPE	0.049865723	0.013412476	-0.15571594
1560825359309	TYPE_ROTATION_VECTOR	-0.07498163	0.049210798	0.2437272
1560825359309	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.68	48.18	-160.92
1560825359309	TYPE_GYROSCOPE_UNCALIBRATED	-0.10546875	0.071380615	-0.15820312
1560825359309	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6950989	-1.553833	12.607864
1560825359330	TYPE_ACCELEROMETER	-1.2521667	-2.0901337	12.763489
1560825359330	TYPE_MAGNETIC_FIELD	18.24	28.5	-22.14
1560825359330	TYPE_GYROSCOPE	0.27838135	-0.1565094	-0.18714905
