#	startTime:1560826588608
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560826588608	TYPE_WAYPOINT	87.56566	143.09427
1560826588768	TYPE_ACCELEROMETER	-0.11013794	0.826004	10.668564
1560826588768	TYPE_MAGNETIC_FIELD	-25.5	-30.06	-34.26
1560826588768	TYPE_GYROSCOPE	-0.11885071	0.1026001	-0.0012359619
1560826588768	TYPE_ROTATION_VECTOR	0.01233703	-0.032638773	-0.93481266
1560826588768	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.200001	-9.9	-174.42
1560826588768	TYPE_GYROSCOPE_UNCALIBRATED	-0.27590942	0.033554077	0.0048065186
1560826588768	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11013794	0.826004	10.668564
1560826588788	TYPE_ACCELEROMETER	0.011978149	0.7733307	9.86171
1560826588788	TYPE_MAGNETIC_FIELD	-25.619999	-29.939999	-34.38
1560826588788	TYPE_GYROSCOPE	-0.012863159	0.09246826	-0.049713135
1560826588788	TYPE_ROTATION_VECTOR	0.019440852	-0.03294237	-0.92210245
1560826588788	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.3199997	-9.779999	-174.54001
1560826588788	TYPE_GYROSCOPE_UNCALIBRATED	-0.11930847	0.101745605	5.340576E-4
1560826588788	TYPE_ACCELEROMETER_UNCALIBRATED	0.011978149	0.7733307	9.86171
1560826588809	TYPE_ACCELEROMETER	-0.14604187	0.7948761	9.217682
1560826588809	TYPE_MAGNETIC_FIELD	-25.68	-29.939999	-34.32
1560826588809	TYPE_GYROSCOPE	0.035614014	0.11218262	-0.0859375
1560826588809	TYPE_ROTATION_VECTOR	0.014592975	-0.035338704	-0.9263275
1560826588809	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.380001	-9.779999	-174.48001
1560826588809	TYPE_GYROSCOPE_UNCALIBRATED	-0.013320923	0.09161377	-0.047943115
1560826588809	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14604187	0.7948761	9.217682
1560826588829	TYPE_ACCELEROMETER	-0.17237854	0.79008484	8.628708
1560826588829	TYPE_MAGNETIC_FIELD	-25.619999	-29.88	-34.32
1560826588829	TYPE_GYROSCOPE	-0.021377563	0.042404175	-0.09338379
1560826588829	TYPE_ROTATION_VECTOR	0.023064213	-0.03765866	-0.92563874
1560826588829	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.3199997	-9.719999	-174.48001
1560826588829	TYPE_GYROSCOPE_UNCALIBRATED	0.03515625	0.111328125	-0.08416748
1560826588829	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14604187	0.7948761	9.217682
1560826588849	TYPE_ACCELEROMETER	-0.22744751	0.7757263	8.762772
1560826588849	TYPE_MAGNETIC_FIELD	-25.5	-29.939999	-34.62
1560826588849	TYPE_GYROSCOPE	-0.14442444	-0.04069519	-0.07208252
1560826588849	TYPE_ROTATION_VECTOR	0.02566276	-0.03918496	-0.92737746
1560826588849	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.200001	-9.779999	-174.78
1560826588849	TYPE_GYROSCOPE_UNCALIBRATED	-0.021835327	0.041549683	-0.09161377
1560826588849	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22744751	0.7757263	8.762772
1560826588870	TYPE_ACCELEROMETER	-0.22505188	0.8236084	9.643845
1560826588870	TYPE_MAGNETIC_FIELD	-25.439999	-30.0	-34.68
1560826588870	TYPE_GYROSCOPE	-0.14868164	-0.065719604	-0.063568115
1560826588870	TYPE_ROTATION_VECTOR	0.027367085	-0.034655426	-0.92829984
1560826588870	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.1399994	-9.84	-174.84
1560826588870	TYPE_GYROSCOPE_UNCALIBRATED	-0.1448822	-0.041549683	-0.0703125
1560826588870	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22505188	0.8236084	9.643845
1560826588890	TYPE_ACCELEROMETER	-0.25857544	0.92655945	10.031708
1560826588890	TYPE_MAGNETIC_FIELD	-25.38	-30.06	-34.739998
1560826588890	TYPE_GYROSCOPE	0.004180908	-0.056671143	-0.051849365
1560826588890	TYPE_ROTATION_VECTOR	0.027693521	-0.034287058	-0.9287099
1560826588890	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.08	-9.9	-174.9
1560826588890	TYPE_GYROSCOPE_UNCALIBRATED	-0.1491394	-0.0665741	-0.061798096
1560826588890	TYPE_ACCELEROMETER_UNCALIBRATED	-0.25857544	0.92655945	10.031708
1560826588910	TYPE_ACCELEROMETER	-0.11253357	0.96725464	9.528915
1560826588910	TYPE_MAGNETIC_FIELD	-25.32	-30.06	-34.739998
1560826588910	TYPE_GYROSCOPE	0.15066528	-0.05934143	-0.05557251
1560826588910	TYPE_ROTATION_VECTOR	0.026806042	-0.03306809	-0.92903805
1560826588910	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.0200005	-9.9	-174.9
1560826588910	TYPE_GYROSCOPE_UNCALIBRATED	0.0037231445	-0.057525635	-0.050079346
1560826588910	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11253357	0.96725464	9.528915
1560826588930	TYPE_ACCELEROMETER	0.06225586	1.074997	8.750809
1560826588930	TYPE_MAGNETIC_FIELD	-25.199999	-30.3	-34.44
1560826588930	TYPE_GYROSCOPE	0.16291809	-0.09449768	-0.09072876
1560826588930	TYPE_ROTATION_VECTOR	0.025128704	-0.032815382	-0.9296289
1560826588930	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.8999996	-10.139999	-174.6
1560826588930	TYPE_GYROSCOPE_UNCALIBRATED	0.15020752	-0.060195923	-0.05380249
