#	startTime:1560826629063
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560826629064	TYPE_WAYPOINT	95.245964	124.46786
1560826629199	TYPE_ACCELEROMETER	-0.47166443	0.27053833	9.318237
1560826629199	TYPE_MAGNETIC_FIELD	-33.18	-0.9	-33.36
1560826629199	TYPE_GYROSCOPE	-0.21046448	-0.08596802	0.380661
1560826629199	TYPE_ROTATION_VECTOR	0.02053669	0.027867626	-0.7088874
1560826629199	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.880001	19.26	-173.52
1560826629199	TYPE_GYROSCOPE_UNCALIBRATED	-0.239151	-0.1725769	0.43888855
1560826629199	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47166443	0.27053833	9.318237
1560826629219	TYPE_ACCELEROMETER	-0.37828064	0.21786499	9.698914
1560826629219	TYPE_MAGNETIC_FIELD	-32.82	-0.24	-33.239998
1560826629219	TYPE_GYROSCOPE	-0.14974976	-0.14614868	0.3156891
1560826629219	TYPE_ROTATION_VECTOR	0.02071075	0.007579759	-0.6805697
1560826629219	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.580002	19.56	-173.4
1560826629219	TYPE_GYROSCOPE_UNCALIBRATED	-0.21092224	-0.08682251	0.38243103
1560826629219	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37828064	0.21786499	9.698914
1560826629239	TYPE_ACCELEROMETER	-0.6536102	0.31124878	9.909607
1560826629239	TYPE_MAGNETIC_FIELD	-32.64	-0.06	-33.42
1560826629239	TYPE_GYROSCOPE	-0.12524414	-0.22764587	0.2661438
1560826629239	TYPE_ROTATION_VECTOR	0.033058982	0.011231861	-0.69192594
1560826629239	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.34	20.1	-173.58
1560826629239	TYPE_GYROSCOPE_UNCALIBRATED	-0.15020752	-0.14700317	0.3174591
1560826629239	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6536102	0.31124878	9.909607
1560826629260	TYPE_ACCELEROMETER	-0.964859	0.4740448	9.995789
1560826629260	TYPE_MAGNETIC_FIELD	-32.399998	0.12	-33.48
1560826629260	TYPE_GYROSCOPE	-0.117263794	-0.3032837	0.25975037
1560826629260	TYPE_ROTATION_VECTOR	0.04858972	0.017835502	-0.6827562
1560826629260	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.099998	20.28	-173.64
1560826629260	TYPE_GYROSCOPE_UNCALIBRATED	-0.1257019	-0.22850037	0.26791382
1560826629260	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0965424	0.6655884	10.163391
1560826629280	TYPE_ACCELEROMETER	-1.0965424	0.6655884	10.163391
1560826629280	TYPE_MAGNETIC_FIELD	-32.34	0.29999998	-33.66
1560826629280	TYPE_GYROSCOPE	-0.07624817	-0.25959778	0.27679443
1560826629280	TYPE_ROTATION_VECTOR	0.05974343	0.018310431	-0.67598444
1560826629280	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.040001	20.46	-173.82
1560826629280	TYPE_GYROSCOPE_UNCALIBRATED	-0.11772156	-0.30413818	0.2615204
1560826629280	TYPE_ACCELEROMETER_UNCALIBRATED	-0.76374817	0.6296692	10.271118
1560826629300	TYPE_ACCELEROMETER	-0.76374817	0.6296692	10.271118
1560826629300	TYPE_MAGNETIC_FIELD	-32.28	0.65999997	-33.66
1560826629300	TYPE_GYROSCOPE	-0.009674072	-0.14083862	0.24377441
1560826629300	TYPE_ROTATION_VECTOR	0.057030126	0.01666056	-0.6741297
1560826629300	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.98	20.82	-173.82
1560826629300	TYPE_GYROSCOPE_UNCALIBRATED	-0.07670593	-0.26045227	0.27856445
1560826629300	TYPE_ACCELEROMETER_UNCALIBRATED	-0.48362732	0.44770813	10.2400055
1560826629321	TYPE_ACCELEROMETER	-0.48362732	0.44770813	10.2400055
1560826629321	TYPE_MAGNETIC_FIELD	-32.52	0.96	-33.36
1560826629321	TYPE_GYROSCOPE	0.04786682	-0.08543396	0.17880249
1560826629321	TYPE_ROTATION_VECTOR	0.055354103	0.015272011	-0.672232
1560826629321	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.220001	21.119999	-173.52
1560826629321	TYPE_GYROSCOPE_UNCALIBRATED	-0.010131836	-0.14169312	0.24554443
1560826629321	TYPE_ACCELEROMETER_UNCALIBRATED	-0.54348755	0.35194397	10.5728
1560826629341	TYPE_ACCELEROMETER	-0.54348755	0.35194397	10.5728
1560826629341	TYPE_MAGNETIC_FIELD	-32.52	1.14	-33.12
1560826629341	TYPE_GYROSCOPE	0.14427185	-0.15628052	0.13246155
1560826629341	TYPE_ROTATION_VECTOR	0.054873135	0.014325834	-0.6707126
1560826629341	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.220001	21.3	-173.28
1560826629341	TYPE_GYROSCOPE_UNCALIBRATED	0.047409058	-0.08628845	0.18057251
1560826629341	TYPE_ACCELEROMETER_UNCALIBRATED	-0.68473816	0.33039856	10.919952
1560826629361	TYPE_ACCELEROMETER	-0.68473816	0.33039856	10.919952
