#	startTime:1560826663983
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560826663984	TYPE_WAYPOINT	100.91912	111.98246
1560826664142	TYPE_ACCELEROMETER	-0.27772522	0.4908142	9.500198
1560826664142	TYPE_MAGNETIC_FIELD	23.1	-18.359999	-37.14
1560826664142	TYPE_GYROSCOPE	-0.114593506	-0.05508423	-0.042785645
1560826664142	TYPE_ROTATION_VECTOR	-0.017060278	0.037617844	0.8994851
1560826664142	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.4	1.8000011	-177.3
1560826664142	TYPE_GYROSCOPE_UNCALIBRATED	-0.1448822	-0.17843628	-0.02557373
1560826664142	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27772522	0.4908142	9.500198
1560826664162	TYPE_ACCELEROMETER	-0.59376526	0.52194214	9.603149
1560826664162	TYPE_MAGNETIC_FIELD	22.98	-18.48	-37.14
1560826664162	TYPE_GYROSCOPE	-0.051208496	0.008850098	-0.07421875
1560826664162	TYPE_ROTATION_VECTOR	-1.7062635E-5	0.027598934	0.896061
1560826664162	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.28	1.6800003	-177.3
1560826664162	TYPE_GYROSCOPE_UNCALIBRATED	-0.05166626	0.0079956055	-0.07244873
1560826664162	TYPE_ACCELEROMETER_UNCALIBRATED	-0.59376526	0.52194214	9.603149
1560826664183	TYPE_ACCELEROMETER	-1.122879	0.6081238	9.658203
1560826664183	TYPE_MAGNETIC_FIELD	22.8	-18.779999	-37.14
1560826664183	TYPE_GYROSCOPE	-0.03630066	0.014175415	-0.0864563
1560826664183	TYPE_ROTATION_VECTOR	-0.017350389	0.037452284	0.91707796
1560826664183	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.1	1.3800011	-177.3
1560826664183	TYPE_GYROSCOPE_UNCALIBRATED	-0.05166626	0.0079956055	-0.07244873
1560826664183	TYPE_ACCELEROMETER_UNCALIBRATED	-1.122879	0.6081238	9.658203
1560826664203	TYPE_ACCELEROMETER	-1.4891968	0.7733307	9.555252
1560826664203	TYPE_MAGNETIC_FIELD	22.68	-18.96	-37.079998
1560826664203	TYPE_GYROSCOPE	-0.074645996	-0.07585144	-0.057159424
1560826664203	TYPE_ROTATION_VECTOR	-0.040696017	0.049871366	0.91807914
1560826664203	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.98	1.2000008	-177.24
1560826664203	TYPE_GYROSCOPE_UNCALIBRATED	-0.036758423	0.013320923	-0.08468628
1560826664203	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4891968	0.7733307	9.555252
1560826664223	TYPE_ACCELEROMETER	-1.1085205	0.91937256	9.287109
1560826664223	TYPE_MAGNETIC_FIELD	22.5	-19.199999	-37.26
1560826664223	TYPE_GYROSCOPE	-0.20993042	-0.18504333	0.013153076
1560826664223	TYPE_ROTATION_VECTOR	-0.057227965	0.06541217	0.9271587
1560826664223	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.8	0.960001	-177.42
1560826664223	TYPE_GYROSCOPE_UNCALIBRATED	-0.07510376	-0.07670593	-0.055389404
1560826664223	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1085205	0.91937256	9.287109
1560826664244	TYPE_ACCELEROMETER	0.12449646	0.83317566	9.363724
1560826664244	TYPE_MAGNETIC_FIELD	22.26	-19.26	-37.26
1560826664244	TYPE_GYROSCOPE	-0.26213074	-0.06838989	-0.0049743652
1560826664244	TYPE_ROTATION_VECTOR	-0.056977697	0.064303905	0.92779905
1560826664244	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.559998	0.8999996	-177.42
1560826664244	TYPE_GYROSCOPE_UNCALIBRATED	-0.21038818	-0.18589783	0.014923096
1560826664244	TYPE_ACCELEROMETER_UNCALIBRATED	0.12449646	0.83317566	9.363724
1560826664264	TYPE_ACCELEROMETER	0.22505188	0.8092346	9.497803
1560826664264	TYPE_MAGNETIC_FIELD	22.02	-19.08	-37.38
1560826664264	TYPE_GYROSCOPE	-0.18276978	0.03440857	-0.09338379
1560826664264	TYPE_ROTATION_VECTOR	-0.056004487	0.061665647	0.92808604
1560826664264	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.32	1.0799999	-177.54001
1560826664264	TYPE_GYROSCOPE_UNCALIBRATED	-0.2625885	-0.069244385	-0.0032043457
1560826664264	TYPE_ACCELEROMETER_UNCALIBRATED	0.22505188	0.8092346	9.497803
1560826664284	TYPE_ACCELEROMETER	-0.17237854	0.9026184	9.536102
1560826664284	TYPE_MAGNETIC_FIELD	21.9	-18.84	-37.86
1560826664284	TYPE_GYROSCOPE	-0.17211914	-0.07052612	-0.12695312
1560826664284	TYPE_ROTATION_VECTOR	-0.056321044	0.058947165	0.92826724
1560826664284	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.199997	1.3199997	-178.02
1560826664284	TYPE_GYROSCOPE_UNCALIBRATED	-0.18322754	0.033554077	-0.09161377
1560826664284	TYPE_ACCELEROMETER_UNCALIBRATED	0.22505188	0.8092346	9.497803
1560826664304	TYPE_ACCELEROMETER	-0.44770813	0.8044586	10.036499
1560826664304	TYPE_MAGNETIC_FIELD	21.66	-19.08	-37.68
1560826664304	TYPE_GYROSCOPE	-0.23550415	-0.21166992	-0.13226318
1560826664304	TYPE_ROTATION_VECTOR	-0.0573659	0.057302263	0.9280143
1560826664304	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.96	1.0799999	-177.84
1560826664304	TYPE_GYROSCOPE_UNCALIBRATED	-0.1725769	-0.071380615	-0.1251831
1560826664304	TYPE_ACCELEROMETER_UNCALIBRATED	-0.44770813	0.8044586	10.036499
1560826664325	TYPE_ACCELEROMETER	-0.7086792	0.8571167	10.127472
1560826664325	TYPE_MAGNETIC_FIELD	21.66	-19.08	-37.68
1560826664325	TYPE_GYROSCOPE	-0.24508667	-0.26493835	-0.10244751
1560826664325	TYPE_ROTATION_VECTOR	-0.057414547	0.055353336	0.92768556
1560826664325	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.96	1.0799999	-177.84
1560826664325	TYPE_GYROSCOPE_UNCALIBRATED	-0.23596191	-0.21252441	-0.13049316
1560826664325	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7086792	0.8571167	10.127472
1560826664345	TYPE_ACCELEROMETER	-0.33039856	1.0151367	9.830597
1560826664345	TYPE_MAGNETIC_FIELD	21.66	-18.66	-37.92
1560826664345	TYPE_GYROSCOPE	-0.14389038	-0.2106018	-0.047042847
1560826664345	TYPE_ROTATION_VECTOR	-0.056377858	0.052296832	0.92744696
1560826664345	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.96	1.5	-178.08
1560826664345	TYPE_GYROSCOPE_UNCALIBRATED	-0.24554443	-0.26579285	-0.10067749
1560826664345	TYPE_ACCELEROMETER_UNCALIBRATED	-0.33039856	1.0151367	9.830597
1560826664365	TYPE_ACCELEROMETER	0.31124878	0.8164215	9.215286
1560826664365	TYPE_MAGNETIC_FIELD	21.6	-18.359999	-38.28
1560826664365	TYPE_GYROSCOPE	-0.004348755	-0.054534912	-0.08380127
1560826664365	TYPE_ROTATION_VECTOR	-0.054852903	0.04895555	0.9273413
1560826664365	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.9	1.8000011	-178.44
1560826664365	TYPE_GYROSCOPE_UNCALIBRATED	-0.14434814	-0.2114563	-0.045272827
1560826664365	TYPE_ACCELEROMETER_UNCALIBRATED	0.31124878	0.8164215	9.215286
1560826664386	TYPE_ACCELEROMETER	0.2753296	0.7948761	8.734055
1560826664386	TYPE_MAGNETIC_FIELD	21.6	-18.06	-38.52
1560826664386	TYPE_GYROSCOPE	0.05532837	0.007247925	-0.20736694
1560826664386	TYPE_ROTATION_VECTOR	-0.053431038	0.046790257	0.92735136
1560826664386	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.9	2.1000004	-178.68001
1560826664386	TYPE_GYROSCOPE_UNCALIBRATED	-0.0048065186	-0.055389404	-0.08203125
