#	startTime:1560826721559
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560826721560	TYPE_WAYPOINT	66.88747	128.72186
1560826721723	TYPE_ACCELEROMETER	0.0861969	-2.4061737	11.772293
1560826721723	TYPE_MAGNETIC_FIELD	13.86	21.72	-27.66
1560826721723	TYPE_GYROSCOPE	0.18049622	0.025894165	-0.14930725
1560826721723	TYPE_ROTATION_VECTOR	-0.09527182	-0.020395871	0.32224053
1560826721723	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.16	41.879997	-167.82
1560826721723	TYPE_GYROSCOPE_UNCALIBRATED	0.18003845	0.025039673	-0.14753723
1560826721723	TYPE_ACCELEROMETER_UNCALIBRATED	0.0861969	-2.4061737	11.772293
1560826721743	TYPE_ACCELEROMETER	0.10774231	-2.166748	10.405197
1560826721743	TYPE_MAGNETIC_FIELD	13.92	22.14	-28.14
1560826721743	TYPE_GYROSCOPE	0.3370819	0.022155762	-0.13226318
1560826721743	TYPE_ROTATION_VECTOR	-0.09282835	-0.03722763	0.33800286
1560826721743	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.22	42.3	-168.3
1560826721743	TYPE_GYROSCOPE_UNCALIBRATED	0.18003845	0.025039673	-0.14753723
1560826721743	TYPE_ACCELEROMETER_UNCALIBRATED	0.10774231	-2.166748	10.405197
1560826721764	TYPE_ACCELEROMETER	0.14364624	-1.8507233	9.227249
1560826721764	TYPE_MAGNETIC_FIELD	13.799999	22.02	-28.56
1560826721764	TYPE_GYROSCOPE	0.31896973	-0.020980835	-0.07633972
1560826721764	TYPE_ROTATION_VECTOR	-0.09401049	-0.040601328	0.35482502
1560826721764	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.1	42.18	-168.72
1560826721764	TYPE_GYROSCOPE_UNCALIBRATED	0.33662415	0.02130127	-0.13049316
1560826721764	TYPE_ACCELEROMETER_UNCALIBRATED	0.14364624	-1.8507233	9.227249
1560826721784	TYPE_ACCELEROMETER	0.27772522	-1.5274963	8.461105
1560826721784	TYPE_MAGNETIC_FIELD	13.86	21.96	-28.74
1560826721784	TYPE_GYROSCOPE	0.2140503	-0.049209595	-0.017745972
1560826721784	TYPE_ROTATION_VECTOR	-0.088333726	-0.04423348	0.37792686
1560826721784	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.16	42.12	-168.90001
1560826721784	TYPE_GYROSCOPE_UNCALIBRATED	0.31851196	-0.021835327	-0.0745697
1560826721784	TYPE_ACCELEROMETER_UNCALIBRATED	0.27772522	-1.5274963	8.461105
1560826721804	TYPE_ACCELEROMETER	0.4692688	-1.2497711	8.20253
1560826721804	TYPE_MAGNETIC_FIELD	13.559999	21.96	-29.34
1560826721804	TYPE_GYROSCOPE	0.08409119	-0.08703613	0.012084961
1560826721804	TYPE_ROTATION_VECTOR	-0.07761431	-0.045059975	0.33628356
1560826721804	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.859999	42.12	-169.5
1560826721804	TYPE_GYROSCOPE_UNCALIBRATED	0.21359253	-0.050064087	-0.015975952
1560826721804	TYPE_ACCELEROMETER_UNCALIBRATED	0.4692688	-1.2497711	8.20253
1560826721825	TYPE_ACCELEROMETER	0.58657837	-0.98880005	8.365341
1560826721825	TYPE_MAGNETIC_FIELD	13.559999	21.84	-29.76
1560826721825	TYPE_GYROSCOPE	0.049453735	-0.08117676	-0.0017700195
1560826721825	TYPE_ROTATION_VECTOR	-0.05991839	-0.051317766	0.33130255
1560826721825	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.859999	42.0	-169.92
1560826721825	TYPE_GYROSCOPE_UNCALIBRATED	0.08363342	-0.087890625	0.0138549805
1560826721825	TYPE_ACCELEROMETER_UNCALIBRATED	0.58657837	-0.98880005	8.365341
1560826721845	TYPE_ACCELEROMETER	0.4189911	-0.7302246	8.329422
1560826721845	TYPE_MAGNETIC_FIELD	13.32	21.96	-30.24
