#	startTime:1560826835460
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560826835461	TYPE_WAYPOINT	95.84959	65.832596
1560826835618	TYPE_ACCELEROMETER	0.8451538	0.30885315	9.521744
1560826835618	TYPE_MAGNETIC_FIELD	-19.32	31.019999	-53.82
1560826835618	TYPE_GYROSCOPE	0.12989807	0.042938232	-0.36343384
1560826835618	TYPE_ROTATION_VECTOR	-0.008738674	-0.057779722	-0.1944122
1560826835618	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-1.0200005	51.18	-193.98001
1560826835618	TYPE_GYROSCOPE_UNCALIBRATED	0.04901123	-0.07723999	-0.32917786
1560826835618	TYPE_ACCELEROMETER_UNCALIBRATED	0.8451538	0.30885315	9.521744
1560826835638	TYPE_ACCELEROMETER	0.4189911	0.39265442	8.93277
1560826835638	TYPE_MAGNETIC_FIELD	-19.5	30.96	-53.82
1560826835638	TYPE_GYROSCOPE	0.12722778	0.09246826	-0.30430603
1560826835638	TYPE_ROTATION_VECTOR	0.0040509477	-0.046687517	-0.226703
1560826835638	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-1.2000008	51.12	-193.98001
1560826835638	TYPE_GYROSCOPE_UNCALIBRATED	0.12944031	0.04208374	-0.36166382
1560826835638	TYPE_ACCELEROMETER_UNCALIBRATED	0.4189911	0.39265442	8.93277
1560826835659	TYPE_ACCELEROMETER	0.40701294	0.4333496	8.583206
1560826835659	TYPE_MAGNETIC_FIELD	-19.74	31.14	-53.879997
1560826835659	TYPE_GYROSCOPE	-0.022979736	0.06210327	-0.23452759
1560826835659	TYPE_ROTATION_VECTOR	0.015065827	-0.027365223	-0.2423265
1560826835659	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-1.4400005	51.3	-194.04001
1560826835659	TYPE_GYROSCOPE_UNCALIBRATED	-0.0234375	0.06124878	-0.23275757
1560826835659	TYPE_ACCELEROMETER_UNCALIBRATED	0.40701294	0.4333496	8.583206
1560826835679	TYPE_ACCELEROMETER	0.13647461	0.49320984	9.500198
1560826835679	TYPE_MAGNETIC_FIELD	-20.039999	31.32	-54.12
1560826835679	TYPE_GYROSCOPE	-0.22750854	-0.015670776	-0.19139099
1560826835679	TYPE_ROTATION_VECTOR	0.013436524	-0.028161773	-0.24105343
1560826835679	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-1.7399998	51.48	-194.28
1560826835679	TYPE_GYROSCOPE_UNCALIBRATED	-0.0234375	0.06124878	-0.23275757
1560826835679	TYPE_ACCELEROMETER_UNCALIBRATED	0.13647461	0.49320984	9.500198
1560826835699	TYPE_ACCELEROMETER	0.30885315	0.61531067	10.905594
1560826835699	TYPE_MAGNETIC_FIELD	-20.34	31.32	-54.42
1560826835699	TYPE_GYROSCOPE	-0.20355225	-0.076919556	-0.11203003
1560826835699	TYPE_ROTATION_VECTOR	0.023428109	-0.013503796	-0.26869014
1560826835699	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.040001	51.48	-194.58
1560826835699	TYPE_GYROSCOPE_UNCALIBRATED	-0.22796631	-0.016525269	-0.18962097
1560826835699	TYPE_ACCELEROMETER_UNCALIBRATED	0.30885315	0.61531067	10.905594
1560826835720	TYPE_ACCELEROMETER	0.4908142	0.6895294	11.190506
1560826835720	TYPE_MAGNETIC_FIELD	-20.82	31.26	-54.719997
1560826835720	TYPE_GYROSCOPE	0.014846802	-0.030044556	-0.07954407
1560826835720	TYPE_ROTATION_VECTOR	0.023469482	-0.02058806	-0.2750719
1560826835720	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.5200005	51.42	-194.88
1560826835720	TYPE_GYROSCOPE_UNCALIBRATED	0.014389038	-0.030899048	-0.07777405
1560826835720	TYPE_ACCELEROMETER_UNCALIBRATED	0.4908142	0.6895294	11.190506
1560826835740	TYPE_ACCELEROMETER	0.51475525	0.746994	10.544067
1560826835740	TYPE_MAGNETIC_FIELD	-21.119999	31.439999	-54.96
1560826835740	TYPE_GYROSCOPE	0.19540405	0.04133606	-0.04171753
1560826835740	TYPE_ROTATION_VECTOR	0.02123412	-0.020103278	-0.27858913
1560826835740	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.8199997	51.6	-195.12
1560826835740	TYPE_GYROSCOPE_UNCALIBRATED	0.19494629	0.040481567	-0.03994751
1560826835740	TYPE_ACCELEROMETER_UNCALIBRATED	0.51475525	0.746994	10.544067
1560826835760	TYPE_ACCELEROMETER	0.6368561	0.67277527	9.840164
1560826835760	TYPE_MAGNETIC_FIELD	-21.3	31.56	-54.84
1560826835760	TYPE_GYROSCOPE	0.19433594	0.063705444	-0.039596558
1560826835760	TYPE_ROTATION_VECTOR	0.019059984	-0.020249844	-0.2797398
1560826835760	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-3.0	51.72	-195.0
1560826835760	TYPE_GYROSCOPE_UNCALIBRATED	0.19387817	0.06285095	-0.037826538
1560826835760	TYPE_ACCELEROMETER_UNCALIBRATED	0.6368561	0.67277527	9.840164
1560826835780	TYPE_ACCELEROMETER	0.57699585	0.5674286	10.06044
1560826835780	TYPE_MAGNETIC_FIELD	-21.72	31.5	-55.02
1560826835780	TYPE_GYROSCOPE	0.09313965	0.06211853	-0.05822754
1560826835780	TYPE_ROTATION_VECTOR	0.019123677	-0.020567486	-0.28051433
1560826835780	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-3.42	51.66	-195.18001
1560826835780	TYPE_GYROSCOPE_UNCALIBRATED	0.19387817	0.06285095	-0.037826538
1560826835780	TYPE_ACCELEROMETER_UNCALIBRATED	0.57699585	0.5674286	10.06044
1560826835801	TYPE_ACCELEROMETER	0.4620819	0.38067627	10.967834
1560826835801	TYPE_MAGNETIC_FIELD	-22.199999	31.32	-55.68
1560826835801	TYPE_GYROSCOPE	0.06756592	0.04826355	-0.07420349
1560826835801	TYPE_ROTATION_VECTOR	0.023212241	-0.020640714	-0.28120014
1560826835801	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-3.8999996	51.48	-195.84
1560826835801	TYPE_GYROSCOPE_UNCALIBRATED	0.067108154	0.047409058	-0.07243347
1560826835801	TYPE_ACCELEROMETER_UNCALIBRATED	0.4620819	0.38067627	10.967834
1560826835821	TYPE_ACCELEROMETER	0.26576233	0.32081604	11.544846
1560826835821	TYPE_MAGNETIC_FIELD	-22.38	31.14	-56.039997
1560826835821	TYPE_GYROSCOPE	0.17036438	0.007247925	-0.089660645
1560826835821	TYPE_ROTATION_VECTOR	0.0243097	-0.020290026	-0.28173038
1560826835821	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.08	51.3	-196.2
1560826835821	TYPE_GYROSCOPE_UNCALIBRATED	0.067108154	0.047409058	-0.07243347
1560826835821	TYPE_ACCELEROMETER_UNCALIBRATED	0.26576233	0.32081604	11.544846
1560826835841	TYPE_ACCELEROMETER	0.11013794	0.4333496	11.185715
1560826835841	TYPE_MAGNETIC_FIELD	-22.5	31.26	-56.16
1560826835841	TYPE_GYROSCOPE	0.36424255	-0.013000488	-0.051849365
1560826835841	TYPE_ROTATION_VECTOR	0.025119098	-0.019995483	-0.2824244
1560826835841	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.200001	51.42	-196.32
1560826835841	TYPE_GYROSCOPE_UNCALIBRATED	0.16990662	0.0063934326	-0.087890625
1560826835841	TYPE_ACCELEROMETER_UNCALIBRATED	0.11013794	0.4333496	11.185715
1560826835862	TYPE_ACCELEROMETER	0.15083313	0.28012085	9.892838
1560826835862	TYPE_MAGNETIC_FIELD	-22.5	31.199999	-56.219997
1560826835862	TYPE_GYROSCOPE	0.4771576	0.050933838	0.01687622
1560826835862	TYPE_ROTATION_VECTOR	0.026801381	-0.020384347	-0.28325495
1560826835862	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.200001	51.36	-196.38
1560826835862	TYPE_GYROSCOPE_UNCALIBRATED	0.3637848	-0.0138549805	-0.050079346
1560826835862	TYPE_ACCELEROMETER_UNCALIBRATED	0.15083313	0.28012085	9.892838
1560826835882	TYPE_ACCELEROMETER	0.03831482	0.09576416	9.2248535
1560826835882	TYPE_MAGNETIC_FIELD	-22.74	30.96	-56.46
1560826835882	TYPE_GYROSCOPE	0.33868408	0.12869263	0.046173096
1560826835882	TYPE_ROTATION_VECTOR	0.03028881	-0.02153445	-0.2836854
1560826835882	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.4400005	51.12	-196.62
1560826835882	TYPE_GYROSCOPE_UNCALIBRATED	0.47669983	0.050079346	0.01864624
1560826835882	TYPE_ACCELEROMETER_UNCALIBRATED	0.03831482	0.09576416	9.2248535
1560826835902	TYPE_ACCELEROMETER	-0.82121277	0.12210083	10.307037
1560826835902	TYPE_MAGNETIC_FIELD	-22.98	30.599998	-56.82
1560826835902	TYPE_GYROSCOPE	0.119766235	0.061050415	0.05895996
1560826835902	TYPE_ROTATION_VECTOR	0.035055507	-0.022417618	-0.28340092
1560826835902	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.6800003	50.76	-196.98001
1560826835902	TYPE_GYROSCOPE_UNCALIBRATED	0.11930847	0.060195923	0.06072998
1560826835902	TYPE_ACCELEROMETER_UNCALIBRATED	-0.82121277	0.12210083	10.307037
1560826835923	TYPE_ACCELEROMETER	-1.367096	0.13407898	11.3628845
1560826835923	TYPE_MAGNETIC_FIELD	-22.98	30.24	-57.239998
1560826835923	TYPE_GYROSCOPE	0.09313965	-0.09182739	0.15750122
1560826835923	TYPE_ROTATION_VECTOR	0.038695112	-0.022162212	-0.28283083
1560826835923	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.6800003	50.4	-197.4
1560826835923	TYPE_GYROSCOPE_UNCALIBRATED	0.11930847	0.060195923	0.06072998
1560826835923	TYPE_ACCELEROMETER_UNCALIBRATED	-1.367096	0.13407898	11.3628845
1560826835943	TYPE_ACCELEROMETER	-0.89064026	-0.10055542	11.2838745
1560826835943	TYPE_MAGNETIC_FIELD	-23.039999	29.76	-57.719997
1560826835943	TYPE_GYROSCOPE	0.13362122	-0.21380615	0.24377441
1560826835943	TYPE_ROTATION_VECTOR	0.040027946	-0.0219354	-0.28220809
1560826835943	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.74	49.92	-197.88
1560826835943	TYPE_GYROSCOPE_UNCALIBRATED	0.092681885	-0.092681885	0.15927124
1560826835943	TYPE_ACCELEROMETER_UNCALIBRATED	-0.89064026	-0.10055542	11.2838745
1560826835963	TYPE_ACCELEROMETER	-0.4908142	-0.22744751	10.795456
1560826835963	TYPE_MAGNETIC_FIELD	-23.279999	29.4	-58.02
1560826835963	TYPE_GYROSCOPE	0.1602478	-0.20953369	0.27467346
1560826835963	TYPE_ROTATION_VECTOR	0.040636413	-0.023150027	-0.28070003
1560826835963	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.9799995	49.559998	-198.18001
1560826835963	TYPE_GYROSCOPE_UNCALIBRATED	0.13316345	-0.21466064	0.24554443
1560826835963	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4908142	-0.22744751	10.795456
1560826835983	TYPE_ACCELEROMETER	-0.53630066	-0.23703003	10.029312
1560826835983	TYPE_MAGNETIC_FIELD	-23.4	28.92	-57.78
1560826835983	TYPE_GYROSCOPE	0.14639282	-0.109939575	0.2863922
1560826835983	TYPE_ROTATION_VECTOR	0.041264504	-0.025689365	-0.2783992
1560826835983	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.1000004	49.08	-197.94
1560826835983	TYPE_GYROSCOPE_UNCALIBRATED	0.15979004	-0.21038818	0.27644348
1560826835983	TYPE_ACCELEROMETER_UNCALIBRATED	-0.53630066	-0.23703003	10.029312
1560826836004	TYPE_ACCELEROMETER	-0.47644043	-0.14604187	9.440338
1560826836004	TYPE_MAGNETIC_FIELD	-23.4	28.92	-57.78
1560826836004	TYPE_GYROSCOPE	0.055847168	-0.05934143	0.27999878
1560826836004	TYPE_ROTATION_VECTOR	0.041264504	-0.025689365	-0.2783992
1560826836004	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.1000004	49.08	-197.94
1560826836004	TYPE_GYROSCOPE_UNCALIBRATED	0.14593506	-0.11079407	0.28816223
1560826836004	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47644043	-0.14604187	9.440338
1560826836024	TYPE_ACCELEROMETER	-0.48841858	0.08859253	9.25119
1560826836024	TYPE_MAGNETIC_FIELD	-23.699999	28.32	-58.02
1560826836024	TYPE_GYROSCOPE	-0.0037994385	-0.09449768	0.20649719
1560826836024	TYPE_ROTATION_VECTOR	0.042156853	-0.028290933	-0.27577642
1560826836024	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.3999996	48.48	-198.18001
1560826836024	TYPE_GYROSCOPE_UNCALIBRATED	-0.004257202	-0.09535217	0.20826721
1560826836024	TYPE_ACCELEROMETER_UNCALIBRATED	-0.48841858	0.08859253	9.25119
1560826836044	TYPE_ACCELEROMETER	-0.8523407	0.45489502	9.148239
1560826836044	TYPE_MAGNETIC_FIELD	-23.58	28.32	-58.26
1560826836044	TYPE_GYROSCOPE	-0.014984131	-0.11526489	0.17080688
1560826836044	TYPE_ROTATION_VECTOR	0.043189596	-0.029894631	-0.27299696
1560826836044	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.2800007	48.48	-198.42
1560826836044	TYPE_GYROSCOPE_UNCALIBRATED	-0.004257202	-0.09535217	0.20826721
1560826836044	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8523407	0.45489502	9.148239
1560826836064	TYPE_ACCELEROMETER	-0.62727356	0.52671814	9.18895
1560826836064	TYPE_MAGNETIC_FIELD	-23.34	27.66	-58.739998
1560826836064	TYPE_GYROSCOPE	-0.020324707	-0.09503174	0.19210815
1560826836064	TYPE_ROTATION_VECTOR	0.04348674	-0.03074913	-0.2702894
1560826836064	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.2199993	48.12	-198.72
1560826836064	TYPE_GYROSCOPE_UNCALIBRATED	-0.02078247	-0.09588623	0.19387817
1560826836064	TYPE_ACCELEROMETER_UNCALIBRATED	-0.62727356	0.52671814	9.18895
1560826836075	TYPE_WIFI	1eb87984a25ec2c69ccb36b004c1273062495fc4	db7d6857e199fd8e48d468c78bbd924bc9976b48	-88	5825	1560826820801
1560826836075	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	bc9b6f7d4e42649193092f704c75e2298794e949	-89	5805	1560826807316
1560826836075	TYPE_WIFI	1eb87984a25ec2c69ccb36b004c1273062495fc4	290429b59612db089b3b3978124dcab9a10d15ef	-84	2437	1560826824494
1560826836075	TYPE_WIFI	1eb87984a25ec2c69ccb36b004c1273062495fc4	53e7971f3695690cbc365847813d1e00b4eeae37	-74	2412	1560826807795
1560826836075	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	6343f99dce4bb3daace7d0a2836b5d40217a422c	-88	5765	1560826821357
1560826836075	TYPE_WIFI	1eb87984a25ec2c69ccb36b004c1273062495fc4	0bc4f3f56cc3009b3e3903b28c4e93c378c191c2	-82	2462	1560826823996
1560826836075	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	ff6a9b051643c7e1c8174f237c1f451192682e17	-82	2462	1560826823996
1560826836075	TYPE_WIFI	1eb87984a25ec2c69ccb36b004c1273062495fc4	ba02b89d0876b30249d61e618ef1fbb838cebfc9	-73	2462	1560826823986
1560826836075	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	f4e065c91d3ce488005f5b80a4eda4ee763d8a97	-75	2412	1560826807803
