#	startTime:1560826876508
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560826876508	TYPE_WAYPOINT	88.56084	69.76867
1560826876688	TYPE_ACCELEROMETER	-0.29447937	0.9002228	9.471466
1560826876688	TYPE_MAGNETIC_FIELD	-37.5	1.8	-11.219999
1560826876688	TYPE_GYROSCOPE	-0.021377563	0.096206665	0.28585815
1560826876688	TYPE_ROTATION_VECTOR	0.021296468	-0.016586969	-0.67247
1560826876688	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.2	21.96	-151.38
1560826876688	TYPE_GYROSCOPE_UNCALIBRATED	-0.021835327	0.09535217	0.28762817
1560826876688	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29447937	0.9002228	9.471466
1560826876708	TYPE_ACCELEROMETER	-0.45968628	0.8451538	8.894455
1560826876708	TYPE_MAGNETIC_FIELD	-37.68	1.92	-11.219999
1560826876708	TYPE_GYROSCOPE	0.016433716	0.091934204	0.21394348
1560826876708	TYPE_ROTATION_VECTOR	0.044857126	-0.020590374	-0.671368
1560826876708	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.380001	22.08	-151.38
1560826876708	TYPE_GYROSCOPE_UNCALIBRATED	0.015975952	0.09107971	0.2157135
1560826876708	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45968628	0.8451538	8.894455
1560826876729	TYPE_ACCELEROMETER	-0.3615265	0.52194214	8.942337
1560826876729	TYPE_MAGNETIC_FIELD	-38.04	2.1	-11.219999
1560826876729	TYPE_GYROSCOPE	-0.062927246	0.077560425	0.19104004
1560826876729	TYPE_ROTATION_VECTOR	0.052221604	-0.0140993	-0.67361486
1560826876729	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.740002	22.26	-151.38
1560826876729	TYPE_GYROSCOPE_UNCALIBRATED	-0.06338501	0.07670593	0.19281006
1560826876729	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3615265	0.52194214	8.942337
1560826876749	TYPE_ACCELEROMETER	-0.18914795	0.28012085	9.832993
1560826876749	TYPE_MAGNETIC_FIELD	-38.399998	2.52	-11.34
1560826876749	TYPE_GYROSCOPE	-0.21792603	0.06637573	0.20277405
1560826876749	TYPE_ROTATION_VECTOR	0.034671474	-0.0040740427	-0.65695846
1560826876749	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.099998	22.68	-151.5
1560826876749	TYPE_GYROSCOPE_UNCALIBRATED	-0.06338501	0.07670593	0.19281006
1560826876749	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18914795	0.28012085	9.832993
1560826876769	TYPE_ACCELEROMETER	-0.37348938	0.30166626	10.388443
1560826876769	TYPE_MAGNETIC_FIELD	-38.64	2.6399999	-11.58
1560826876769	TYPE_GYROSCOPE	-0.26000977	0.08288574	0.21714783
1560826876769	TYPE_ROTATION_VECTOR	0.03344478	-0.002039374	-0.6530957
1560826876769	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.34	22.8	-151.74
1560826876769	TYPE_GYROSCOPE_UNCALIBRATED	-0.21838379	0.06552124	0.20454407
1560826876769	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37348938	0.30166626	10.388443
1560826876790	TYPE_ACCELEROMETER	-0.2753296	0.46447754	10.156204
1560826876790	TYPE_MAGNETIC_FIELD	-38.28	3.0	-11.58
1560826876790	TYPE_GYROSCOPE	-0.20887756	0.014175415	0.25602722
1560826876790	TYPE_ROTATION_VECTOR	0.031997036	2.4181147E-4	-0.65140426
1560826876790	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.98	23.16	-151.74
1560826876790	TYPE_GYROSCOPE_UNCALIBRATED	-0.26046753	0.08203125	0.21891785
1560826876790	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2753296	0.46447754	10.156204
1560826876810	TYPE_ACCELEROMETER	-0.19392395	0.6320648	9.5720215
1560826876810	TYPE_MAGNETIC_FIELD	-38.28	3.4199998	-11.34
1560826876810	TYPE_GYROSCOPE	-0.13696289	-0.051345825	0.26828003
