#	startTime:1560827019910
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560827019911	TYPE_WAYPOINT	107.950424	108.35436
1560827020069	TYPE_ACCELEROMETER	0.09576416	-0.10774231	11.137833
1560827020069	TYPE_MAGNETIC_FIELD	4.38	27.66	-35.76
1560827020069	TYPE_GYROSCOPE	0.33068848	-0.08331299	0.13246155
1560827020069	TYPE_ROTATION_VECTOR	0.015555296	-3.7808623E-4	0.07485903
1560827020069	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.68	47.82	-175.92
1560827020069	TYPE_GYROSCOPE_UNCALIBRATED	0.43356323	0.094818115	0.16192627
1560827020069	TYPE_ACCELEROMETER_UNCALIBRATED	0.09576416	-0.10774231	11.137833
1560827020089	TYPE_ACCELEROMETER	-0.31604004	-0.5602417	11.346115
1560827020089	TYPE_MAGNETIC_FIELD	4.5	27.539999	-35.579998
1560827020089	TYPE_GYROSCOPE	0.2268219	-0.19143677	0.14790344
1560827020089	TYPE_ROTATION_VECTOR	1.5557442E-5	-0.004060085	0.0983737
1560827020089	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.8	47.699997	-175.74
1560827020089	TYPE_GYROSCOPE_UNCALIBRATED	0.3302307	-0.08416748	0.13423157
1560827020089	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31604004	-0.5602417	11.346115
1560827020110	TYPE_ACCELEROMETER	-0.70628357	-1.1707611	11.666946
1560827020110	TYPE_MAGNETIC_FIELD	4.5	27.3	-35.579998
1560827020110	TYPE_GYROSCOPE	0.20446777	-0.08329773	0.22621155
1560827020110	TYPE_ROTATION_VECTOR	-0.024055172	0.012252884	0.07201125
1560827020110	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.8	47.46	-175.74
1560827020110	TYPE_GYROSCOPE_UNCALIBRATED	0.22636414	-0.19229126	0.14967346
1560827020110	TYPE_ACCELEROMETER_UNCALIBRATED	-0.70628357	-1.1707611	11.666946
1560827020130	TYPE_ACCELEROMETER	-0.61531067	-1.608902	11.38443
1560827020130	TYPE_MAGNETIC_FIELD	4.38	27.06	-35.88
1560827020130	TYPE_GYROSCOPE	0.14533997	0.0019226074	0.32633972
1560827020130	TYPE_ROTATION_VECTOR	-0.051256713	0.027983902	0.036816232
1560827020130	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.68	47.22	-176.04001
1560827020130	TYPE_GYROSCOPE_UNCALIBRATED	0.20401001	-0.08415222	0.22798157
1560827020130	TYPE_ACCELEROMETER_UNCALIBRATED	-0.61531067	-1.608902	11.38443
1560827020150	TYPE_ACCELEROMETER	-0.19871521	-1.6472168	11.360489
1560827020150	TYPE_MAGNETIC_FIELD	4.2599998	26.699999	-36.059998
1560827020150	TYPE_GYROSCOPE	0.040405273	-0.037490845	0.37319946
1560827020150	TYPE_ROTATION_VECTOR	-0.070754	0.024572117	0.032801904
1560827020150	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.56	46.86	-176.22
1560827020150	TYPE_GYROSCOPE_UNCALIBRATED	0.1448822	0.0010681152	0.32810974
1560827020150	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19871521	-1.6472168	11.360489
1560827020171	TYPE_ACCELEROMETER	-0.08380127	-1.4006042	11.192886
1560827020171	TYPE_MAGNETIC_FIELD	4.2	26.22	-36.239998
1560827020171	TYPE_GYROSCOPE	0.07235718	-0.15893555	0.40942383
1560827020171	TYPE_ROTATION_VECTOR	-0.07158553	4.113405E-4	0.083801255
1560827020171	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.5	46.379997	-176.4
1560827020171	TYPE_GYROSCOPE_UNCALIBRATED	0.03994751	-0.038345337	0.37496948
1560827020171	TYPE_ACCELEROMETER_UNCALIBRATED	-0.08380127	-1.4006042	11.192886
1560827020191	TYPE_ACCELEROMETER	-0.0023956299	-1.2856903	10.2447815
1560827020191	TYPE_MAGNETIC_FIELD	4.3199997	26.039999	-36.54
1560827020191	TYPE_GYROSCOPE	0.13948059	-0.063064575	0.4344635
1560827020191	TYPE_ROTATION_VECTOR	-0.07014489	3.795156E-4	0.088837
1560827020191	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.619999	46.199997	-176.70001
1560827020191	TYPE_GYROSCOPE_UNCALIBRATED	0.071899414	-0.15979004	0.41119385
1560827020191	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0023956299	-1.2856903	10.2447815
1560827020211	TYPE_ACCELEROMETER	-0.21069336	-1.391037	9.62709
1560827020211	TYPE_MAGNETIC_FIELD	4.62	25.859999	-36.84
1560827020211	TYPE_GYROSCOPE	0.112854004	0.13508606	0.39237976
1560827020211	TYPE_ROTATION_VECTOR	-0.069698095	3.0540003E-4	0.09261706
1560827020211	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.919998	46.019997	-177.0
1560827020211	TYPE_GYROSCOPE_UNCALIBRATED	0.13902283	-0.06391907	0.43623352
1560827020211	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21069336	-1.391037	9.62709
1560827020231	TYPE_ACCELEROMETER	-0.6081238	-1.4556732	9.639053
1560827020231	TYPE_MAGNETIC_FIELD	4.7999997	25.8	-37.26
1560827020231	TYPE_GYROSCOPE	0.0382843	0.19845581	0.33857727
1560827020231	TYPE_ROTATION_VECTOR	-0.068821825	-9.310289E-4	0.09684366
1560827020231	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.099998	45.96	-177.42
