#	startTime:1560827045351
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560827045352	TYPE_WAYPOINT	103.300415	107.73762
1560827045527	TYPE_ACCELEROMETER	0.1484375	0.06942749	11.123459
1560827045527	TYPE_MAGNETIC_FIELD	25.92	-20.699999	-36.96
1560827045527	TYPE_GYROSCOPE	0.11071777	-0.15148926	-0.3762207
1560827045527	TYPE_ROTATION_VECTOR	0.014590919	0.0055089835	0.89392275
1560827045527	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.22	-0.539999	-177.12
1560827045527	TYPE_GYROSCOPE_UNCALIBRATED	0.21412659	-0.21784973	-0.31958008
1560827045527	TYPE_ACCELEROMETER_UNCALIBRATED	0.1484375	0.06942749	11.123459
1560827045547	TYPE_ACCELEROMETER	0.42138672	-0.10295105	11.616669
1560827045547	TYPE_MAGNETIC_FIELD	25.92	-20.76	-36.96
1560827045547	TYPE_GYROSCOPE	0.024963379	-0.19888306	-0.40177917
1560827045547	TYPE_ROTATION_VECTOR	0.006721727	5.509135E-6	0.897699
1560827045547	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.22	-0.6000004	-177.12
1560827045547	TYPE_GYROSCOPE_UNCALIBRATED	0.11026001	-0.15234375	-0.37445068
1560827045547	TYPE_ACCELEROMETER_UNCALIBRATED	0.42138672	-0.10295105	11.616669
1560827045568	TYPE_ACCELEROMETER	0.8092346	-0.52911377	11.38443
1560827045568	TYPE_MAGNETIC_FIELD	25.8	-20.88	-36.96
1560827045568	TYPE_GYROSCOPE	0.0020599365	-0.3821106	-0.43107605
1560827045568	TYPE_ROTATION_VECTOR	0.013482795	-0.007805141	0.9013171
1560827045568	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.1	-0.7199993	-177.12
1560827045568	TYPE_GYROSCOPE_UNCALIBRATED	0.024505615	-0.19973755	-0.40000916
1560827045568	TYPE_ACCELEROMETER_UNCALIBRATED	0.8092346	-0.52911377	11.38443
1560827045588	TYPE_ACCELEROMETER	0.33039856	-0.8044586	10.9917755
1560827045588	TYPE_MAGNETIC_FIELD	25.619999	-20.88	-36.96
1560827045588	TYPE_GYROSCOPE	-0.048553467	-0.51101685	-0.48753357
1560827045588	TYPE_ROTATION_VECTOR	0.021721922	-0.035131574	0.9001344
1560827045588	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.92	-0.7199993	-177.12
1560827045588	TYPE_GYROSCOPE_UNCALIBRATED	-0.04901123	-0.51187134	-0.48576355
1560827045588	TYPE_ACCELEROMETER_UNCALIBRATED	0.33039856	-0.8044586	10.9917755
1560827045608	TYPE_ACCELEROMETER	0.4237671	-1.3048401	11.578354
1560827045608	TYPE_MAGNETIC_FIELD	25.32	-21.06	-37.02
1560827045608	TYPE_GYROSCOPE	-0.24403381	-0.49928284	-0.41456604
1560827045608	TYPE_ROTATION_VECTOR	2.172566E-5	-0.038450036	0.91011375
1560827045608	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.62	-0.8999996	-177.18001
1560827045608	TYPE_GYROSCOPE_UNCALIBRATED	-0.24449158	-0.5001373	-0.41279602
1560827045608	TYPE_ACCELEROMETER_UNCALIBRATED	0.4237671	-1.3048401	11.578354
1560827045629	TYPE_ACCELEROMETER	0.9720459	-2.0614014	13.046005
1560827045629	TYPE_MAGNETIC_FIELD	25.32	-21.06	-37.02
1560827045629	TYPE_GYROSCOPE	-0.43045044	-0.2654724	-0.30751038
1560827045629	TYPE_ROTATION_VECTOR	2.172566E-5	-0.038450036	0.91011375
1560827045629	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.62	-0.8999996	-177.18001
1560827045629	TYPE_GYROSCOPE_UNCALIBRATED	-0.24449158	-0.5001373	-0.41279602
1560827045629	TYPE_ACCELEROMETER_UNCALIBRATED	0.9720459	-2.0614014	13.046005
1560827045649	TYPE_ACCELEROMETER	1.043869	-2.3941956	13.862427
1560827045649	TYPE_MAGNETIC_FIELD	25.08	-21.18	-37.079998
1560827045649	TYPE_GYROSCOPE	-0.37931824	-0.018859863	-0.28407288
1560827045649	TYPE_ROTATION_VECTOR	0.004500403	-0.04181337	0.9081156
1560827045649	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.379997	-1.0200005	-177.24
1560827045649	TYPE_GYROSCOPE_UNCALIBRATED	-0.4309082	-0.2663269	-0.30574036
1560827045649	TYPE_ACCELEROMETER_UNCALIBRATED	1.043869	-2.3941956	13.862427
1560827045669	TYPE_ACCELEROMETER	0.53630066	-2.1356354	12.78743
1560827045669	TYPE_MAGNETIC_FIELD	24.779999	-20.88	-37.38
1560827045669	TYPE_GYROSCOPE	-0.067718506	-0.015136719	-0.3458557
1560827045669	TYPE_ROTATION_VECTOR	0.0069008823	-0.046805307	0.9064237
1560827045669	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.079998	-0.7199993	-177.54001
1560827045669	TYPE_GYROSCOPE_UNCALIBRATED	-0.06817627	-0.015991211	-0.3440857
1560827045669	TYPE_ACCELEROMETER_UNCALIBRATED	0.53630066	-2.1356354	12.78743
1560827045689	TYPE_ACCELEROMETER	0.6607971	-1.8076172	10.228027
1560827045689	TYPE_MAGNETIC_FIELD	24.779999	-20.4	-37.32
1560827045689	TYPE_GYROSCOPE	0.28329468	-0.10940552	-0.3527832
1560827045689	TYPE_ROTATION_VECTOR	0.006258655	-0.051314507	0.904999
1560827045689	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.079998	-0.23999977	-177.48001
1560827045689	TYPE_GYROSCOPE_UNCALIBRATED	-0.06817627	-0.015991211	-0.3440857
1560827045689	TYPE_ACCELEROMETER_UNCALIBRATED	0.53630066	-2.1356354	12.78743
1560827045710	TYPE_ACCELEROMETER	0.89782715	-1.742981	8.382095
1560827045710	TYPE_MAGNETIC_FIELD	24.119999	-19.8	-37.44
1560827045710	TYPE_GYROSCOPE	0.29501343	-0.114730835	-0.3751526
1560827045710	TYPE_ROTATION_VECTOR	0.005234329	-0.053550523	0.903529
1560827045710	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.6	0.059999466	-177.42
1560827045710	TYPE_GYROSCOPE_UNCALIBRATED	0.2828369	-0.11026001	-0.35101318
1560827045710	TYPE_ACCELEROMETER_UNCALIBRATED	0.6607971	-1.8076172	10.228027
1560827045730	TYPE_ACCELEROMETER	0.8164215	-1.5969391	8.0421295
1560827045730	TYPE_MAGNETIC_FIELD	24.119999	-19.8	-37.44
1560827045730	TYPE_GYROSCOPE	0.011108398	-0.13070679	-0.44065857
1560827045730	TYPE_ROTATION_VECTOR	0.006632383	-0.052629046	0.90204906
1560827045730	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.42	0.3600006	-177.6
1560827045730	TYPE_GYROSCOPE_UNCALIBRATED	0.29455566	-0.11558533	-0.37338257
