#	startTime:1560827092409
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560827092409	TYPE_WAYPOINT	95.152626	78.24131
1560827092565	TYPE_ACCELEROMETER	0.7541809	0.3423767	11.276688
1560827092565	TYPE_MAGNETIC_FIELD	-0.48	-39.54	-41.219997
1560827092565	TYPE_GYROSCOPE	-0.025650024	0.040802002	-0.12747192
1560827092565	TYPE_ROTATION_VECTOR	-0.053800415	-0.027644498	-0.99509484
1560827092565	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.82	-19.380001	-181.38
1560827092565	TYPE_GYROSCOPE_UNCALIBRATED	0.06338501	0.22210693	-0.08628845
1560827092565	TYPE_ACCELEROMETER_UNCALIBRATED	0.7541809	0.3423767	11.276688
1560827092585	TYPE_ACCELEROMETER	0.4333496	0.16281128	12.392395
1560827092585	TYPE_MAGNETIC_FIELD	-0.17999999	-39.18	-41.28
1560827092585	TYPE_GYROSCOPE	0.044662476	-0.09448242	-0.12640381
1560827092585	TYPE_ROTATION_VECTOR	-0.017472358	-7.924577E-6	-0.9996187
1560827092585	TYPE_MAGNETIC_FIELD_UNCALIBRATED	18.119999	-19.02	-181.44
1560827092585	TYPE_GYROSCOPE_UNCALIBRATED	-0.026107788	0.03994751	-0.1257019
1560827092585	TYPE_ACCELEROMETER_UNCALIBRATED	0.45010376	0.03112793	12.500122
1560827092605	TYPE_ACCELEROMETER	0.45010376	0.03112793	12.500122
1560827092605	TYPE_MAGNETIC_FIELD	-0.17999999	-39.18	-41.28
1560827092605	TYPE_GYROSCOPE	0.19433594	-0.016189575	-0.110961914
1560827092605	TYPE_ROTATION_VECTOR	-0.017472358	-7.924577E-6	-0.9996187
1560827092605	TYPE_MAGNETIC_FIELD_UNCALIBRATED	18.119999	-19.02	-181.44
1560827092605	TYPE_GYROSCOPE_UNCALIBRATED	0.044204712	-0.095336914	-0.12463379
1560827092605	TYPE_ACCELEROMETER_UNCALIBRATED	0.45010376	0.03112793	12.500122
1560827092626	TYPE_ACCELEROMETER	0.62727356	-0.23942566	12.05481
1560827092626	TYPE_MAGNETIC_FIELD	0.65999997	-38.46	-41.219997
1560827092626	TYPE_GYROSCOPE	0.29341125	0.18089294	-0.09605408
1560827092626	TYPE_ROTATION_VECTOR	-0.018268062	-7.925025E-11	-0.99879295
1560827092626	TYPE_MAGNETIC_FIELD_UNCALIBRATED	18.72	-18.419998	-181.44
1560827092626	TYPE_GYROSCOPE_UNCALIBRATED	0.19387817	-0.017044067	-0.109191895
1560827092626	TYPE_ACCELEROMETER_UNCALIBRATED	0.62727356	-0.23942566	12.05481
1560827092646	TYPE_ACCELEROMETER	0.23942566	-0.7517853	11.386826
1560827092646	TYPE_MAGNETIC_FIELD	0.65999997	-38.399998	-41.219997
1560827092646	TYPE_GYROSCOPE	0.21511841	0.21763611	-0.053970337
1560827092646	TYPE_ROTATION_VECTOR	-0.02357222	0.0064796647	-0.9989963
1560827092646	TYPE_MAGNETIC_FIELD_UNCALIBRATED	18.96	-18.239998	-181.38
1560827092646	TYPE_GYROSCOPE_UNCALIBRATED	0.2929535	0.18003845	-0.09428406
1560827092646	TYPE_ACCELEROMETER_UNCALIBRATED	0.23942566	-0.7517853	11.386826
1560827092666	TYPE_ACCELEROMETER	-0.69192505	-1.2114716	11.039658
1560827092666	TYPE_MAGNETIC_FIELD	0.71999997	-38.46	-40.92
1560827092666	TYPE_GYROSCOPE	0.09899902	0.12496948	0.09463501
1560827092666	TYPE_ROTATION_VECTOR	-0.021454778	0.0041996017	-0.9990369
1560827092666	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.019999	-18.3	-181.08
1560827092666	TYPE_GYROSCOPE_UNCALIBRATED	0.21466064	0.21678162	-0.052200317
1560827092666	TYPE_ACCELEROMETER_UNCALIBRATED	-0.69192505	-1.2114716	11.039658
1560827092687	TYPE_ACCELEROMETER	-0.84754944	-1.632843	10.781097
1560827092687	TYPE_MAGNETIC_FIELD	0.65999997	-38.28	-40.62
1560827092687	TYPE_GYROSCOPE	0.022827148	-0.0018157959	0.2544403
1560827092687	TYPE_ROTATION_VECTOR	-0.020213978	0.0031588236	-0.9991028
1560827092687	TYPE_MAGNETIC_FIELD_UNCALIBRATED	18.96	-18.119999	-180.78
1560827092687	TYPE_GYROSCOPE_UNCALIBRATED	0.09854126	0.12411499	0.09640503
1560827092687	TYPE_ACCELEROMETER_UNCALIBRATED	-0.84754944	-1.632843	10.781097
1560827092707	TYPE_ACCELEROMETER	-0.61531067	-1.8171997	10.37886
1560827092707	TYPE_MAGNETIC_FIELD	0.78	-38.28	-40.32
1560827092707	TYPE_GYROSCOPE	-0.08477783	-0.19302368	0.36575317
1560827092707	TYPE_ROTATION_VECTOR	-0.020224018	0.0029752168	-0.9991949
1560827092707	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.08	-18.119999	-180.48001
1560827092707	TYPE_GYROSCOPE_UNCALIBRATED	0.022369385	-0.002670288	0.25621033
1560827092707	TYPE_ACCELEROMETER_UNCALIBRATED	-0.61531067	-1.8171997	10.37886
1560827092727	TYPE_ACCELEROMETER	-0.24659729	-1.7788849	10.469849
1560827092727	TYPE_MAGNETIC_FIELD	0.78	-38.04	-39.84
1560827092727	TYPE_GYROSCOPE	-0.09436035	-0.32725525	0.4040985
1560827092727	TYPE_ROTATION_VECTOR	-0.022121597	0.0039666537	-0.99927175
1560827092727	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.08	-17.880001	-180.0
1560827092727	TYPE_GYROSCOPE_UNCALIBRATED	-0.085235596	-0.19387817	0.3675232
1560827092727	TYPE_ACCELEROMETER_UNCALIBRATED	0.29927063	-1.7836761	10.807434
1560827092747	TYPE_ACCELEROMETER	0.29927063	-1.7836761	10.807434
1560827092747	TYPE_MAGNETIC_FIELD	0.71999997	-38.28	-39.239998
1560827092747	TYPE_GYROSCOPE	0.047332764	-0.26226807	0.41900635
1560827092747	TYPE_ROTATION_VECTOR	-0.025391014	0.0051224744	-0.9993066
1560827092747	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.019999	-18.119999	-179.4
1560827092747	TYPE_GYROSCOPE_UNCALIBRATED	-0.094818115	-0.32810974	0.40586853
1560827092747	TYPE_ACCELEROMETER_UNCALIBRATED	0.8044586	-1.9440918	10.290283
1560827092768	TYPE_ACCELEROMETER	0.8044586	-1.9440918	10.290283
1560827092768	TYPE_MAGNETIC_FIELD	0.35999998	-38.46	-39.239998
1560827092768	TYPE_GYROSCOPE	0.09048462	-0.10568237	0.35456848
1560827092768	TYPE_ROTATION_VECTOR	-0.028041173	0.0048345	-0.9993424
1560827092768	TYPE_MAGNETIC_FIELD_UNCALIBRATED	18.66	-18.3	-179.4
1560827092768	TYPE_GYROSCOPE_UNCALIBRATED	0.046875	-0.26312256	0.42077637
1560827092768	TYPE_ACCELEROMETER_UNCALIBRATED	0.67037964	-1.8243866	9.801865
1560827092788	TYPE_ACCELEROMETER	0.67037964	-1.8243866	9.801865
