#	startTime:1560827108623
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560827108623	TYPE_WAYPOINT	95.152626	78.24131
1560827108788	TYPE_ACCELEROMETER	-0.9816284	0.23223877	8.413223
1560827108788	TYPE_MAGNETIC_FIELD	-4.44	26.16	-34.86
1560827108788	TYPE_GYROSCOPE	-0.07785034	-0.03590393	-0.01776123
1560827108788	TYPE_ROTATION_VECTOR	0.0117280595	0.024410842	-0.1436892
1560827108788	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.859999	46.32	-175.02
1560827108788	TYPE_GYROSCOPE_UNCALIBRATED	0.023971558	-0.19334412	-0.054336548
1560827108788	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9816284	0.23223877	8.413223
1560827108808	TYPE_ACCELEROMETER	-1.2473755	0.21548462	8.777145
1560827108808	TYPE_MAGNETIC_FIELD	-4.68	26.22	-34.86
1560827108808	TYPE_GYROSCOPE	-0.24508667	-0.021514893	0.06800842
1560827108808	TYPE_ROTATION_VECTOR	0.020364322	0.05473798	-0.16854179
1560827108808	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.619999	46.379997	-175.02
1560827108808	TYPE_GYROSCOPE_UNCALIBRATED	-0.078308105	-0.036758423	-0.015991211
1560827108808	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2473755	0.21548462	8.777145
1560827108829	TYPE_ACCELEROMETER	-1.0558472	0.14125061	9.48822
1560827108829	TYPE_MAGNETIC_FIELD	-5.04	26.22	-34.98
1560827108829	TYPE_GYROSCOPE	-0.33509827	-0.08010864	0.12606812
1560827108829	TYPE_ROTATION_VECTOR	0.027193071	0.066208325	-0.20335394
1560827108829	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.259999	46.379997	-175.14
1560827108829	TYPE_GYROSCOPE_UNCALIBRATED	-0.24554443	-0.022369385	0.06977844
1560827108829	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0558472	0.14125061	9.48822
1560827108849	TYPE_ACCELEROMETER	-0.79008484	0.10534668	9.6510315
1560827108849	TYPE_MAGNETIC_FIELD	-5.22	26.46	-34.92
