#	startTime:1560827347096
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560827347096	TYPE_WAYPOINT	121.968704	84.82381
1560827347258	TYPE_ACCELEROMETER	0.13887024	0.5410919	9.926361
1560827347258	TYPE_MAGNETIC_FIELD	-24.9	19.02	-39.48
1560827347258	TYPE_GYROSCOPE	-0.08476257	-0.010345459	-0.05557251
1560827347258	TYPE_ROTATION_VECTOR	0.022888167	-0.026361162	-0.40570152
1560827347258	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.6000004	39.18	-179.64
1560827347258	TYPE_GYROSCOPE_UNCALIBRATED	-0.067108154	-0.03036499	-0.03994751
1560827347258	TYPE_ACCELEROMETER_UNCALIBRATED	0.13887024	0.5410919	9.926361
1560827347278	TYPE_ACCELEROMETER	-0.0023956299	0.54348755	10.292679
1560827347278	TYPE_MAGNETIC_FIELD	-24.779999	19.02	-39.36
1560827347278	TYPE_GYROSCOPE	-0.058670044	-0.02204895	-0.060897827
1560827347278	TYPE_ROTATION_VECTOR	0.020998852	-0.016977867	-0.4074869
1560827347278	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.4799995	39.18	-179.52
1560827347278	TYPE_GYROSCOPE_UNCALIBRATED	-0.059127808	-0.022903442	-0.059127808
1560827347278	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0023956299	0.54348755	10.292679
1560827347299	TYPE_ACCELEROMETER	-0.19392395	0.52671814	10.165787
1560827347299	TYPE_MAGNETIC_FIELD	-24.6	19.26	-39.48
1560827347299	TYPE_GYROSCOPE	-0.026184082	-0.07371521	-0.06515503
1560827347299	TYPE_ROTATION_VECTOR	0.024930434	-0.010394637	-0.39400303
1560827347299	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.300001	39.42	-179.64
1560827347299	TYPE_GYROSCOPE_UNCALIBRATED	-0.059127808	-0.022903442	-0.059127808
1560827347299	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19392395	0.52671814	10.165787
1560827347319	TYPE_ACCELEROMETER	-0.3040619	0.5027771	10.046066
1560827347319	TYPE_MAGNETIC_FIELD	-24.48	19.619999	-39.48
1560827347319	TYPE_GYROSCOPE	-0.022979736	-0.09236145	-0.061431885
1560827347319	TYPE_ROTATION_VECTOR	0.027008073	-3.9713652E-4	-0.38929063
1560827347319	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.1800003	39.78	-179.64
1560827347319	TYPE_GYROSCOPE_UNCALIBRATED	-0.026641846	-0.0745697	-0.06338501
1560827347319	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3040619	0.5027771	10.046066
1560827347339	TYPE_ACCELEROMETER	-0.34477234	0.44770813	9.897629
1560827347339	TYPE_MAGNETIC_FIELD	-24.42	19.5	-39.36
