#	startTime:1560827446490
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560827446491	TYPE_WAYPOINT	134.35156	106.662285
1560827446654	TYPE_ACCELEROMETER	0.12210083	0.33039856	10.601532
1560827446654	TYPE_MAGNETIC_FIELD	21.3	-34.14	-28.74
1560827446654	TYPE_GYROSCOPE	-0.08850098	0.13241577	-0.07208252
1560827446654	TYPE_ROTATION_VECTOR	0.006680618	0.0140479095	0.9575577
1560827446654	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.0	-20.34	-157.08
1560827446654	TYPE_GYROSCOPE_UNCALIBRATED	-0.08895874	0.13156128	-0.0703125
1560827446654	TYPE_ACCELEROMETER_UNCALIBRATED	0.12210083	0.33039856	10.601532
1560827446674	TYPE_ACCELEROMETER	0.12449646	0.42616272	9.62709
1560827446674	TYPE_MAGNETIC_FIELD	21.359999	-34.02	-29.099998
1560827446674	TYPE_GYROSCOPE	0.09953308	0.21018982	-0.09552002
1560827446674	TYPE_ROTATION_VECTOR	0.009440434	0.012391694	0.9544181
1560827446674	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.059998	-20.220001	-157.44
1560827446674	TYPE_GYROSCOPE_UNCALIBRATED	0.09907532	0.20933533	-0.09375
1560827446674	TYPE_ACCELEROMETER_UNCALIBRATED	0.12449646	0.42616272	9.62709
1560827446695	TYPE_ACCELEROMETER	0.13647461	0.53630066	8.621521
1560827446695	TYPE_MAGNETIC_FIELD	21.119999	-33.78	-29.58
1560827446695	TYPE_GYROSCOPE	0.07876587	0.14253235	-0.10935974
1560827446695	TYPE_ROTATION_VECTOR	0.012269079	0.018348437	0.9618316
1560827446695	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.82	-19.98	-157.92
1560827446695	TYPE_GYROSCOPE_UNCALIBRATED	0.09907532	0.20933533	-0.09375
1560827446695	TYPE_ACCELEROMETER_UNCALIBRATED	0.13647461	0.53630066	8.621521
1560827446715	TYPE_ACCELEROMETER	0.22026062	0.67037964	8.456314
1560827446715	TYPE_MAGNETIC_FIELD	21.06	-33.6	-29.76
1560827446715	TYPE_GYROSCOPE	-0.0783844	0.0104522705	-0.09338379
1560827446715	TYPE_ROTATION_VECTOR	0.016446603	0.026537102	0.9557775
1560827446715	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.759998	-19.8	-158.09999
1560827446715	TYPE_GYROSCOPE_UNCALIBRATED	0.078308105	0.14167786	-0.10758972
1560827446715	TYPE_ACCELEROMETER_UNCALIBRATED	0.22026062	0.67037964	8.456314
1560827446735	TYPE_ACCELEROMETER	0.45489502	0.5482788	9.07402
