#	startTime:1560827520404
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560827520404	TYPE_WAYPOINT	134.35156	106.662285
1560827520578	TYPE_ACCELEROMETER	-0.8236084	0.9720459	10.041275
1560827520578	TYPE_MAGNETIC_FIELD	27.599998	31.199999	-37.739998
1560827520578	TYPE_GYROSCOPE	-0.35588074	-0.091293335	-7.019043E-4
1560827520578	TYPE_ROTATION_VECTOR	0.039731503	0.05530416	0.29053354
1560827520578	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.3	45.0	-166.07999
1560827520578	TYPE_GYROSCOPE_UNCALIBRATED	-0.3052063	-0.009597778	-0.024505615
1560827520578	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8236084	0.9720459	10.041275
1560827520598	TYPE_ACCELEROMETER	-0.802063	0.9624634	10.354919
1560827520598	TYPE_MAGNETIC_FIELD	27.599998	31.38	-37.8
1560827520598	TYPE_GYROSCOPE	-0.26319885	-0.1749115	0.038711548
1560827520598	TYPE_ROTATION_VECTOR	0.033600565	0.052665286	0.296191
1560827520598	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.3	45.18	-166.14
1560827520598	TYPE_GYROSCOPE_UNCALIBRATED	-0.26365662	-0.17576599	0.040481567
1560827520598	TYPE_ACCELEROMETER_UNCALIBRATED	-0.802063	0.9624634	10.354919
1560827520619	TYPE_ACCELEROMETER	-0.806839	0.9911957	9.840164
1560827520619	TYPE_MAGNETIC_FIELD	27.599998	31.38	-37.68
1560827520619	TYPE_GYROSCOPE	-0.107666016	-0.17971802	0.08984375
1560827520619	TYPE_ROTATION_VECTOR	0.030046295	0.05012821	0.3116986
1560827520619	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.3	45.18	-166.01999
1560827520619	TYPE_GYROSCOPE_UNCALIBRATED	-0.26365662	-0.17576599	0.040481567
1560827520619	TYPE_ACCELEROMETER_UNCALIBRATED	-0.806839	0.9911957	9.840164
1560827520639	TYPE_ACCELEROMETER	-0.72784424	1.1564026	9.291901
1560827520639	TYPE_MAGNETIC_FIELD	27.72	31.619999	-37.44
1560827520639	TYPE_GYROSCOPE	-0.04321289	-0.12484741	0.14311218
1560827520639	TYPE_ROTATION_VECTOR	0.03493284	0.054063328	0.30917642
1560827520639	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.42	45.42	-165.78
1560827520639	TYPE_GYROSCOPE_UNCALIBRATED	-0.043670654	-0.1257019	0.1448822
1560827520639	TYPE_ACCELEROMETER_UNCALIBRATED	-0.72784424	1.1564026	9.291901
1560827520659	TYPE_ACCELEROMETER	-0.7182617	1.2162476	9.366119
1560827520659	TYPE_MAGNETIC_FIELD	27.9	31.92	-37.2
1560827520659	TYPE_GYROSCOPE	-0.11566162	0.0061798096	0.17080688
1560827520659	TYPE_ROTATION_VECTOR	0.045297917	0.054783717	0.30664778
1560827520659	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.6	45.72	-165.54
1560827520659	TYPE_GYROSCOPE_UNCALIBRATED	-0.116119385	0.0053253174	0.1725769
1560827520659	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7182617	1.2162476	9.366119
1560827520680	TYPE_ACCELEROMETER	-0.73501587	1.1707611	9.593567
1560827520680	TYPE_MAGNETIC_FIELD	27.9	32.28	-37.26
1560827520680	TYPE_GYROSCOPE	-0.16893005	0.013641357	0.17878723
1560827520680	TYPE_ROTATION_VECTOR	0.04428269	0.054402877	0.30834445
1560827520680	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.6	46.079998	-165.59999
1560827520680	TYPE_GYROSCOPE_UNCALIBRATED	-0.116119385	0.0053253174	0.1725769
1560827520680	TYPE_ACCELEROMETER_UNCALIBRATED	-0.73501587	1.1707611	9.593567
1560827520700	TYPE_ACCELEROMETER	-0.6081238	1.0630188	9.758759
1560827520700	TYPE_MAGNETIC_FIELD	28.199999	32.219997	-37.26
1560827520700	TYPE_GYROSCOPE	-0.17318726	-0.056671143	0.16601562
1560827520700	TYPE_ROTATION_VECTOR	0.042713307	0.05392799	0.3101654
1560827520700	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.899998	46.019997	-165.59999
1560827520700	TYPE_GYROSCOPE_UNCALIBRATED	-0.16938782	0.012786865	0.18055725
1560827520700	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6081238	1.0630188	9.758759
1560827520720	TYPE_ACCELEROMETER	-0.65600586	1.0965424	9.96228
1560827520720	TYPE_MAGNETIC_FIELD	28.32	32.399998	-37.2
1560827520720	TYPE_GYROSCOPE	-0.138031	-0.08862305	0.13778687
1560827520720	TYPE_ROTATION_VECTOR	0.041317277	0.052772913	0.31183004
1560827520720	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.02	46.199997	-165.54
1560827520720	TYPE_GYROSCOPE_UNCALIBRATED	-0.17364502	-0.057525635	0.16778564
1560827520720	TYPE_ACCELEROMETER_UNCALIBRATED	-0.65600586	1.0965424	9.96228
1560827520740	TYPE_ACCELEROMETER	-0.57221985	1.2186432	9.775528
1560827520740	TYPE_MAGNETIC_FIELD	28.619999	32.16	-36.899998
1560827520740	TYPE_GYROSCOPE	-0.060272217	-0.084365845	0.12713623
1560827520740	TYPE_ROTATION_VECTOR	0.040758286	0.05206682	0.3125445
1560827520740	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.32	45.96	-165.23999
1560827520740	TYPE_GYROSCOPE_UNCALIBRATED	-0.06072998	-0.08522034	0.12890625
1560827520740	TYPE_ACCELEROMETER_UNCALIBRATED	-0.57221985	1.2186432	9.775528
1560827520761	TYPE_ACCELEROMETER	-0.292099	1.3263855	9.514557
