#	startTime:1560827736144
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560827736145	TYPE_WAYPOINT	133.45856	58.914566
1560827736304	TYPE_ACCELEROMETER	0.22265625	0.6368561	9.852142
1560827736304	TYPE_MAGNETIC_FIELD	-24.3	12.66	-43.559998
1560827736304	TYPE_GYROSCOPE	0.017501831	0.096206665	-0.0033721924
1560827736304	TYPE_ROTATION_VECTOR	0.028410636	-0.020252751	-0.46528804
1560827736304	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.599999	26.46	-171.9
1560827736304	TYPE_GYROSCOPE_UNCALIBRATED	-0.22050476	-0.017578125	0.07989502
1560827736304	TYPE_ACCELEROMETER_UNCALIBRATED	0.22265625	0.6368561	9.852142
1560827736324	TYPE_ACCELEROMETER	0.03591919	0.5195465	8.889664
1560827736324	TYPE_MAGNETIC_FIELD	-24.18	12.66	-43.5
1560827736324	TYPE_GYROSCOPE	0.044662476	0.056259155	-0.096572876
1560827736324	TYPE_ROTATION_VECTOR	0.024662944	-0.024654785	-0.46432608
1560827736324	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.4800005	26.46	-171.84
1560827736324	TYPE_GYROSCOPE_UNCALIBRATED	0.017044067	0.09535217	-0.0016021729
1560827736324	TYPE_ACCELEROMETER_UNCALIBRATED	0.03591919	0.5195465	8.889664
1560827736345	TYPE_ACCELEROMETER	-0.6655884	0.99598694	8.647858
1560827736345	TYPE_MAGNETIC_FIELD	-23.939999	12.719999	-43.68
1560827736345	TYPE_GYROSCOPE	-0.13642883	-0.011932373	-0.10243225
1560827736345	TYPE_ROTATION_VECTOR	0.023073949	-0.014049353	-0.46186373
1560827736345	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.239999	26.519999	-172.01999
1560827736345	TYPE_GYROSCOPE_UNCALIBRATED	0.044204712	0.055404663	-0.09480286
1560827736345	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6655884	0.99598694	8.647858
1560827736365	TYPE_ACCELEROMETER	-0.9433136	1.0630188	9.615112
1560827736365	TYPE_MAGNETIC_FIELD	-23.939999	12.78	-43.86
1560827736365	TYPE_GYROSCOPE	-0.28503418	-0.0763855	0.027526855
1560827736365	TYPE_ROTATION_VECTOR	0.06781811	0.00559479	-0.47183716
1560827736365	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.239999	26.579998	-172.2
1560827736365	TYPE_GYROSCOPE_UNCALIBRATED	-0.28549194	-0.07723999	0.029296875
1560827736365	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9433136	1.0630188	9.615112
1560827736385	TYPE_ACCELEROMETER	-0.292099	0.9241638	10.342957
1560827736385	TYPE_MAGNETIC_FIELD	-23.939999	12.96	-44.1
1560827736385	TYPE_GYROSCOPE	-0.22750854	-0.16374207	0.08558655
1560827736385	TYPE_ROTATION_VECTOR	0.07134886	0.016530113	-0.47623807
1560827736385	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.239999	26.759998	-172.44
1560827736385	TYPE_GYROSCOPE_UNCALIBRATED	-0.28549194	-0.07723999	0.029296875
1560827736385	TYPE_ACCELEROMETER_UNCALIBRATED	-0.292099	0.9241638	10.342957
1560827736406	TYPE_ACCELEROMETER	0.292099	0.99598694	10.00058
1560827736406	TYPE_MAGNETIC_FIELD	-23.939999	13.0199995	-44.04
1560827736406	TYPE_GYROSCOPE	-0.08157349	-0.1706543	0.039245605
1560827736406	TYPE_ROTATION_VECTOR	0.045882974	-0.0094172675	-0.47149253
1560827736406	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.239999	26.82	-172.38
1560827736406	TYPE_GYROSCOPE_UNCALIBRATED	-0.22796631	-0.16459656	0.08735657
1560827736406	TYPE_ACCELEROMETER_UNCALIBRATED	0.292099	0.99598694	10.00058
1560827736426	TYPE_ACCELEROMETER	0.27053833	1.0654144	9.301468
1560827736426	TYPE_MAGNETIC_FIELD	-23.939999	13.32	-44.04
1560827736426	TYPE_GYROSCOPE	-0.028839111	-0.16107178	-0.040115356
1560827736426	TYPE_ROTATION_VECTOR	0.036892205	-0.034460407	-0.4454388
1560827736426	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.239999	27.119999	-172.38
1560827736426	TYPE_GYROSCOPE_UNCALIBRATED	-0.08203125	-0.17150879	0.041015625
1560827736426	TYPE_ACCELEROMETER_UNCALIBRATED	0.27053833	1.0654144	9.301468
1560827736446	TYPE_ACCELEROMETER	0.13887024	1.0630188	9.48822
1560827736446	TYPE_MAGNETIC_FIELD	-24.119999	13.559999	-44.04
1560827736446	TYPE_GYROSCOPE	-0.08583069	-0.08703613	-0.0859375
1560827736446	TYPE_ROTATION_VECTOR	0.03406532	-0.03496683	-0.44477993
1560827736446	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.419999	27.359999	-172.38
1560827736446	TYPE_GYROSCOPE_UNCALIBRATED	-0.08628845	-0.087890625	-0.08416748
1560827736446	TYPE_ACCELEROMETER_UNCALIBRATED	0.13887024	1.0630188	9.48822
1560827736467	TYPE_ACCELEROMETER	0.2346344	0.9337311	10.405197
1560827736467	TYPE_MAGNETIC_FIELD	-23.939999	13.5	-43.5
1560827736467	TYPE_GYROSCOPE	-0.1337738	-0.025253296	-0.10510254
1560827736467	TYPE_ROTATION_VECTOR	0.032539077	-0.036155723	-0.44450942
1560827736467	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.239999	27.3	-171.84
1560827736467	TYPE_GYROSCOPE_UNCALIBRATED	-0.13423157	-0.026107788	-0.10333252
1560827736467	TYPE_ACCELEROMETER_UNCALIBRATED	0.2346344	0.9337311	10.405197
1560827736487	TYPE_ACCELEROMETER	0.38786316	0.8044586	11.310211
1560827736487	TYPE_MAGNETIC_FIELD	-24.42	13.86	-43.2
1560827736487	TYPE_GYROSCOPE	-0.14282227	-0.08117676	-0.14611816
1560827736487	TYPE_ROTATION_VECTOR	0.030434096	-0.03784883	-0.4457667
1560827736487	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.72	27.66	-171.54
1560827736487	TYPE_GYROSCOPE_UNCALIBRATED	-0.13423157	-0.026107788	-0.10333252
1560827736487	TYPE_ACCELEROMETER_UNCALIBRATED	0.38786316	0.8044586	11.310211
1560827736507	TYPE_ACCELEROMETER	0.36871338	0.8092346	11.628632
1560827736507	TYPE_MAGNETIC_FIELD	-24.48	14.16	-42.84
1560827736507	TYPE_GYROSCOPE	-0.08103943	-0.23564148	-0.20843506
1560827736507	TYPE_ROTATION_VECTOR	0.029150426	-0.03744409	-0.4467757
1560827736507	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.78	27.96	-171.18
1560827736507	TYPE_GYROSCOPE_UNCALIBRATED	-0.14328003	-0.08203125	-0.14434814
1560827736507	TYPE_ACCELEROMETER_UNCALIBRATED	0.36871338	0.8092346	11.628632
1560827736527	TYPE_ACCELEROMETER	0.292099	0.881073	11.303024
1560827736527	TYPE_MAGNETIC_FIELD	-24.48	14.4	-42.6
1560827736527	TYPE_GYROSCOPE	0.009521484	-0.29156494	-0.2467804
1560827736527	TYPE_ROTATION_VECTOR	0.027547702	-0.03748668	-0.44817233
1560827736527	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.78	28.199999	-170.94
1560827736527	TYPE_GYROSCOPE_UNCALIBRATED	-0.08149719	-0.23649597	-0.20666504
1560827736527	TYPE_ACCELEROMETER_UNCALIBRATED	0.36871338	0.8092346	11.628632
1560827736548	TYPE_ACCELEROMETER	0.2059021	0.7805023	11.063599
1560827736548	TYPE_MAGNETIC_FIELD	-24.6	14.58	-42.54
1560827736548	TYPE_GYROSCOPE	0.05479431	-0.26545715	-0.26756287
1560827736548	TYPE_ROTATION_VECTOR	0.025829995	-0.039177038	-0.45014113
1560827736548	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.900001	28.38	-170.88
1560827736548	TYPE_GYROSCOPE_UNCALIBRATED	0.054336548	-0.26631165	-0.26579285
1560827736548	TYPE_ACCELEROMETER_UNCALIBRATED	0.2059021	0.7805023	11.063599
1560827736568	TYPE_ACCELEROMETER	0.10534668	0.4405365	10.972626
