#	startTime:1560827912082
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560827912082	TYPE_WAYPOINT	145.60846	80.52943
1560827912253	TYPE_ACCELEROMETER	0.6464386	0.33998108	9.873688
1560827912253	TYPE_MAGNETIC_FIELD	1.0799999	29.519999	-46.14
1560827912253	TYPE_GYROSCOPE	-0.14709473	-0.16746521	0.06428528
1560827912253	TYPE_ROTATION_VECTOR	0.02066719	-0.023379179	0.0522068
1560827912253	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.46	44.879997	-186.12
1560827912253	TYPE_GYROSCOPE_UNCALIBRATED	-0.19441223	-0.22583008	0.07936096
1560827912253	TYPE_ACCELEROMETER_UNCALIBRATED	0.6464386	0.33998108	9.873688
1560827912273	TYPE_ACCELEROMETER	0.8595123	0.39505005	9.62709
1560827912273	TYPE_MAGNETIC_FIELD	1.0799999	29.519999	-46.02
1560827912273	TYPE_GYROSCOPE	-0.079437256	-0.14135742	0.04989624
1560827912273	TYPE_ROTATION_VECTOR	0.015575922	-0.031260785	0.06227048
1560827912273	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.46	44.879997	-186.0
1560827912273	TYPE_GYROSCOPE_UNCALIBRATED	-0.14755249	-0.1683197	0.0660553
1560827912273	TYPE_ACCELEROMETER_UNCALIBRATED	0.8595123	0.39505005	9.62709
1560827912294	TYPE_ACCELEROMETER	0.8643036	0.50756836	9.442734
1560827912294	TYPE_MAGNETIC_FIELD	0.84	29.519999	-45.66
1560827912294	TYPE_GYROSCOPE	-0.10926819	-0.16532898	0.014755249
1560827912294	TYPE_ROTATION_VECTOR	0.023835532	-0.043227375	0.05276816
