#	startTime:1560828001502
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560828001503	TYPE_WAYPOINT	145.60846	80.52943
1560828001673	TYPE_ACCELEROMETER	0.38067627	0.18435669	7.4052734
1560828001673	TYPE_MAGNETIC_FIELD	25.98	-9.0	-45.42
1560828001673	TYPE_GYROSCOPE	0.02708435	0.2053833	0.39505005
1560828001673	TYPE_ROTATION_VECTOR	0.010156023	-0.033385593	0.82255405
1560828001673	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.36	6.3599997	-185.4
1560828001673	TYPE_GYROSCOPE_UNCALIBRATED	-0.14274597	-0.11932373	0.34675598
1560828001673	TYPE_ACCELEROMETER_UNCALIBRATED	0.26815796	-0.13168335	7.680603
1560828001693	TYPE_ACCELEROMETER	0.5793915	0.30166626	6.3829346
1560828001693	TYPE_MAGNETIC_FIELD	25.68	-8.58	-45.3
1560828001693	TYPE_GYROSCOPE	0.21672058	0.20059204	0.41741943
1560828001693	TYPE_ROTATION_VECTOR	0.02646927	-0.005502412	0.79091203
1560828001693	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.06	6.7799997	-185.28
1560828001693	TYPE_GYROSCOPE_UNCALIBRATED	0.026626587	0.20452881	0.39682007
1560828001693	TYPE_ACCELEROMETER_UNCALIBRATED	0.5793915	0.30166626	6.3829346
1560828001714	TYPE_ACCELEROMETER	0.09576416	0.35913086	5.664688
1560828001714	TYPE_MAGNETIC_FIELD	25.32	-8.4	-45.539997
1560828001714	TYPE_GYROSCOPE	0.2071228	-0.027908325	0.37586975
1560828001714	TYPE_ROTATION_VECTOR	0.049033213	-0.0056142164	0.7780195
1560828001714	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.7	6.96	-185.51999
1560828001714	TYPE_GYROSCOPE_UNCALIBRATED	0.21626282	0.19973755	0.41918945
1560828001714	TYPE_ACCELEROMETER_UNCALIBRATED	0.09576416	0.35913086	5.664688
1560828001734	TYPE_ACCELEROMETER	-0.17237854	0.27293396	6.1243744
1560828001734	TYPE_MAGNETIC_FIELD	25.08	-8.46	-45.36
1560828001734	TYPE_GYROSCOPE	-0.01499939	-0.16053772	0.40570068
1560828001734	TYPE_ROTATION_VECTOR	0.024775578	0.01896021	0.79605895
1560828001734	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.46	6.8999996	-185.34
1560828001734	TYPE_GYROSCOPE_UNCALIBRATED	0.20666504	-0.028762817	0.37763977
1560828001734	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17237854	0.27293396	6.1243744
1560828001754	TYPE_ACCELEROMETER	0.49560547	0.06942749	7.9798737
1560828001754	TYPE_MAGNETIC_FIELD	24.9	-8.46	-45.42
1560828001754	TYPE_GYROSCOPE	-0.31593323	-0.08596802	0.47387695
1560828001754	TYPE_ROTATION_VECTOR	0.004366525	0.025855616	0.8147538
1560828001754	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.28	6.8999996	-185.4
1560828001754	TYPE_GYROSCOPE_UNCALIBRATED	-0.015457153	-0.16139221	0.4074707
1560828001754	TYPE_ACCELEROMETER_UNCALIBRATED	0.49560547	0.06942749	7.9798737
1560828001775	TYPE_ACCELEROMETER	1.2042847	-0.07901001	9.526535
1560828001775	TYPE_MAGNETIC_FIELD	24.72	-8.58	-45.36
1560828001775	TYPE_GYROSCOPE	-0.3761139	0.006713867	0.46376038
1560828001775	TYPE_ROTATION_VECTOR	0.003342987	0.022741325	0.81761044
1560828001775	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.1	6.7799997	-185.34
1560828001775	TYPE_GYROSCOPE_UNCALIBRATED	-0.316391	-0.08682251	0.47564697
1560828001775	TYPE_ACCELEROMETER_UNCALIBRATED	1.2042847	-0.07901001	9.526535
1560828001795	TYPE_ACCELEROMETER	1.2473755	-0.0023956299	9.765945
1560828001795	TYPE_MAGNETIC_FIELD	24.539999	-8.88	-45.36
1560828001795	TYPE_GYROSCOPE	-0.20941162	-0.10621643	0.35829163
1560828001795	TYPE_ROTATION_VECTOR	0.0012053737	0.019647606	0.8203852
1560828001795	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.92	6.4799995	-185.34
1560828001795	TYPE_GYROSCOPE_UNCALIBRATED	-0.37657166	0.005859375	0.4655304
1560828001795	TYPE_ACCELEROMETER_UNCALIBRATED	1.2042847	-0.07901001	9.526535
1560828001815	TYPE_ACCELEROMETER	0.45729065	0.30166626	8.942337
1560828001815	TYPE_MAGNETIC_FIELD	24.3	-8.94	-45.6
1560828001815	TYPE_GYROSCOPE	0.023895264	-0.20687866	0.22833252
1560828001815	TYPE_ROTATION_VECTOR	9.299326E-4	0.017285414	0.822497
1560828001815	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.68	6.42	-185.57999
1560828001815	TYPE_GYROSCOPE_UNCALIBRATED	-0.20986938	-0.10707092	0.36006165
1560828001815	TYPE_ACCELEROMETER_UNCALIBRATED	0.45729065	0.30166626	8.942337
1560828001835	TYPE_ACCELEROMETER	0.0	0.9337311	8.087616
1560828001835	TYPE_MAGNETIC_FIELD	24.0	-9.24	-45.719997
1560828001835	TYPE_GYROSCOPE	0.09100342	-0.15840149	0.17240906
1560828001835	TYPE_ROTATION_VECTOR	0.002817883	0.01627991	0.8238064
1560828001835	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.38	6.12	-185.7
1560828001835	TYPE_GYROSCOPE_UNCALIBRATED	0.0234375	-0.20773315	0.23010254
