#	startTime:1560828084740
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560828084740	TYPE_WAYPOINT	127.37875	70.48347
1560828084912	TYPE_ACCELEROMETER	-0.27293396	0.45010376	10.036499
1560828084912	TYPE_MAGNETIC_FIELD	-20.88	-12.3	-25.439999
1560828084912	TYPE_GYROSCOPE	-0.029907227	0.326828	0.38226318
1560828084912	TYPE_ROTATION_VECTOR	1.931602E-8	-0.0074243955	-0.8554032
1560828084912	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.499999	3.0599995	-165.42
1560828084912	TYPE_GYROSCOPE_UNCALIBRATED	-0.03036499	0.3259735	0.3840332
1560828084912	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27293396	0.45010376	10.036499
1560828084932	TYPE_ACCELEROMETER	-0.5171509	0.47166443	9.677368
1560828084932	TYPE_MAGNETIC_FIELD	-20.699999	-12.24	-25.5
1560828084932	TYPE_GYROSCOPE	0.11071777	0.29753113	0.40782166
1560828084932	TYPE_ROTATION_VECTOR	0.023476634	-0.013369109	-0.85467666
1560828084932	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.3199987	3.12	-165.48
1560828084932	TYPE_GYROSCOPE_UNCALIBRATED	-0.03036499	0.3259735	0.3840332
1560828084932	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5171509	0.47166443	9.677368
1560828084953	TYPE_ACCELEROMETER	-0.32321167	0.45489502	9.052475
1560828084953	TYPE_MAGNETIC_FIELD	-20.58	-11.88	-25.56
1560828084953	TYPE_GYROSCOPE	0.10752869	0.11804199	0.42912292
1560828084953	TYPE_ROTATION_VECTOR	0.034865055	-5.57529E-4	-0.8239842
1560828084953	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.2	3.4799995	-165.54
1560828084953	TYPE_GYROSCOPE_UNCALIBRATED	0.11026001	0.29667664	0.40959167
1560828084953	TYPE_ACCELEROMETER_UNCALIBRATED	-0.32321167	0.45489502	9.052475
1560828084973	TYPE_ACCELEROMETER	-0.21786499	0.5386963	9.26796
1560828084973	TYPE_MAGNETIC_FIELD	-20.52	-11.759999	-25.859999
1560828084973	TYPE_GYROSCOPE	-0.046417236	-0.01939392	0.3710785
1560828084973	TYPE_ROTATION_VECTOR	0.028226541	-0.01330246	-0.8442688
1560828084973	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.1400003	3.6000004	-165.84
1560828084973	TYPE_GYROSCOPE_UNCALIBRATED	0.10707092	0.1171875	0.43089294
1560828084973	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21786499	0.5386963	9.26796
1560828084993	TYPE_ACCELEROMETER	0.02154541	0.76135254	9.756378
1560828084993	TYPE_MAGNETIC_FIELD	-20.46	-11.639999	-26.039999
1560828084993	TYPE_GYROSCOPE	-0.14282227	-0.07211304	0.3242035
1560828084993	TYPE_ROTATION_VECTOR	0.02435824	-0.019526098	-0.8462361
1560828084993	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.079999	3.7200003	-166.01999
1560828084993	TYPE_GYROSCOPE_UNCALIBRATED	-0.046875	-0.020248413	0.3728485
1560828084993	TYPE_ACCELEROMETER_UNCALIBRATED	0.02154541	0.76135254	9.756378
1560828085014	TYPE_ACCELEROMETER	0.27053833	0.806839	9.617508
1560828085014	TYPE_MAGNETIC_FIELD	-20.699999	-11.4	-26.16
1560828085014	TYPE_GYROSCOPE	-0.109802246	-0.06732178	0.28799438
1560828085014	TYPE_ROTATION_VECTOR	0.023200747	-0.018998777	-0.84442055
1560828085014	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.3199987	3.96	-166.14
1560828085014	TYPE_GYROSCOPE_UNCALIBRATED	-0.11026001	-0.06817627	0.2897644
1560828085014	TYPE_ACCELEROMETER_UNCALIBRATED	0.27053833	0.806839	9.617508
1560828085034	TYPE_ACCELEROMETER	0.16041565	0.79008484	9.210495
1560828085034	TYPE_MAGNETIC_FIELD	-20.76	-11.28	-26.16
