#	startTime:1560828417440
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560828417440	TYPE_WAYPOINT	126.38728	64.030716
1560828417600	TYPE_ACCELEROMETER	-0.0095825195	0.5817871	10.216064
1560828417600	TYPE_MAGNETIC_FIELD	17.039999	-15.299999	-32.04
1560828417600	TYPE_GYROSCOPE	-0.03842163	0.053588867	-0.16795349
1560828417600	TYPE_ROTATION_VECTOR	0.012191946	0.024111155	0.8832908
1560828417600	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.419998	0.06000042	-172.01999
1560828417600	TYPE_GYROSCOPE_UNCALIBRATED	-0.038879395	0.052734375	-0.16618347
1560828417600	TYPE_ACCELEROMETER_UNCALIBRATED	0.02154541	0.7182617	9.770737
1560828417620	TYPE_ACCELEROMETER	0.02154541	0.7182617	9.770737
1560828417620	TYPE_MAGNETIC_FIELD	17.22	-15.059999	-32.04
1560828417620	TYPE_GYROSCOPE	0.039871216	0.053588867	-0.23773193
1560828417620	TYPE_ROTATION_VECTOR	0.017451884	0.030208196	0.871339
1560828417620	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.599998	0.3000002	-172.01999
1560828417620	TYPE_GYROSCOPE_UNCALIBRATED	-0.038879395	0.052734375	-0.16618347
1560828417620	TYPE_ACCELEROMETER_UNCALIBRATED	0.02154541	0.7182617	9.770737
1560828417640	TYPE_ACCELEROMETER	-0.1771698	0.7733307	8.889664
1560828417640	TYPE_MAGNETIC_FIELD	16.92	-15.059999	-31.8
1560828417640	TYPE_GYROSCOPE	-0.060806274	-0.056137085	-0.27449036
1560828417640	TYPE_ROTATION_VECTOR	0.009158102	0.043176826	0.908205
1560828417640	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.3	0.3000002	-171.78
1560828417640	TYPE_GYROSCOPE_UNCALIBRATED	-0.061264038	-0.056991577	-0.27272034
1560828417640	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1771698	0.7733307	8.889664
1560828417661	TYPE_ACCELEROMETER	-0.5698242	1.0534515	9.248795
1560828417661	TYPE_MAGNETIC_FIELD	16.92	-14.94	-31.8
1560828417661	TYPE_GYROSCOPE	-0.1023407	-0.15254211	-0.1999054
1560828417661	TYPE_ROTATION_VECTOR	-0.0054800017	0.06414451	0.88580436
1560828417661	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.3	0.42000008	-171.78
1560828417661	TYPE_GYROSCOPE_UNCALIBRATED	-0.061264038	-0.056991577	-0.27272034
1560828417661	TYPE_ACCELEROMETER_UNCALIBRATED	-0.26097107	1.0726013	10.144226
1560828417681	TYPE_ACCELEROMETER	-0.26097107	1.0726013	10.144226
1560828417681	TYPE_MAGNETIC_FIELD	17.1	-14.94	-31.56
1560828417681	TYPE_GYROSCOPE	0.011108398	-0.17118835	-0.15357971
1560828417681	TYPE_ROTATION_VECTOR	0.014470189	0.051493794	0.87787265
1560828417681	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.48	0.42000008	-171.54
1560828417681	TYPE_GYROSCOPE_UNCALIBRATED	0.010650635	-0.17204285	-0.15180969
1560828417681	TYPE_ACCELEROMETER_UNCALIBRATED	0.38786316	0.806839	10.29985
1560828417701	TYPE_ACCELEROMETER	0.38786316	0.806839	10.29985
1560828417701	TYPE_MAGNETIC_FIELD	17.1	-14.94	-31.439999
1560828417701	TYPE_GYROSCOPE	0.13522339	-0.18876648	-0.2158966
1560828417701	TYPE_ROTATION_VECTOR	0.015979353	0.05077053	0.87709236
1560828417701	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.48	0.42000008	-171.42
1560828417701	TYPE_GYROSCOPE_UNCALIBRATED	0.13476562	-0.18962097	-0.21412659
1560828417701	TYPE_ACCELEROMETER_UNCALIBRATED	0.39982605	0.66319275	9.873688
1560828417722	TYPE_ACCELEROMETER	0.39982605	0.66319275	9.873688
1560828417722	TYPE_MAGNETIC_FIELD	17.52	-14.7	-31.439999
1560828417722	TYPE_GYROSCOPE	0.12989807	-0.21220398	-0.27661133
1560828417722	TYPE_ROTATION_VECTOR	0.018193422	0.05108812	0.8759473
1560828417722	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.900002	0.65999985	-171.42
1560828417722	TYPE_GYROSCOPE_UNCALIBRATED	0.12944031	-0.21305847	-0.2748413
1560828417722	TYPE_ACCELEROMETER_UNCALIBRATED	0.39982605	0.66319275	9.873688
1560828417742	TYPE_ACCELEROMETER	0.42616272	0.38067627	9.811432
1560828417742	TYPE_MAGNETIC_FIELD	17.58	-14.639999	-31.26
1560828417742	TYPE_GYROSCOPE	0.05000305	-0.10726929	-0.3447876
1560828417742	TYPE_ROTATION_VECTOR	0.020564709	0.051263627	0.87449396
1560828417742	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.96	0.72000027	-171.23999
1560828417742	TYPE_GYROSCOPE_UNCALIBRATED	0.049545288	-0.10812378	-0.34301758
1560828417742	TYPE_ACCELEROMETER_UNCALIBRATED	0.52671814	0.05267334	10.438721
1560828417762	TYPE_ACCELEROMETER	0.52671814	0.05267334	10.438721
1560828417762	TYPE_MAGNETIC_FIELD	17.279999	-14.639999	-31.56
1560828417762	TYPE_GYROSCOPE	0.039871216	-0.01725769	-0.41882324
1560828417762	TYPE_ROTATION_VECTOR	0.02158957	0.05125475	0.87275964
1560828417762	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.66	0.72000027	-171.54
1560828417762	TYPE_GYROSCOPE_UNCALIBRATED	0.049545288	-0.10812378	-0.34301758
1560828417762	TYPE_ACCELEROMETER_UNCALIBRATED	0.52671814	0.05267334	10.438721
1560828417782	TYPE_ACCELEROMETER	0.42616272	-0.32321167	10.632645
1560828417782	TYPE_MAGNETIC_FIELD	17.279999	-14.639999	-31.619999
1560828417782	TYPE_GYROSCOPE	0.027633667	-0.041763306	-0.430542
1560828417782	TYPE_ROTATION_VECTOR	0.02172409	0.0516098	0.8706729
1560828417782	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.66	0.72000027	-171.59999
1560828417782	TYPE_GYROSCOPE_UNCALIBRATED	0.027175903	-0.042617798	-0.42877197
1560828417782	TYPE_ACCELEROMETER_UNCALIBRATED	-0.04069519	-0.9217682	10.63504
1560828417803	TYPE_ACCELEROMETER	-0.04069519	-0.9217682	10.63504
1560828417803	TYPE_MAGNETIC_FIELD	17.699999	-14.639999	-31.859999
1560828417803	TYPE_GYROSCOPE	-0.048553467	-0.0763855	-0.35118103
1560828417803	TYPE_ROTATION_VECTOR	0.022001196	0.05174335	0.8685104
1560828417803	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.079998	0.72000027	-171.84
1560828417803	TYPE_GYROSCOPE_UNCALIBRATED	-0.04901123	-0.07723999	-0.349411
1560828417803	TYPE_ACCELEROMETER_UNCALIBRATED	-0.04069519	-0.9217682	10.63504
1560828417823	TYPE_ACCELEROMETER	-0.28970337	-1.5131378	11.71962
1560828417823	TYPE_MAGNETIC_FIELD	17.94	-14.639999	-31.859999
1560828417823	TYPE_GYROSCOPE	-0.105545044	-0.12324524	-0.22389221
1560828417823	TYPE_ROTATION_VECTOR	0.022246508	0.051019765	0.86675787
1560828417823	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.32	0.72000027	-171.84
1560828417823	TYPE_GYROSCOPE_UNCALIBRATED	-0.10600281	-0.12409973	-0.22212219
1560828417823	TYPE_ACCELEROMETER_UNCALIBRATED	0.53630066	-2.1212616	13.294998
1560828417843	TYPE_ACCELEROMETER	0.53630066	-2.1212616	13.294998
1560828417843	TYPE_MAGNETIC_FIELD	17.82	-14.34	-32.1
1560828417843	TYPE_GYROSCOPE	-0.12258911	-0.063064575	-0.27767944
1560828417843	TYPE_ROTATION_VECTOR	0.022681242	0.0495298	0.86565405
1560828417843	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.2	1.0199995	-172.07999
1560828417843	TYPE_GYROSCOPE_UNCALIBRATED	-0.10600281	-0.12409973	-0.22212219
1560828417843	TYPE_ACCELEROMETER_UNCALIBRATED	0.53630066	-2.1212616	13.294998
1560828417864	TYPE_ACCELEROMETER	0.91937256	-2.2960358	13.766663
1560828417864	TYPE_MAGNETIC_FIELD	18.0	-14.099999	-32.219997
1560828417864	TYPE_GYROSCOPE	4.5776367E-4	-0.018859863	-0.39112854
1560828417864	TYPE_ROTATION_VECTOR	0.022483582	0.04819757	0.8643009
1560828417864	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.380001	1.2600002	-172.2
1560828417864	TYPE_GYROSCOPE_UNCALIBRATED	0.0	-0.019714355	-0.38935852
1560828417864	TYPE_ACCELEROMETER_UNCALIBRATED	0.91937256	-2.2960358	13.766663
1560828417884	TYPE_ACCELEROMETER	0.74938965	-2.094925	12.684479
1560828417884	TYPE_MAGNETIC_FIELD	18.119999	-14.04	-32.1
1560828417884	TYPE_GYROSCOPE	0.19221497	-0.058273315	-0.46409607
1560828417884	TYPE_ROTATION_VECTOR	0.022455094	0.04818392	0.86231315
1560828417884	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.5	1.3199997	-172.07999
1560828417884	TYPE_GYROSCOPE_UNCALIBRATED	0.1917572	-0.059127808	-0.46232605
1560828417884	TYPE_ACCELEROMETER_UNCALIBRATED	0.46447754	-1.7621307	11.597519
1560828417904	TYPE_ACCELEROMETER	0.46447754	-1.7621307	11.597519
1560828417904	TYPE_MAGNETIC_FIELD	18.0	-13.679999	-32.219997
1560828417904	TYPE_GYROSCOPE	0.45373535	0.04559326	-0.4784851
1560828417904	TYPE_ROTATION_VECTOR	0.023709474	0.0496579	0.85983175
1560828417904	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.380001	1.6800003	-172.2
1560828417904	TYPE_GYROSCOPE_UNCALIBRATED	0.4532776	0.04473877	-0.4767151
1560828417904	TYPE_ACCELEROMETER_UNCALIBRATED	0.51475525	-1.256958	9.323029
1560828417924	TYPE_ACCELEROMETER	0.51475525	-1.256958	9.323029
1560828417924	TYPE_MAGNETIC_FIELD	18.539999	-13.559999	-31.92
1560828417924	TYPE_GYROSCOPE	0.4819641	0.28048706	-0.44491577
1560828417924	TYPE_ROTATION_VECTOR	0.025405757	0.05393404	0.85713726
1560828417924	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.919998	1.8000002	-171.9
1560828417924	TYPE_GYROSCOPE_UNCALIBRATED	0.48150635	0.27963257	-0.44314575
1560828417924	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3040619	-1.0965424	7.831436
1560828417945	TYPE_ACCELEROMETER	-0.3040619	-1.0965424	7.831436
1560828417945	TYPE_MAGNETIC_FIELD	18.6	-13.5	-31.92
1560828417945	TYPE_GYROSCOPE	0.14906311	0.10525513	-0.33573914
1560828417945	TYPE_ROTATION_VECTOR	0.025239991	0.059682716	0.8546173
1560828417945	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.98	1.8599997	-171.9
1560828417945	TYPE_GYROSCOPE_UNCALIBRATED	0.14860535	0.104400635	-0.33396912
1560828417945	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1396332	-0.46687317	8.5520935
1560828417965	TYPE_ACCELEROMETER	-1.1396332	-0.46687317	8.5520935
1560828417965	TYPE_MAGNETIC_FIELD	18.72	-13.38	-31.8
1560828417965	TYPE_GYROSCOPE	-0.11778259	-0.13124084	-0.12854004
1560828417965	TYPE_ROTATION_VECTOR	0.024895692	0.061640944	0.85279053
1560828417965	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.1	1.9799995	-171.78
1560828417965	TYPE_GYROSCOPE_UNCALIBRATED	0.14860535	0.104400635	-0.33396912
1560828417965	TYPE_ACCELEROMETER_UNCALIBRATED	-0.36392212	-0.33998108	9.933548
1560828417985	TYPE_ACCELEROMETER	-0.36392212	-0.33998108	9.933548
1560828417985	TYPE_MAGNETIC_FIELD	18.779999	-13.2	-31.8
1560828417985	TYPE_GYROSCOPE	0.04093933	0.16703796	-0.019882202
1560828417985	TYPE_ROTATION_VECTOR	0.025329713	0.059982315	0.8521459
1560828417985	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.16	2.1599998	-171.78
1560828417985	TYPE_GYROSCOPE_UNCALIBRATED	0.040481567	0.16618347	-0.018112183
1560828417985	TYPE_ACCELEROMETER_UNCALIBRATED	0.8236084	-0.8451538	10.122681
1560828418006	TYPE_ACCELEROMETER	0.8236084	-0.8451538	10.122681
1560828418006	TYPE_MAGNETIC_FIELD	19.14	-13.139999	-31.56
1560828418006	TYPE_GYROSCOPE	0.28755188	0.48182678	-0.11149597
1560828418006	TYPE_ROTATION_VECTOR	0.02410583	0.06118874	0.8520564
1560828418006	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.52	2.2200003	-171.54
1560828418006	TYPE_GYROSCOPE_UNCALIBRATED	0.28709412	0.4809723	-0.10972595
1560828418006	TYPE_ACCELEROMETER_UNCALIBRATED	0.5506592	-0.96725464	9.402023
1560828418026	TYPE_ACCELEROMETER	0.5506592	-0.96725464	9.402023
1560828418026	TYPE_MAGNETIC_FIELD	19.08	-13.2	-31.619999
1560828418026	TYPE_GYROSCOPE	0.3562622	0.45359802	-0.19458008
1560828418026	TYPE_ROTATION_VECTOR	0.021396894	0.06619939	0.85140115
1560828418026	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.46	2.1599998	-171.59999
1560828418026	TYPE_GYROSCOPE_UNCALIBRATED	0.28709412	0.4809723	-0.10972595
1560828418026	TYPE_ACCELEROMETER_UNCALIBRATED	-0.02633667	-0.76374817	8.3940735
1560828418046	TYPE_ACCELEROMETER	-0.02633667	-0.76374817	8.3940735
1560828418046	TYPE_MAGNETIC_FIELD	19.14	-13.259999	-31.859999
1560828418046	TYPE_GYROSCOPE	0.21191406	0.20005798	-0.1716919
1560828418046	TYPE_ROTATION_VECTOR	0.020089334	0.069120094	0.8508161
1560828418046	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.52	2.1000004	-171.84
1560828418046	TYPE_GYROSCOPE_UNCALIBRATED	0.2114563	0.19920349	-0.16992188
1560828418046	TYPE_ACCELEROMETER_UNCALIBRATED	-0.02633667	-0.76374817	8.3940735
1560828418066	TYPE_ACCELEROMETER	-0.19392395	-0.6967163	7.8170624
1560828418066	TYPE_MAGNETIC_FIELD	19.74	-13.44	-31.74
1560828418066	TYPE_GYROSCOPE	0.0036621094	0.015777588	-0.12800598
1560828418066	TYPE_ROTATION_VECTOR	0.018722756	0.07358832	0.8496699
1560828418066	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.12	1.9200001	-171.72
1560828418066	TYPE_GYROSCOPE_UNCALIBRATED	0.2114563	0.19920349	-0.16992188
1560828418066	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23703003	-0.5171509	8.441956
1560828418087	TYPE_ACCELEROMETER	-0.23703003	-0.5171509	8.441956
1560828418087	TYPE_MAGNETIC_FIELD	19.74	-13.559999	-31.8
1560828418087	TYPE_GYROSCOPE	-0.034698486	0.042404175	-0.058761597
1560828418087	TYPE_ROTATION_VECTOR	0.018362755	0.07493855	0.8487994
