#	startTime:1560828481850
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560828481850	TYPE_WAYPOINT	122.4582	68.08506
1560828482030	TYPE_ACCELEROMETER	-0.31604004	-0.04069519	8.130707
1560828482030	TYPE_MAGNETIC_FIELD	-24.42	12.24	-33.059998
1560828482030	TYPE_GYROSCOPE	-0.04534912	0.06744385	-0.28886414
1560828482030	TYPE_ROTATION_VECTOR	-0.007868746	0.020603769	-0.5450296
1560828482030	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.04	27.599998	-173.04
1560828482030	TYPE_GYROSCOPE_UNCALIBRATED	0.030899048	0.302536	-0.35687256
1560828482030	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23942566	-0.31604004	8.942337
1560828482050	TYPE_ACCELEROMETER	-0.20350647	0.07661438	7.838623
1560828482050	TYPE_MAGNETIC_FIELD	-24.42	12.36	-32.82
1560828482050	TYPE_GYROSCOPE	-0.14868164	-0.0763855	-0.207901
1560828482050	TYPE_ROTATION_VECTOR	-7.869583E-6	0.016057508	-0.5187547
1560828482050	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.04	27.72	-172.79999
1560828482050	TYPE_GYROSCOPE_UNCALIBRATED	-0.045806885	0.066589355	-0.28709412
1560828482050	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20350647	0.07661438	7.838623
1560828482071	TYPE_ACCELEROMETER	0.01675415	0.06703186	8.137894
1560828482071	TYPE_MAGNETIC_FIELD	-24.6	12.24	-32.76
1560828482071	TYPE_GYROSCOPE	-0.21206665	-0.039093018	-0.13919067
1560828482071	TYPE_ROTATION_VECTOR	-7.872796E-9	5.601049E-4	-0.54504585
1560828482071	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.22	27.599998	-172.73999
1560828482071	TYPE_GYROSCOPE_UNCALIBRATED	-0.1491394	-0.07723999	-0.20613098
1560828482071	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20350647	0.07661438	7.838623
1560828482091	TYPE_ACCELEROMETER	0.12689209	-0.0095825195	8.841782
