#	startTime:1560828616070
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560828616070	TYPE_WAYPOINT	165.23355	81.89479
1560828616225	TYPE_ACCELEROMETER	-0.4118042	0.51475525	9.01178
1560828616225	TYPE_MAGNETIC_FIELD	28.5	-14.58	-36.719997
1560828616225	TYPE_GYROSCOPE	-0.14761353	-2.1362305E-4	0.11114502
1560828616225	TYPE_ROTATION_VECTOR	-1.1659566E-5	0.03495112	0.8205162
1560828616225	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.88	0.77999973	-176.7
1560828616225	TYPE_GYROSCOPE_UNCALIBRATED	-0.10386658	-0.018112183	0.055923462
1560828616225	TYPE_ACCELEROMETER_UNCALIBRATED	0.23703003	0.50756836	8.789108
1560828616245	TYPE_ACCELEROMETER	0.23703003	0.50756836	8.789108
1560828616245	TYPE_MAGNETIC_FIELD	28.74	-14.46	-36.66
1560828616245	TYPE_GYROSCOPE	-0.28823853	-0.018859863	0.114349365
1560828616245	TYPE_ROTATION_VECTOR	0.026769964	0.015976185	0.82865095
1560828616245	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.12	0.8999996	-176.64
1560828616245	TYPE_GYROSCOPE_UNCALIBRATED	-0.14807129	-0.0010681152	0.11291504
1560828616245	TYPE_ACCELEROMETER_UNCALIBRATED	0.4620819	0.509964	9.514557
1560828616265	TYPE_ACCELEROMETER	0.4620819	0.509964	9.514557
1560828616265	TYPE_MAGNETIC_FIELD	28.74	-14.46	-36.66
1560828616265	TYPE_GYROSCOPE	-0.33190918	-0.19036865	0.08558655
1560828616265	TYPE_ROTATION_VECTOR	0.026769964	0.015976185	0.82865095
1560828616265	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.12	0.8999996	-176.64
1560828616265	TYPE_GYROSCOPE_UNCALIBRATED	-0.2886963	-0.019714355	0.116119385
1560828616265	TYPE_ACCELEROMETER_UNCALIBRATED	0.1771698	0.5817871	9.821014
1560828616286	TYPE_ACCELEROMETER	0.1771698	0.5817871	9.821014
1560828616286	TYPE_MAGNETIC_FIELD	28.98	-14.4	-36.54
1560828616286	TYPE_GYROSCOPE	-0.3052826	-0.36932373	0.07493591
1560828616286	TYPE_ROTATION_VECTOR	0.024051988	0.019894708	0.8313878
1560828616286	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.36	0.96000004	-176.51999
1560828616286	TYPE_GYROSCOPE_UNCALIBRATED	-0.33236694	-0.19122314	0.08735657
1560828616286	TYPE_ACCELEROMETER_UNCALIBRATED	0.05027771	0.7398071	9.385269
1560828616306	TYPE_ACCELEROMETER	0.05027771	0.7398071	9.385269
1560828616306	TYPE_MAGNETIC_FIELD	29.22	-14.04	-36.42
