#	startTime:1560828687991
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e801	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560828687991	TYPE_WAYPOINT	159.09206	77.48052
1560828688175	TYPE_ACCELEROMETER	-0.7086792	0.7565613	9.217682
1560828688175	TYPE_MAGNETIC_FIELD	11.94	-10.5	-27.24
1560828688175	TYPE_GYROSCOPE	-0.022979736	0.28634644	0.03552246
1560828688175	TYPE_ROTATION_VECTOR	-0.003902596	0.049258754	0.9042048
1560828688175	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.32	4.8599997	-167.22
1560828688175	TYPE_GYROSCOPE_UNCALIBRATED	-0.0234375	0.28549194	0.03729248
1560828688175	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7086792	0.7565613	9.217682
1560828688195	TYPE_ACCELEROMETER	-0.7374115	0.73262024	8.992615
1560828688195	TYPE_MAGNETIC_FIELD	11.82	-10.559999	-27.3
1560828688195	TYPE_GYROSCOPE	-0.049621582	0.25065613	0.07865906
1560828688195	TYPE_ROTATION_VECTOR	-0.01976129	0.052714065	0.9197431
1560828688195	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.2	4.8	-167.28
1560828688195	TYPE_GYROSCOPE_UNCALIBRATED	-0.0234375	0.28549194	0.03729248
1560828688195	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7374115	0.73262024	8.992615
