#	startTime:1560827692905
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969d639e2fc0b4afe957e	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560827692906	TYPE_WAYPOINT	72.21352	162.31746
1560827693017	TYPE_ACCELEROMETER	0.30867004	1.056427	7.2418823
1560827693017	TYPE_MAGNETIC_FIELD	35.28	-4.68	-31.32
1560827693017	TYPE_GYROSCOPE	0.26574707	0.24221802	-0.9681244
1560827693017	TYPE_ROTATION_VECTOR	0.06002802	0.03565864	0.6982708
1560827693017	TYPE_MAGNETIC_FIELD_UNCALIBRATED	86.88	-35.28	-84.18
1560827693017	TYPE_GYROSCOPE_UNCALIBRATED	0.2675476	0.24128723	-0.97128296
1560827693017	TYPE_ACCELEROMETER_UNCALIBRATED	0.30867004	1.056427	7.2418823
1560827693036	TYPE_ACCELEROMETER	0.10409546	0.89611816	7.412964
1560827693036	TYPE_MAGNETIC_FIELD	35.16	-4.62	-31.32
1560827693036	TYPE_GYROSCOPE	-0.071762085	0.046447754	-0.5826721
1560827693036	TYPE_ROTATION_VECTOR	0.065949336	0.03876141	0.70030904
1560827693036	TYPE_MAGNETIC_FIELD_UNCALIBRATED	86.759995	-35.219997	-84.18
1560827693036	TYPE_GYROSCOPE_UNCALIBRATED	-0.06996155	0.045516968	-0.5858307
1560827693036	TYPE_ACCELEROMETER_UNCALIBRATED	0.10409546	0.89611816	7.412964
1560827693055	TYPE_ACCELEROMETER	0.3792572	0.65563965	7.532608
1560827693055	TYPE_MAGNETIC_FIELD	35.16	-4.5	-31.08
1560827693055	TYPE_GYROSCOPE	-0.50790405	-0.14445496	-0.14527893
1560827693055	TYPE_ROTATION_VECTOR	0.057823956	0.035991456	0.7084833
1560827693055	TYPE_MAGNETIC_FIELD_UNCALIBRATED	86.759995	-35.1	-83.94
1560827693055	TYPE_GYROSCOPE_UNCALIBRATED	-0.5061035	-0.14538574	-0.1484375
1560827693055	TYPE_ACCELEROMETER_UNCALIBRATED	0.3792572	0.65563965	7.532608
1560827693074	TYPE_ACCELEROMETER	0.22732544	0.4618225	7.9824524
1560827693074	TYPE_MAGNETIC_FIELD	35.219997	-4.08	-31.26
1560827693074	TYPE_GYROSCOPE	-0.65086365	-0.20004272	-0.15231323
