#	startTime:1560827767628
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969d639e2fc0b4afe957e	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560827767629	TYPE_WAYPOINT	69.465904	172.24283
1560827767747	TYPE_ACCELEROMETER	-1.146164	-0.20936584	12.67717
1560827767747	TYPE_MAGNETIC_FIELD	34.44	-6.66	-28.619999
1560827767747	TYPE_GYROSCOPE	-0.029296875	-0.08015442	-0.18667603
1560827767747	TYPE_ROTATION_VECTOR	-0.03127756	0.026979357	0.7634151
1560827767747	TYPE_MAGNETIC_FIELD_UNCALIBRATED	89.58	-34.08	-87.0
1560827767747	TYPE_GYROSCOPE_UNCALIBRATED	0.04458618	-0.01586914	-0.19670105
1560827767747	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9918213	-0.49650574	13.470398
1560827767766	TYPE_ACCELEROMETER	-0.7405853	-0.7453613	14.269592
1560827767766	TYPE_MAGNETIC_FIELD	34.38	-6.48	-28.5
1560827767766	TYPE_GYROSCOPE	-0.1786499	-0.30174255	-0.16026306
1560827767766	TYPE_ROTATION_VECTOR	-0.039807327	0.0109915575	0.77510124
1560827767766	TYPE_MAGNETIC_FIELD_UNCALIBRATED	89.520004	-33.9	-86.88
1560827767766	TYPE_GYROSCOPE_UNCALIBRATED	-0.17166138	-0.21150208	-0.17610168
1560827767766	TYPE_ACCELEROMETER_UNCALIBRATED	-0.51446533	-0.879364	14.732605
1560827767785	TYPE_ACCELEROMETER	-0.51086426	-0.8482666	14.495728
1560827767785	TYPE_MAGNETIC_FIELD	34.38	-6.42	-28.56
1560827767785	TYPE_GYROSCOPE	0.25354004	-0.36253357	-0.17401123
1560827767785	TYPE_ROTATION_VECTOR	-0.032175023	-0.013465063	0.78376913
