#	startTime:1560827824595
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969d639e2fc0b4afe957e	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560827824595	TYPE_WAYPOINT	72.21352	162.31746
1560827824842	TYPE_ACCELEROMETER	-0.51924133	0.55514526	7.8879395
1560827824842	TYPE_MAGNETIC_FIELD	4.74	28.439999	-31.32
1560827824842	TYPE_GYROSCOPE	0.6023407	-0.18629456	0.10180664
1560827824842	TYPE_ROTATION_VECTOR	0.035361174	0.037822116	0.05083493
1560827824842	TYPE_MAGNETIC_FIELD_UNCALIBRATED	59.879997	1.0199986	-89.7
1560827824842	TYPE_GYROSCOPE_UNCALIBRATED	0.60414124	-0.18722534	0.09864807
1560827824842	TYPE_ACCELEROMETER_UNCALIBRATED	-0.60658264	0.62812805	8.330612
1560827824862	TYPE_ACCELEROMETER	-0.44267273	0.4630127	7.2502594
1560827824862	TYPE_MAGNETIC_FIELD	4.98	28.5	-31.74
1560827824862	TYPE_GYROSCOPE	0.4798584	-0.17102051	0.123794556
1560827824862	TYPE_ROTATION_VECTOR	0.029731113	0.028696967	0.05991642
1560827824862	TYPE_MAGNETIC_FIELD_UNCALIBRATED	60.12	1.0799999	-90.119995
1560827824862	TYPE_GYROSCOPE_UNCALIBRATED	0.48165894	-0.1719513	0.12063599
1560827824862	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42114258	0.48335266	7.5541534
1560827824881	TYPE_ACCELEROMETER	-0.53001404	0.45584106	6.4091797
1560827824881	TYPE_MAGNETIC_FIELD	5.16	28.68	-32.1
1560827824881	TYPE_GYROSCOPE	0.3524933	-0.1343689	0.123794556
1560827824881	TYPE_ROTATION_VECTOR	0.03342607	0.03756916	0.049562156
1560827824881	TYPE_MAGNETIC_FIELD_UNCALIBRATED	60.3	1.2600002	-90.479996
1560827824881	TYPE_GYROSCOPE_UNCALIBRATED	0.35429382	-0.13529968	0.12063599
1560827824881	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5132599	0.4749756	6.8721924
1560827824900	TYPE_ACCELEROMETER	-0.6388855	0.41635132	5.5429688
1560827824900	TYPE_MAGNETIC_FIELD	5.2799997	28.619999	-32.46
1560827824900	TYPE_GYROSCOPE	0.21078491	-0.07052612	0.15342712
1560827824900	TYPE_ROTATION_VECTOR	0.03690191	0.03642294	0.05056111
1560827824900	TYPE_MAGNETIC_FIELD_UNCALIBRATED	60.42	1.1999989	-90.84
1560827824900	TYPE_GYROSCOPE_UNCALIBRATED	0.21258545	-0.07145691	0.15026855
1560827824900	TYPE_ACCELEROMETER_UNCALIBRATED	-0.55633545	0.4139557	5.970093
1560827824919	TYPE_ACCELEROMETER	-0.5240326	0.3589325	4.721039
1560827824919	TYPE_MAGNETIC_FIELD	5.16	28.199999	-32.7
1560827824919	TYPE_GYROSCOPE	-0.0018157959	-0.049453735	0.19496155
1560827824919	TYPE_ROTATION_VECTOR	0.039007537	0.03579454	0.05192371
1560827824919	TYPE_MAGNETIC_FIELD_UNCALIBRATED	60.3	0.7799988	-91.08
1560827824919	TYPE_GYROSCOPE_UNCALIBRATED	-1.5258789E-5	-0.05038452	0.19180298
1560827824919	TYPE_ACCELEROMETER_UNCALIBRATED	-0.66041565	0.42114258	5.100296
1560827824939	TYPE_ACCELEROMETER	-0.13639832	0.16630554	4.4063873
1560827824939	TYPE_MAGNETIC_FIELD	4.92	28.08	-32.82
1560827824939	TYPE_GYROSCOPE	-0.30693054	-0.061065674	0.22764587
1560827824939	TYPE_ROTATION_VECTOR	0.039093547	0.03524912	0.05376203
1560827824939	TYPE_MAGNETIC_FIELD_UNCALIBRATED	60.059998	0.65999985	-91.2
1560827824939	TYPE_GYROSCOPE_UNCALIBRATED	-0.30513	-0.06199646	0.2244873
1560827824939	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17347717	0.28474426	4.492523
1560827824958	TYPE_ACCELEROMETER	-0.20579529	-0.09690857	4.3693085
1560827824958	TYPE_MAGNETIC_FIELD	4.92	28.019999	-33.3
1560827824958	TYPE_GYROSCOPE	-0.66093445	-0.12826538	0.18151855
1560827824958	TYPE_ROTATION_VECTOR	0.03627343	0.034419097	0.05602557
1560827824958	TYPE_MAGNETIC_FIELD_UNCALIBRATED	60.059998	0.5999985	-91.67999
1560827824958	TYPE_GYROSCOPE_UNCALIBRATED	-1.0024414	-0.22937012	0.1053772
1560827824958	TYPE_ACCELEROMETER_UNCALIBRATED	-0.35295105	0.032302856	4.3405914
1560827824977	TYPE_ACCELEROMETER	0.07298279	-0.46780396	5.173294
1560827824977	TYPE_MAGNETIC_FIELD	4.68	27.9	-33.3
1560827824977	TYPE_GYROSCOPE	-1.004242	-0.22843933	0.10853577
1560827824977	TYPE_ROTATION_VECTOR	0.03011757	0.032782383	0.05793126
1560827824977	TYPE_MAGNETIC_FIELD_UNCALIBRATED	59.82	0.47999954	-91.67999
1560827824977	TYPE_GYROSCOPE_UNCALIBRATED	-1.0024414	-0.22937012	0.1053772
