#	startTime:1560828119689
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969d639e2fc0b4afe957e	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560828119689	TYPE_WAYPOINT	58.934998	162.26154
1560828119803	TYPE_ACCELEROMETER	0.45344543	-0.015563965	7.585251
1560828119803	TYPE_MAGNETIC_FIELD	-3.06	-39.36	-33.78
1560828119803	TYPE_GYROSCOPE	-0.23698425	0.087677	-0.37008667
1560828119803	TYPE_ROTATION_VECTOR	-0.026187448	0.016980771	-0.99936616
1560828119803	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.179996	-66.42	-83.1
1560828119803	TYPE_GYROSCOPE_UNCALIBRATED	-0.23518372	0.086746216	-0.37324524
1560828119803	TYPE_ACCELEROMETER_UNCALIBRATED	0.45344543	-0.015563965	7.585251
1560828119822	TYPE_ACCELEROMETER	0.77407837	0.24168396	7.404587
1560828119822	TYPE_MAGNETIC_FIELD	-2.76	-39.48	-33.899998
1560828119822	TYPE_GYROSCOPE	-0.22721863	-0.026550293	-0.2555542
1560828119822	TYPE_ROTATION_VECTOR	-0.029502632	0.010243664	-0.99944973
1560828119822	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.48	-66.54	-83.22
1560828119822	TYPE_GYROSCOPE_UNCALIBRATED	-0.23518372	0.086746216	-0.37324524
1560828119822	TYPE_ACCELEROMETER_UNCALIBRATED	0.45344543	-0.015563965	7.585251
1560828119841	TYPE_ACCELEROMETER	0.7465668	0.66999817	6.8817596
1560828119841	TYPE_MAGNETIC_FIELD	-2.76	-39.48	-34.02
1560828119841	TYPE_GYROSCOPE	-0.138031	-0.03540039	-0.12513733
1560828119841	TYPE_ROTATION_VECTOR	-0.05150658	-0.0053205853	-0.9986527
1560828119841	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.48	-66.54	-83.34
1560828119841	TYPE_GYROSCOPE_UNCALIBRATED	-0.18754578	-0.10505676	-0.13653564
1560828119841	TYPE_ACCELEROMETER_UNCALIBRATED	0.7465668	0.66999817	6.8817596
1560828119861	TYPE_ACCELEROMETER	0.4055786	1.0504456	6.6018066
1560828119861	TYPE_MAGNETIC_FIELD	-2.6399999	-39.36	-34.26
1560828119861	TYPE_GYROSCOPE	-0.09832764	0.08554077	-0.1184082
1560828119861	TYPE_ROTATION_VECTOR	-0.053804085	-0.047171693	-0.997279
1560828119861	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.6	-66.42	-83.58
1560828119861	TYPE_GYROSCOPE_UNCALIBRATED	-0.10140991	0.027816772	-0.12677002
1560828119861	TYPE_ACCELEROMETER_UNCALIBRATED	0.7465668	0.66999817	6.8817596
1560828119880	TYPE_ACCELEROMETER	0.17826843	1.1174469	6.8099823
1560828119880	TYPE_MAGNETIC_FIELD	-2.6399999	-39.36	-34.26
1560828119880	TYPE_GYROSCOPE	-0.18536377	0.09072876	-0.09580994
1560828119880	TYPE_ROTATION_VECTOR	-0.053804085	-0.047171693	-0.997279
1560828119880	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.6	-66.42	-83.58
1560828119880	TYPE_GYROSCOPE_UNCALIBRATED	-0.12553406	0.11148071	-0.11026001
1560828119880	TYPE_ACCELEROMETER_UNCALIBRATED	0.17826843	1.1174469	6.8099823
1560828119899	TYPE_ACCELEROMETER	0.102890015	0.89253235	7.6462708
1560828119899	TYPE_MAGNETIC_FIELD	-2.6399999	-39.36	-34.26
1560828119899	TYPE_GYROSCOPE	-0.34083557	-0.006088257	-0.08755493
1560828119899	TYPE_ROTATION_VECTOR	-0.053804085	-0.047171693	-0.997279
1560828119899	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.6	-66.42	-83.58
1560828119899	TYPE_GYROSCOPE_UNCALIBRATED	-0.26176453	0.038497925	-0.09164429
1560828119899	TYPE_ACCELEROMETER_UNCALIBRATED	0.102890015	0.89253235	7.6462708
1560828119918	TYPE_ACCELEROMETER	-0.13160706	0.7190552	8.268402
1560828119918	TYPE_MAGNETIC_FIELD	-2.58	-39.12	-34.38
1560828119918	TYPE_GYROSCOPE	-0.40956116	-0.04548645	-0.09274292
1560828119918	TYPE_ROTATION_VECTOR	-0.0039113415	-0.056152843	-0.99788857
1560828119918	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.659996	-66.18	-83.7
1560828119918	TYPE_GYROSCOPE_UNCALIBRATED	-0.39004517	-0.03327942	-0.09590149
1560828119918	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13160706	0.7190552	8.268402
1560828119937	TYPE_ACCELEROMETER	-0.1603241	0.7609253	8.605789
1560828119937	TYPE_MAGNETIC_FIELD	-2.28	-38.879997	-34.62
1560828119937	TYPE_GYROSCOPE	-0.38482666	-0.030517578	-0.05305481
1560828119937	TYPE_ROTATION_VECTOR	-0.00394116	-0.049923524	-0.9982743
1560828119937	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.96	-65.939995	-83.94
1560828119937	TYPE_GYROSCOPE_UNCALIBRATED	-0.36836243	0.0027618408	-0.018035889
1560828119937	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1603241	0.7609253	8.605789
1560828119957	TYPE_ACCELEROMETER	0.21296692	0.8027954	9.193237
