#	startTime:1560828322450
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969d639e2fc0b4afe957e	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560828322450	TYPE_WAYPOINT	80.25155	74.02982
1560828322562	TYPE_ACCELEROMETER	0.1878357	1.2179565	8.313873
1560828322562	TYPE_MAGNETIC_FIELD	28.14	-21.24	-31.38
1560828322562	TYPE_GYROSCOPE	7.4758606	0.14875793	-0.62664795
1560828322562	TYPE_ROTATION_VECTOR	0.02700064	0.049377754	0.8772676
1560828322562	TYPE_MAGNETIC_FIELD_UNCALIBRATED	81.96	-47.519997	-88.799995
1560828322562	TYPE_GYROSCOPE_UNCALIBRATED	7.477661	0.14782715	-0.6298065
1560828322562	TYPE_ACCELEROMETER_UNCALIBRATED	-0.013168335	0.982254	8.750549
1560828322581	TYPE_ACCELEROMETER	0.09213257	1.2442627	8.426331
1560828322581	TYPE_MAGNETIC_FIELD	28.199999	-21.24	-31.32
1560828322581	TYPE_GYROSCOPE	7.4758606	0.14875793	-0.62664795
1560828322581	TYPE_ROTATION_VECTOR	0.045631446	0.05729911	0.8603622
1560828322581	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.02	-47.519997	-88.74
1560828322581	TYPE_GYROSCOPE_UNCALIBRATED	7.477661	0.14782715	-0.6298065
1560828322581	TYPE_ACCELEROMETER_UNCALIBRATED	0.1878357	1.2179565	8.313873
1560828322600	TYPE_ACCELEROMETER	0.44387817	1.195221	9.008987
1560828322600	TYPE_MAGNETIC_FIELD	28.14	-21.24	-31.32
1560828322600	TYPE_GYROSCOPE	0.009506226	0.09440613	0.079818726
1560828322600	TYPE_ROTATION_VECTOR	0.040650886	0.060938813	0.86422557
1560828322600	TYPE_MAGNETIC_FIELD_UNCALIBRATED	81.96	-47.519997	-88.74
1560828322600	TYPE_GYROSCOPE_UNCALIBRATED	3.7516632	0.10568237	-0.29322815
1560828322600	TYPE_ACCELEROMETER_UNCALIBRATED	0.44387817	1.195221	9.008987
1560828322619	TYPE_ACCELEROMETER	1.183258	1.2682037	9.08316
1560828322619	TYPE_MAGNETIC_FIELD	27.9	-21.539999	-31.32
1560828322619	TYPE_GYROSCOPE	-0.017074585	0.13716125	0.18243408
1560828322619	TYPE_ROTATION_VECTOR	0.05181648	0.046803422	0.88095164
1560828322619	TYPE_MAGNETIC_FIELD_UNCALIBRATED	81.72	-47.82	-88.74
1560828322619	TYPE_GYROSCOPE_UNCALIBRATED	-0.010696411	0.13165283	0.13529968
1560828322619	TYPE_ACCELEROMETER_UNCALIBRATED	1.183258	1.2682037	9.08316
1560828322639	TYPE_ACCELEROMETER	1.1509552	1.3878479	9.132217
1560828322639	TYPE_MAGNETIC_FIELD	27.9	-21.72	-31.26
1560828322639	TYPE_GYROSCOPE	0.014984131	0.09593201	0.1842804
1560828322639	TYPE_ROTATION_VECTOR	0.08945916	0.027766287	0.8636297
1560828322639	TYPE_MAGNETIC_FIELD_UNCALIBRATED	81.72	-48.0	-88.68
1560828322639	TYPE_GYROSCOPE_UNCALIBRATED	-0.0012359619	0.12095642	0.1979065
1560828322639	TYPE_ACCELEROMETER_UNCALIBRATED	1.183258	1.2682037	9.08316
1560828322658	TYPE_ACCELEROMETER	1.0707855	1.3196411	9.232712
1560828322658	TYPE_MAGNETIC_FIELD	27.9	-21.72	-31.26
1560828322658	TYPE_GYROSCOPE	0.0055236816	0.05470276	0.10546875
1560828322658	TYPE_ROTATION_VECTOR	0.09038311	0.032616407	0.8612257
1560828322658	TYPE_MAGNETIC_FIELD_UNCALIBRATED	81.72	-48.0	-88.68
1560828322658	TYPE_GYROSCOPE_UNCALIBRATED	0.020446777	0.0705719	0.14079285
1560828322658	TYPE_ACCELEROMETER_UNCALIBRATED	1.1509552	1.3878479	9.132217
1560828322677	TYPE_ACCELEROMETER	1.1162567	1.1306152	9.556946
1560828322677	TYPE_MAGNETIC_FIELD	27.96	-21.72	-31.199999
1560828322677	TYPE_GYROSCOPE	-0.039993286	0.042175293	0.09906006
1560828322677	TYPE_ROTATION_VECTOR	0.08999006	0.032839086	0.86177635
1560828322677	TYPE_MAGNETIC_FIELD_UNCALIBRATED	81.78	-48.0	-88.619995
1560828322677	TYPE_GYROSCOPE_UNCALIBRATED	-0.0128479	0.04307556	0.088256836
1560828322677	TYPE_ACCELEROMETER_UNCALIBRATED	1.0707855	1.3196411	9.232712
1560828322696	TYPE_ACCELEROMETER	0.29312134	0.65205383	10.60141
1560828322696	TYPE_MAGNETIC_FIELD	28.08	-21.96	-31.32
1560828322696	TYPE_GYROSCOPE	-0.13345337	0.10447693	0.115249634
1560828322696	TYPE_ROTATION_VECTOR	0.08948417	0.03262758	0.86229616
1560828322696	TYPE_MAGNETIC_FIELD_UNCALIBRATED	81.9	-48.239998	-88.74
1560828322696	TYPE_GYROSCOPE_UNCALIBRATED	-0.07759094	0.05987549	0.1065979
1560828322696	TYPE_ACCELEROMETER_UNCALIBRATED	1.1162567	1.1306152	9.556946
1560828322716	TYPE_ACCELEROMETER	0.12322998	0.0335083	12.473785
1560828322716	TYPE_MAGNETIC_FIELD	27.96	-21.96	-31.08
1560828322716	TYPE_GYROSCOPE	-0.26997375	0.22634888	0.14456177
1560828322716	TYPE_ROTATION_VECTOR	0.08802998	0.031927858	0.8629728
1560828322716	TYPE_MAGNETIC_FIELD_UNCALIBRATED	81.78	-48.239998	-88.5
1560828322716	TYPE_GYROSCOPE_UNCALIBRATED	-0.19456482	0.16096497	0.11758423
1560828322716	TYPE_ACCELEROMETER_UNCALIBRATED	0.29312134	0.65205383	10.60141
1560828322735	TYPE_ACCELEROMETER	0.95832825	-0.35891724	13.989639
1560828322735	TYPE_MAGNETIC_FIELD	27.84	-22.199999	-31.26
1560828322735	TYPE_GYROSCOPE	-0.3866577	0.26483154	0.2456665
1560828322735	TYPE_ROTATION_VECTOR	0.0849335	0.030656142	0.86392444
1560828322735	TYPE_MAGNETIC_FIELD_UNCALIBRATED	81.66	-48.479996	-88.68
1560828322735	TYPE_GYROSCOPE_UNCALIBRATED	-0.33842468	0.27581787	0.19302368
1560828322735	TYPE_ACCELEROMETER_UNCALIBRATED	0.12322998	0.0335083	12.473785
1560828322754	TYPE_ACCELEROMETER	0.5395813	-0.7381897	14.830719
1560828322754	TYPE_MAGNETIC_FIELD	27.84	-22.5	-31.32
1560828322754	TYPE_GYROSCOPE	-0.39123535	0.02293396	0.17877197
1560828322754	TYPE_ROTATION_VECTOR	0.08096098	0.028508442	0.86541295
1560828322754	TYPE_MAGNETIC_FIELD_UNCALIBRATED	81.66	-48.78	-88.74
1560828322754	TYPE_GYROSCOPE_UNCALIBRATED	-0.40257263	0.16586304	0.24372864
1560828322754	TYPE_ACCELEROMETER_UNCALIBRATED	0.95832825	-0.35891724	13.989639
1560828322773	TYPE_ACCELEROMETER	0.15792847	-0.7633209	15.840485
1560828322773	TYPE_MAGNETIC_FIELD	27.96	-22.199999	-31.32
1560828322773	TYPE_GYROSCOPE	-0.3264923	-0.1414032	-0.023132324
1560828322773	TYPE_ROTATION_VECTOR	0.078960225	0.02524608	0.866379
1560828322773	TYPE_MAGNETIC_FIELD_UNCALIBRATED	81.78	-48.479996	-88.74
1560828322773	TYPE_GYROSCOPE_UNCALIBRATED	-0.35705566	-0.094680786	0.065963745
1560828322773	TYPE_ACCELEROMETER_UNCALIBRATED	0.15792847	-0.7633209	15.840485
1560828322793	TYPE_ACCELEROMETER	0.08135986	-0.82792664	16.077377
1560828322793	TYPE_MAGNETIC_FIELD	27.9	-22.02	-31.619999
1560828322793	TYPE_GYROSCOPE	-0.22203064	-0.099853516	-0.082977295
1560828322793	TYPE_ROTATION_VECTOR	0.07858238	0.021891687	0.8662426
1560828322793	TYPE_MAGNETIC_FIELD_UNCALIBRATED	81.72	-48.3	-89.03999
1560828322793	TYPE_GYROSCOPE_UNCALIBRATED	-0.2874298	-0.13102722	-0.07209778
1560828322793	TYPE_ACCELEROMETER_UNCALIBRATED	0.15792847	-0.7633209	15.840485
1560828322812	TYPE_ACCELEROMETER	-0.38883972	-0.88653564	15.335602
1560828322812	TYPE_MAGNETIC_FIELD	27.84	-22.26	-31.98
