#	startTime:1560828393138
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969d639e2fc0b4afe957e	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560828393138	TYPE_WAYPOINT	56.709526	60.630604
1560828393297	TYPE_ACCELEROMETER	-0.67118835	0.30270386	9.623932
1560828393297	TYPE_MAGNETIC_FIELD	-19.8	-14.46	-25.8
1560828393297	TYPE_GYROSCOPE	0.5921173	-0.21484375	-0.023727417
1560828393297	TYPE_ROTATION_VECTOR	0.028134657	-9.503974E-6	-0.87936205
1560828393297	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.02	-40.739998	-83.22
1560828393297	TYPE_GYROSCOPE_UNCALIBRATED	0.27044678	-0.10612488	0.0146484375
1560828393297	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5383911	0.2979126	10.552353
1560828393316	TYPE_ACCELEROMETER	-0.5874481	0.41036987	7.7180634
1560828393316	TYPE_MAGNETIC_FIELD	-19.8	-14.46	-25.98
1560828393316	TYPE_GYROSCOPE	0.79599	-0.25868225	-0.014862061
1560828393316	TYPE_ROTATION_VECTOR	0.04934561	3.86717E-4	-0.8709877
1560828393316	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.02	-40.739998	-83.399994
1560828393316	TYPE_GYROSCOPE_UNCALIBRATED	0.77671814	-0.26846313	-0.04307556
1560828393316	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7680969	0.3816681	8.612976
1560828393335	TYPE_ACCELEROMETER	-0.06341553	0.3481598	6.1782684
1560828393335	TYPE_MAGNETIC_FIELD	-19.859999	-14.7	-25.98
1560828393335	TYPE_GYROSCOPE	0.73062134	-0.24645996	0.049575806
1560828393335	TYPE_ROTATION_VECTOR	0.031014545	-0.01594065	-0.88601834
1560828393335	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.96	-40.98	-83.399994
1560828393335	TYPE_GYROSCOPE_UNCALIBRATED	0.7797699	-0.2516632	0.02229309
1560828393335	TYPE_ACCELEROMETER_UNCALIBRATED	-0.28953552	0.39361572	6.9380035
1560828393355	TYPE_ACCELEROMETER	0.020339966	0.17945862	5.495117
1560828393355	TYPE_MAGNETIC_FIELD	-20.1	-14.759999	-25.98
1560828393355	TYPE_GYROSCOPE	0.5543976	-0.25195312	0.039505005
1560828393355	TYPE_ROTATION_VECTOR	0.008750941	-0.025565911	-0.8790474
1560828393355	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.72	-41.039997	-83.399994
1560828393355	TYPE_GYROSCOPE_UNCALIBRATED	0.66064453	-0.24769592	0.047943115
1560828393355	TYPE_ACCELEROMETER_UNCALIBRATED	0.049057007	0.32901	5.6805573
1560828393374	TYPE_ACCELEROMETER	-0.0382843	0.09690857	5.11705
1560828393374	TYPE_MAGNETIC_FIELD	-20.039999	-14.94	-25.859999
1560828393374	TYPE_GYROSCOPE	0.32196045	-0.26081848	0.020553589
1560828393374	TYPE_ROTATION_VECTOR	-2.9509657E-4	-0.0021642526	-0.8864023
1560828393374	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.78	-41.219997	-83.28
1560828393374	TYPE_GYROSCOPE_UNCALIBRATED	0.43341064	-0.26083374	0.024429321
1560828393374	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0035858154	0.049057007	5.313263
1560828393393	TYPE_ACCELEROMETER	-0.015548706	0.07298279	4.372879
1560828393393	TYPE_MAGNETIC_FIELD	-20.039999	-14.94	-25.859999
1560828393393	TYPE_GYROSCOPE	0.14724731	-0.21224976	0.018112183
1560828393393	TYPE_ROTATION_VECTOR	-2.9509657E-4	-0.0021642526	-0.8864023
1560828393393	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.78	-41.219997	-83.28
1560828393393	TYPE_GYROSCOPE_UNCALIBRATED	0.2315216	-0.23854065	0.01159668
1560828393393	TYPE_ACCELEROMETER_UNCALIBRATED	-0.058624268	0.06581116	4.823929
1560828393412	TYPE_ACCELEROMETER	0.08734131	0.19381714	3.6011963
1560828393412	TYPE_MAGNETIC_FIELD	-20.039999	-14.94	-25.859999
1560828393412	TYPE_GYROSCOPE	-0.044570923	-0.16491699	0.030029297
1560828393412	TYPE_ROTATION_VECTOR	-2.9509657E-4	-0.0021642526	-0.8864023
1560828393412	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.78	-41.219997	-83.28
1560828393412	TYPE_GYROSCOPE_UNCALIBRATED	0.06291199	-0.19761658	0.02168274
1560828393412	TYPE_ACCELEROMETER_UNCALIBRATED	0.01675415	0.13041687	3.961319
1560828393432	TYPE_ACCELEROMETER	0.25604248	0.26202393	3.1178436
1560828393432	TYPE_MAGNETIC_FIELD	-20.039999	-15.12	-25.859999
1560828393432	TYPE_GYROSCOPE	-0.3093872	-0.05496216	0.035217285
1560828393432	TYPE_ROTATION_VECTOR	-0.0019271323	-0.0060603116	-0.8862783
1560828393432	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.78	-41.399998	-83.28
1560828393432	TYPE_GYROSCOPE_UNCALIBRATED	-0.16525269	-0.11392212	0.031448364
1560828393432	TYPE_ACCELEROMETER_UNCALIBRATED	0.16271973	0.2476654	3.282959
1560828393451	TYPE_ACCELEROMETER	0.35653687	0.053833008	3.1836548
1560828393451	TYPE_MAGNETIC_FIELD	-20.4	-15.9	-24.72
1560828393451	TYPE_GYROSCOPE	-0.6542206	0.05529785	0.0138549805
1560828393451	TYPE_ROTATION_VECTOR	-0.0053709648	-0.004044781	-0.88600045
1560828393451	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.42	-42.18	-82.14
1560828393451	TYPE_GYROSCOPE_UNCALIBRATED	-0.47373962	0.0033721924	0.02748108
1560828393451	TYPE_ACCELEROMETER_UNCALIBRATED	0.33380127	0.20100403	3.0998993
1560828393470	TYPE_ACCELEROMETER	0.23928833	-0.27278137	4.0534515
1560828393470	TYPE_MAGNETIC_FIELD	-20.16	-15.839999	-24.3
1560828393470	TYPE_GYROSCOPE	-1.0491333	0.083099365	-0.061294556
1560828393470	TYPE_ROTATION_VECTOR	-0.007799984	0.0017247441	-0.88594913
1560828393470	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.66	-42.12	-81.72
1560828393470	TYPE_GYROSCOPE_UNCALIBRATED	-0.84239197	0.08125305	-0.020767212
1560828393470	TYPE_ACCELEROMETER_UNCALIBRATED	0.33380127	-0.16152954	3.4444733
1560828393489	TYPE_ACCELEROMETER	-0.21296692	-0.4235382	5.7667084
1560828393489	TYPE_MAGNETIC_FIELD	-20.16	-15.96	-24.06
1560828393489	TYPE_GYROSCOPE	-1.4123077	0.04888916	-0.15475464
1560828393489	TYPE_ROTATION_VECTOR	-0.011739872	0.010957118	-0.8861626
1560828393489	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.66	-42.239998	-81.479996
1560828393489	TYPE_GYROSCOPE_UNCALIBRATED	-1.2489319	0.064453125	-0.11424255
1560828393489	TYPE_ACCELEROMETER_UNCALIBRATED	0.055038452	-0.2644043	4.9160614
1560828393509	TYPE_ACCELEROMETER	-0.6496582	-1.2430725	8.250458
1560828393509	TYPE_MAGNETIC_FIELD	-20.16	-15.96	-24.06
1560828393509	TYPE_GYROSCOPE	-1.6322174	0.145401	-0.1602478
1560828393509	TYPE_ROTATION_VECTOR	-0.011739872	0.010957118	-0.8861626
1560828393509	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.66	-42.239998	-81.479996
1560828393509	TYPE_GYROSCOPE_UNCALIBRATED	-1.2489319	0.064453125	-0.11424255
1560828393509	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5276184	-0.34336853	18.276382
1560828393528	TYPE_ACCELEROMETER	-0.52282715	-2.334198	13.033707
1560828393528	TYPE_MAGNETIC_FIELD	-20.16	-15.96	-24.06
1560828393528	TYPE_GYROSCOPE	-1.8817596	0.35005188	-0.023727417
