#	startTime:1560828704592
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969d639e2fc0b4afe957e	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560828704593	TYPE_WAYPOINT	65.03795	53.88909
1560828704703	TYPE_ACCELEROMETER	-0.7405853	-0.53240967	7.1724854
1560828704703	TYPE_MAGNETIC_FIELD	-23.22	22.199999	-34.44
1560828704703	TYPE_GYROSCOPE	0.06599426	-0.07296753	-0.58755493
1560828704703	TYPE_ROTATION_VECTOR	1.37992165E-5	0.05495315	-0.44850427
1560828704703	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.46	-4.74	-87.479996
1560828704703	TYPE_GYROSCOPE_UNCALIBRATED	0.0677948	-0.073898315	-0.5907135
1560828704703	TYPE_ACCELEROMETER_UNCALIBRATED	-0.67477417	-0.5048981	7.2012024
1560828704722	TYPE_ACCELEROMETER	-0.6089783	-0.5252228	7.182068
1560828704722	TYPE_MAGNETIC_FIELD	-23.16	21.9	-34.44
1560828704722	TYPE_GYROSCOPE	0.075164795	-0.020446777	-0.23387146
1560828704722	TYPE_ROTATION_VECTOR	-0.004059698	0.06230137	-0.46507692
1560828704722	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.52	-5.039999	-87.479996
1560828704722	TYPE_GYROSCOPE_UNCALIBRATED	0.0677948	-0.073898315	-0.5907135
1560828704722	TYPE_ACCELEROMETER_UNCALIBRATED	-0.72502136	-0.5288086	7.1198425
1560828704741	TYPE_ACCELEROMETER	-0.41516113	-0.6855469	7.706085
1560828704741	TYPE_MAGNETIC_FIELD	-23.279999	21.66	-34.38
1560828704741	TYPE_GYROSCOPE	-0.12825012	-0.01676941	0.15830994
1560828704741	TYPE_ROTATION_VECTOR	-0.008802382	0.05339939	-0.4668015
1560828704741	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.4	-5.279999	-87.42
1560828704741	TYPE_GYROSCOPE_UNCALIBRATED	0.07696533	-0.021377563	-0.23703003
1560828704741	TYPE_ACCELEROMETER_UNCALIBRATED	-0.53001404	-0.58265686	7.401001
1560828704760	TYPE_ACCELEROMETER	0.07418823	-0.91166687	8.495728
1560828704760	TYPE_MAGNETIC_FIELD	-23.279999	21.359999	-34.38
