#	startTime:1560828889712
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969d639e2fc0b4afe957e	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560828889713	TYPE_WAYPOINT	71.162155	111.01128
1560828889825	TYPE_ACCELEROMETER	-1.0863495	-0.107681274	10.844269
1560828889825	TYPE_MAGNETIC_FIELD	33.48	-5.2799997	-24.6
1560828889825	TYPE_GYROSCOPE	-0.081832886	-0.4113922	-0.57655334
1560828889825	TYPE_ROTATION_VECTOR	-0.025883771	0.023466308	0.7700959
1560828889825	TYPE_MAGNETIC_FIELD_UNCALIBRATED	89.16	-32.219997	-77.64
1560828889825	TYPE_GYROSCOPE_UNCALIBRATED	-0.08003235	-0.412323	-0.5797119
1560828889825	TYPE_ACCELEROMETER_UNCALIBRATED	-0.850647	-0.046661377	10.532013
1560828889844	TYPE_ACCELEROMETER	-1.3615112	-0.14117432	11.368301
1560828889844	TYPE_MAGNETIC_FIELD	33.54	-5.4	-24.9
1560828889844	TYPE_GYROSCOPE	-0.18751526	-0.18141174	-0.30471802
1560828889844	TYPE_ROTATION_VECTOR	-0.040923744	0.027615566	0.77361816
1560828889844	TYPE_MAGNETIC_FIELD_UNCALIBRATED	89.22	-32.34	-77.939995
1560828889844	TYPE_GYROSCOPE_UNCALIBRATED	-0.08003235	-0.412323	-0.5797119
1560828889844	TYPE_ACCELEROMETER_UNCALIBRATED	-1.228714	-0.14596558	11.123032
1560828889863	TYPE_ACCELEROMETER	-1.5086823	-0.06820679	11.739197
1560828889863	TYPE_MAGNETIC_FIELD	33.6	-5.58	-25.199999
1560828889863	TYPE_GYROSCOPE	-0.20889282	-0.006088257	-0.019760132
1560828889863	TYPE_ROTATION_VECTOR	-0.050163135	0.03380828	0.7751069
1560828889863	TYPE_MAGNETIC_FIELD_UNCALIBRATED	89.28	-32.519997	-78.24
1560828889863	TYPE_GYROSCOPE_UNCALIBRATED	-0.18571472	-0.18234253	-0.3078766
1560828889863	TYPE_ACCELEROMETER_UNCALIBRATED	-1.475174	-0.110076904	11.56691
1560828889882	TYPE_ACCELEROMETER	-1.4967194	0.015563965	11.941391
1560828889882	TYPE_MAGNETIC_FIELD	33.719997	-5.58	-25.68
1560828889882	TYPE_GYROSCOPE	-0.08610535	-0.0519104	0.018722534
1560828889882	TYPE_ROTATION_VECTOR	-0.0509777	0.039328415	0.76324224
1560828889882	TYPE_MAGNETIC_FIELD_UNCALIBRATED	89.399994	-32.519997	-78.72
1560828889882	TYPE_GYROSCOPE_UNCALIBRATED	-0.20709229	-0.007019043	-0.022918701
1560828889882	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5050964	-0.0143585205	11.87558
1560828889902	TYPE_ACCELEROMETER	-1.3160553	-0.04307556	11.93541
1560828889902	TYPE_MAGNETIC_FIELD	33.78	-5.4	-25.74
1560828889902	TYPE_GYROSCOPE	0.06355286	-0.08581543	0.03857422
1560828889902	TYPE_ROTATION_VECTOR	-0.046418317	0.041779984	0.7477937
1560828889902	TYPE_MAGNETIC_FIELD_UNCALIBRATED	89.46	-32.34	-78.78
1560828889902	TYPE_GYROSCOPE_UNCALIBRATED	-0.08430481	-0.052841187	0.015563965
