#	startTime:1560829191772
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969d839e2fc0b4afe989d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560829191772	TYPE_WAYPOINT	69.15159	118.84919
1560829191894	TYPE_ACCELEROMETER	-1.1964111	-1.3292236	9.524628
1560829191894	TYPE_MAGNETIC_FIELD	-16.38	-22.32	-25.619999
1560829191894	TYPE_GYROSCOPE	0.1733551	-0.06732178	-0.624527
1560829191894	TYPE_ROTATION_VECTOR	0.03560808	0.083832294	-0.94921714
1560829191894	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.760002	-51.0	-83.399994
1560829191894	TYPE_GYROSCOPE_UNCALIBRATED	0.089782715	-0.07572937	-0.8772125
1560829191894	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1904297	-1.380661	9.870392
1560829191913	TYPE_ACCELEROMETER	-1.2693939	-1.1126709	8.638092
1560829191913	TYPE_MAGNETIC_FIELD	-16.26	-22.74	-25.56
1560829191913	TYPE_GYROSCOPE	0.41601562	-0.048843384	0.11402893
1560829191913	TYPE_ROTATION_VECTOR	0.043862354	0.08132521	-0.952248
1560829191913	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.879997	-51.42	-83.34
1560829191913	TYPE_GYROSCOPE_UNCALIBRATED	0.34588623	-0.05329895	-0.12860107
1560829191913	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2370911	-1.2191467	9.126236
1560829191932	TYPE_ACCELEROMETER	-1.3160553	-0.6508484	8.055435
1560829191932	TYPE_MAGNETIC_FIELD	-16.26	-22.74	-25.56
1560829191932	TYPE_GYROSCOPE	0.33355713	-0.010055542	0.101501465
1560829191932	TYPE_ROTATION_VECTOR	0.043862354	0.08132521	-0.952248
1560829191932	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.879997	-51.42	-83.34
1560829191932	TYPE_GYROSCOPE_UNCALIBRATED	0.3805542	-0.039093018	0.09742737
1560829191932	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1641083	-0.3708954	7.7443695
1560829191951	TYPE_ACCELEROMETER	-0.9762726	-0.117248535	7.379471
1560829191951	TYPE_MAGNETIC_FIELD	-16.26	-22.74	-25.56
1560829191951	TYPE_GYROSCOPE	0.24925232	0.050720215	0.12013245
1560829191951	TYPE_ROTATION_VECTOR	0.043862354	0.08132521	-0.952248
1560829191951	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.879997	-51.42	-83.34
1560829191951	TYPE_GYROSCOPE_UNCALIBRATED	0.29534912	0.015289307	0.1078186
1560829191951	TYPE_ACCELEROMETER_UNCALIBRATED	-0.85783386	0.090927124	7.1186523
1560829191971	TYPE_ACCELEROMETER	-0.82073975	0.22970581	7.022934
1560829191971	TYPE_MAGNETIC_FIELD	-16.02	-23.16	-25.32
1560829191971	TYPE_GYROSCOPE	0.11639404	0.14265442	0.14517212
1560829191971	TYPE_ROTATION_VECTOR	0.057911083	0.007911639	-0.95115554
1560829191971	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.12	-51.84	-83.1
1560829191971	TYPE_GYROSCOPE_UNCALIBRATED	0.19119263	0.09713745	0.12675476
1560829191971	TYPE_ACCELEROMETER_UNCALIBRATED	-0.77049255	0.3014984	7.063614
1560829191990	TYPE_ACCELEROMETER	-0.6723938	0.30867004	7.2598267
1560829191990	TYPE_MAGNETIC_FIELD	-15.78	-23.519999	-25.199999
1560829191990	TYPE_GYROSCOPE	-0.025939941	0.16433716	0.1855011
1560829191990	TYPE_ROTATION_VECTOR	0.057482265	7.911801E-6	-0.94843704
1560829191990	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.36	-52.199997	-82.979996
1560829191990	TYPE_GYROSCOPE_UNCALIBRATED	0.043670654	0.16462708	0.16278076
1560829191990	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5156555	0.26560974	7.5876465
1560829192009	TYPE_ACCELEROMETER	-0.37208557	0.18185425	7.898712
1560829192009	TYPE_MAGNETIC_FIELD	-15.839999	-24.24	-24.84
1560829192009	TYPE_GYROSCOPE	-0.10229492	0.10569763	0.19160461
1560829192009	TYPE_ROTATION_VECTOR	0.039192807	-0.010844684	-0.95302254
1560829192009	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.3	-52.92	-82.619995
1560829192009	TYPE_GYROSCOPE_UNCALIBRATED	-0.07728577	0.14233398	0.19302368
1560829192009	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2093811	0.19142151	8.1176605
1560829192028	TYPE_ACCELEROMETER	-0.11845398	0.28355408	8.232513
1560829192028	TYPE_MAGNETIC_FIELD	-16.02	-24.3	-24.66
1560829192028	TYPE_GYROSCOPE	-0.05038452	0.042175293	0.15037537
1560829192028	TYPE_ROTATION_VECTOR	0.040254496	-0.009791346	-0.95241135
1560829192028	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.12	-52.98	-82.44
1560829192028	TYPE_GYROSCOPE_UNCALIBRATED	-0.08950806	0.06933594	0.16981506
1560829192028	TYPE_ACCELEROMETER_UNCALIBRATED	-0.110076904	0.3744812	8.103302
1560829192048	TYPE_ACCELEROMETER	-0.08255005	0.5431824	7.7718964
1560829192048	TYPE_MAGNETIC_FIELD	-16.14	-24.42	-24.24
1560829192048	TYPE_GYROSCOPE	0.08340454	0.017440796	0.12532043
1560829192048	TYPE_ROTATION_VECTOR	0.040617894	-0.0088216895	-0.9518907
1560829192048	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.0	-53.1	-82.02
