#	startTime:1560829234257
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969d839e2fc0b4afe989d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560829234257	TYPE_WAYPOINT	76.80468	75.00559
1560829234373	TYPE_ACCELEROMETER	0.33859253	-0.42233276	6.3553467
1560829234373	TYPE_MAGNETIC_FIELD	22.619999	-17.76	-23.76
1560829234373	TYPE_GYROSCOPE	0.24497986	0.07484436	-0.0683136
1560829234373	TYPE_ROTATION_VECTOR	0.006591347	-0.046353824	0.8968721
1560829234373	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.759995	-46.440002	-81.54
1560829234373	TYPE_GYROSCOPE_UNCALIBRATED	0.2467804	0.073913574	-0.07147217
1560829234373	TYPE_ACCELEROMETER_UNCALIBRATED	0.13400269	-0.34217834	6.331421
1560829234392	TYPE_ACCELEROMETER	0.037094116	-0.34934998	6.4690094
1560829234392	TYPE_MAGNETIC_FIELD	22.68	-17.64	-23.76
1560829234392	TYPE_GYROSCOPE	-0.1907196	-0.22111511	-0.15032959
1560829234392	TYPE_ROTATION_VECTOR	6.591832E-6	-0.027333	0.8981937
1560829234392	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.82	-46.32	-81.54
1560829234392	TYPE_GYROSCOPE_UNCALIBRATED	-0.18891907	-0.2220459	-0.15348816
1560829234392	TYPE_ACCELEROMETER_UNCALIBRATED	0.13400269	-0.34217834	6.331421
1560829234411	TYPE_ACCELEROMETER	0.058624268	-0.44267273	6.7094727
1560829234411	TYPE_MAGNETIC_FIELD	22.68	-17.34	-23.82
1560829234411	TYPE_GYROSCOPE	-0.37443542	-0.23516846	-0.121170044
1560829234411	TYPE_ROTATION_VECTOR	-0.004180397	-0.030893654	0.89546824
1560829234411	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.82	-46.02	-81.6
1560829234411	TYPE_GYROSCOPE_UNCALIBRATED	-0.3726349	-0.23609924	-0.12432861
1560829234411	TYPE_ACCELEROMETER_UNCALIBRATED	0.122039795	-0.41874695	6.6352997
1560829234430	TYPE_ACCELEROMETER	0.051452637	-0.26560974	6.579071
1560829234430	TYPE_MAGNETIC_FIELD	22.68	-17.22	-23.939999
1560829234430	TYPE_GYROSCOPE	-0.35702515	-0.138031	-0.08879089
1560829234430	TYPE_ROTATION_VECTOR	-0.010448379	-0.024910266	0.90566504
1560829234430	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.82	-45.9	-81.72
1560829234430	TYPE_GYROSCOPE_UNCALIBRATED	-0.3552246	-0.13896179	-0.09194946
