#	startTime:1560829264075
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969d839e2fc0b4afe989d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560829264075	TYPE_WAYPOINT	63.68716	60.79691
1560829264185	TYPE_ACCELEROMETER	-0.29074097	-1.252655	13.393829
1560829264185	TYPE_MAGNETIC_FIELD	-21.42	-13.799999	-26.34
1560829264185	TYPE_GYROSCOPE	-0.5167694	-0.50302124	-0.25523376
1560829264185	TYPE_ROTATION_VECTOR	0.00391823	0.038011603	-0.8862831
1560829264185	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.72	-42.48	-84.119995
1560829264185	TYPE_GYROSCOPE_UNCALIBRATED	-0.5149689	-0.503952	-0.25839233
1560829264185	TYPE_ACCELEROMETER_UNCALIBRATED	-0.40438843	-1.1138611	13.545776
1560829264204	TYPE_ACCELEROMETER	-0.11845398	-0.98464966	12.473785
1560829264204	TYPE_MAGNETIC_FIELD	-21.24	-13.799999	-26.039999
1560829264204	TYPE_GYROSCOPE	-0.11634827	-0.3093872	-0.29953003
1560829264204	TYPE_ROTATION_VECTOR	-0.00958733	0.045821	-0.89611155
1560829264204	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.9	-42.48	-83.82
1560829264204	TYPE_GYROSCOPE_UNCALIBRATED	-0.5149689	-0.503952	-0.25839233
1560829264204	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23809814	-1.2047882	13.068405
1560829264223	TYPE_ACCELEROMETER	0.36131287	-0.12322998	10.15036
1560829264223	TYPE_MAGNETIC_FIELD	-21.119999	-13.74	-25.74
1560829264223	TYPE_GYROSCOPE	0.5439911	-0.107788086	-0.34413147
1560829264223	TYPE_ROTATION_VECTOR	-0.0129363965	0.03602137	-0.8924032
