#	startTime:1560829417518
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969d839e2fc0b4afe989d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560829417519	TYPE_WAYPOINT	81.719666	44.2416
1560829417628	TYPE_ACCELEROMETER	-0.28115845	0.43191528	12.970306
1560829417628	TYPE_MAGNETIC_FIELD	-26.76	27.06	-23.1
1560829417628	TYPE_GYROSCOPE	-0.012496948	-0.0657959	-0.07702637
1560829417628	TYPE_ROTATION_VECTOR	0.01298169	0.008645239	-0.37660673
1560829417628	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.38	-1.6200008	-80.88
1560829417628	TYPE_GYROSCOPE_UNCALIBRATED	-0.09162903	-0.081848145	-0.037872314
1560829417628	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29670715	0.31466675	13.2921295
1560829417647	TYPE_ACCELEROMETER	-0.100494385	0.47737122	12.106491
1560829417647	TYPE_MAGNETIC_FIELD	-26.82	27.18	-23.22
1560829417647	TYPE_GYROSCOPE	0.27217102	-0.028076172	-0.20423889
1560829417647	TYPE_ROTATION_VECTOR	0.021354929	0.0054965746	-0.37531644
1560829417647	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.32	-1.5	-81.0
1560829417647	TYPE_GYROSCOPE_UNCALIBRATED	-0.010696411	-0.066726685	-0.08018494
1560829417647	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20219421	0.47257996	12.587448
1560829417666	TYPE_ACCELEROMETER	-0.16749573	0.47618103	11.045273
1560829417666	TYPE_MAGNETIC_FIELD	-26.939999	27.06	-23.1
1560829417666	TYPE_GYROSCOPE	0.41603088	-0.0448761	-0.2054596
1560829417666	TYPE_ROTATION_VECTOR	0.021034023	-0.006581218	-0.38591024
1560829417666	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.2	-1.6200008	-80.88
1560829417666	TYPE_GYROSCOPE_UNCALIBRATED	0.27397156	-0.029006958	-0.20739746
1560829417666	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20219421	0.47257996	12.587448
1560829417685	TYPE_ACCELEROMETER	-0.35772705	0.4390869	9.962524
1560829417685	TYPE_MAGNETIC_FIELD	-27.06	26.88	-23.34
1560829417685	TYPE_GYROSCOPE	0.50032043	-0.060455322	-0.20484924
1560829417685	TYPE_ROTATION_VECTOR	0.022058424	-3.9332508E-4	-0.3924961
1560829417685	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.08	-1.8000011	-81.119995
1560829417685	TYPE_GYROSCOPE_UNCALIBRATED	0.41783142	-0.045806885	-0.20861816
1560829417685	TYPE_ACCELEROMETER_UNCALIBRATED	-0.086135864	0.4737854	11.58606
1560829417705	TYPE_ACCELEROMETER	-0.51924133	0.46780396	8.892929
1560829417705	TYPE_MAGNETIC_FIELD	-27.06	26.88	-23.34
1560829417705	TYPE_GYROSCOPE	0.5531616	-0.05555725	-0.17919922
1560829417705	TYPE_ROTATION_VECTOR	0.022058424	-3.9332508E-4	-0.3924961
1560829417705	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.08	-1.8000011	-81.119995
1560829417705	TYPE_GYROSCOPE_UNCALIBRATED	0.502121	-0.06138611	-0.20800781
1560829417705	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4857483	0.43310547	9.505493
1560829417724	TYPE_ACCELEROMETER	-0.1375885	0.5659027	7.1844482
1560829417724	TYPE_MAGNETIC_FIELD	-27.06	26.88	-23.34
1560829417724	TYPE_GYROSCOPE	0.60173035	-0.1096344	-0.13520813
1560829417724	TYPE_ROTATION_VECTOR	0.022058424	-3.9332508E-4	-0.3924961
1560829417724	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.08	-1.8000011	-81.119995
1560829417724	TYPE_GYROSCOPE_UNCALIBRATED	0.55496216	-0.056488037	-0.18235779
1560829417724	TYPE_ACCELEROMETER_UNCALIBRATED	-0.34457397	0.51805115	8.066208
1560829417743	TYPE_ACCELEROMETER	-0.049057007	0.59820557	5.9533386
1560829417743	TYPE_MAGNETIC_FIELD	-27.24	26.939999	-23.34
1560829417743	TYPE_GYROSCOPE	0.524765	-0.12277222	-0.13520813
1560829417743	TYPE_ROTATION_VECTOR	0.038025964	-0.0039061715	-0.3783596
1560829417743	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.9	-1.7400017	-81.119995
1560829417743	TYPE_GYROSCOPE_UNCALIBRATED	0.6035309	-0.110565186	-0.1383667
1560829417743	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0382843	0.6077881	6.427124
1560829417762	TYPE_ACCELEROMETER	-0.23928833	0.5611267	5.4783783
1560829417762	TYPE_MAGNETIC_FIELD	-27.539999	26.88	-23.1
1560829417762	TYPE_GYROSCOPE	0.31126404	-0.12245178	-0.15444946
1560829417762	TYPE_ROTATION_VECTOR	0.049939778	-0.0109887095	-0.38082
1560829417762	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.6	-1.8000011	-80.88
1560829417762	TYPE_GYROSCOPE_UNCALIBRATED	0.52656555	-0.123703	-0.1383667
1560829417762	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1603241	0.57188416	5.7092743
1560829417782	TYPE_ACCELEROMETER	-0.19979858	0.47138977	5.2414856
1560829417782	TYPE_MAGNETIC_FIELD	-27.42	26.4	-23.46
1560829417782	TYPE_GYROSCOPE	0.07485962	-0.14201355	-0.15109253
1560829417782	TYPE_ROTATION_VECTOR	0.05330089	-0.0135198785	-0.38211772
1560829417782	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.72	-2.2800007	-81.24
1560829417782	TYPE_GYROSCOPE_UNCALIBRATED	0.31306458	-0.12338257	-0.15760803
1560829417782	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19381714	0.51446533	5.3108826
1560829417801	TYPE_ACCELEROMETER	-0.4008026	0.45463562	5.2618256
