#	startTime:1560829387543
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969d839e2fc0b4afe989d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560829387544	TYPE_WAYPOINT	89.77654	60.516502
1560829387663	TYPE_ACCELEROMETER	-1.0624237	-1.3292084	8.936005
1560829387663	TYPE_MAGNETIC_FIELD	-7.74	-22.5	-24.06
1560829387663	TYPE_GYROSCOPE	-0.07571411	0.027816772	0.40571594
1560829387663	TYPE_ROTATION_VECTOR	0.029467216	0.08331639	-0.9783893
1560829387663	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.4	-51.18	-81.84
1560829387663	TYPE_GYROSCOPE_UNCALIBRATED	-0.073913574	0.026885986	0.40255737
1560829387663	TYPE_ACCELEROMETER_UNCALIBRATED	-0.87098694	-1.4871368	9.5234375
1560829387682	TYPE_ACCELEROMETER	-1.2646027	-1.0049896	7.6654053
1560829387682	TYPE_MAGNETIC_FIELD	-7.9199996	-22.26	-24.06
1560829387682	TYPE_GYROSCOPE	0.36410522	-0.026245117	0.18901062
1560829387682	TYPE_ROTATION_VECTOR	0.05396148	0.08419466	-0.9688915
1560829387682	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.22	-50.940002	-81.84
1560829387682	TYPE_GYROSCOPE_UNCALIBRATED	0.4501953	-0.035110474	0.09742737
1560829387682	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3232269	-0.79800415	7.0564423
1560829387701	TYPE_ACCELEROMETER	-1.4356995	-0.61016846	6.602997
1560829387701	TYPE_MAGNETIC_FIELD	-7.9199996	-22.26	-24.06
1560829387701	TYPE_GYROSCOPE	0.44839478	-0.034179688	0.10058594
1560829387701	TYPE_ROTATION_VECTOR	0.05396148	0.08419466	-0.9688915
1560829387701	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.22	-50.940002	-81.84
1560829387701	TYPE_GYROSCOPE_UNCALIBRATED	0.4501953	-0.035110474	0.09742737
1560829387701	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3232269	-0.79800415	7.0564423
1560829387720	TYPE_ACCELEROMETER	-1.4667969	-0.27638245	6.3015137
1560829387720	TYPE_MAGNETIC_FIELD	-7.8599997	-22.02	-24.119999
1560829387720	TYPE_GYROSCOPE	0.25598145	-0.054336548	0.101501465
