#	startTime:1560829562664
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969d839e2fc0b4afe989d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560829562665	TYPE_WAYPOINT	63.411797	57.475945
1560829562785	TYPE_ACCELEROMETER	-0.4462738	0.36730957	13.311279
1560829562785	TYPE_MAGNETIC_FIELD	-22.74	23.279999	-26.22
1560829562785	TYPE_GYROSCOPE	-0.01020813	0.18496704	0.4958191
1560829562785	TYPE_ROTATION_VECTOR	0.067819916	-0.0	-0.32431054
1560829562785	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.4	-5.4000015	-84.0
1560829562785	TYPE_GYROSCOPE_UNCALIBRATED	0.045196533	0.16799927	0.6016846
1560829562785	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4462738	0.36730957	13.311279
1560829562804	TYPE_ACCELEROMETER	-0.7130585	0.010772705	13.878372
1560829562804	TYPE_MAGNETIC_FIELD	-22.68	23.46	-26.16
1560829562804	TYPE_GYROSCOPE	-0.15116882	0.22055054	0.16137695
1560829562804	TYPE_ROTATION_VECTOR	0.03024175	0.00770226	-0.35385442
1560829562804	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.46	-5.220001	-83.94
1560829562804	TYPE_GYROSCOPE_UNCALIBRATED	-0.008407593	0.18403625	0.49266052
1560829562804	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7130585	0.010772705	13.878372
1560829562823	TYPE_ACCELEROMETER	-1.2095795	-0.20817566	13.659424
1560829562823	TYPE_MAGNETIC_FIELD	-22.74	24.24	-26.22
1560829562823	TYPE_GYROSCOPE	-0.060760498	0.0776062	0.12686157
1560829562823	TYPE_ROTATION_VECTOR	0.015076836	0.01605347	-0.36605668
