#	startTime:1560829875570
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969d839e2fc0b4afe989d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560829875570	TYPE_WAYPOINT	80.03474	90.795235
1560829875688	TYPE_ACCELEROMETER	0.27757263	0.15194702	9.373886
1560829875688	TYPE_MAGNETIC_FIELD	7.14	-29.699999	-23.34
1560829875688	TYPE_GYROSCOPE	-0.11894226	-0.18553162	-0.06541443
1560829875688	TYPE_ROTATION_VECTOR	0.012377956	0.009433989	0.989644
1560829875688	TYPE_MAGNETIC_FIELD_UNCALIBRATED	62.28	-58.379997	-81.119995
1560829875688	TYPE_GYROSCOPE_UNCALIBRATED	-0.12828064	-0.25105286	-0.02015686
1560829875688	TYPE_ACCELEROMETER_UNCALIBRATED	0.26081848	0.28355408	9.221939
1560829875707	TYPE_ACCELEROMETER	0.24526978	0.40797424	9.110672
1560829875707	TYPE_MAGNETIC_FIELD	7.3799996	-29.76	-23.519999
1560829875707	TYPE_GYROSCOPE	-0.07296753	0.023239136	-0.20729065
1560829875707	TYPE_ROTATION_VECTOR	0.016048854	0.015070306	0.98754907
1560829875707	TYPE_MAGNETIC_FIELD_UNCALIBRATED	62.52	-58.440002	-81.299995
1560829875707	TYPE_GYROSCOPE_UNCALIBRATED	-0.11714172	-0.1864624	-0.068573
1560829875707	TYPE_ACCELEROMETER_UNCALIBRATED	0.26081848	0.28355408	9.221939
1560829875726	TYPE_ACCELEROMETER	0.11366272	0.6113739	8.839096
1560829875726	TYPE_MAGNETIC_FIELD	7.56	-29.76	-23.76
1560829875726	TYPE_GYROSCOPE	-0.034484863	0.07424927	-0.18835449
1560829875726	TYPE_ROTATION_VECTOR	0.01566859	0.026997892	0.98781186
1560829875726	TYPE_MAGNETIC_FIELD_UNCALIBRATED	62.7	-58.440002	-81.54
1560829875726	TYPE_GYROSCOPE_UNCALIBRATED	-0.07116699	0.02230835	-0.21044922
1560829875726	TYPE_ACCELEROMETER_UNCALIBRATED	0.022735596	0.69392395	8.760132
1560829875745	TYPE_ACCELEROMETER	0.01914978	0.7346039	8.725433
1560829875745	TYPE_MAGNETIC_FIELD	7.9199996	-29.76	-24.06
1560829875745	TYPE_GYROSCOPE	-0.05770874	0.09776306	-0.1465149
1560829875745	TYPE_ROTATION_VECTOR	0.006602628	0.037669953	0.98438805
1560829875745	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.059998	-58.440002	-81.84
1560829875745	TYPE_GYROSCOPE_UNCALIBRATED	-0.032684326	0.07331848	-0.19151306
1560829875745	TYPE_ACCELEROMETER_UNCALIBRATED	0.062210083	0.72143555	8.684753
1560829875765	TYPE_ACCELEROMETER	0.117248535	0.702301	8.781662
1560829875765	TYPE_MAGNETIC_FIELD	8.04	-29.64	-24.119999
1560829875765	TYPE_GYROSCOPE	-0.13101196	0.08615112	-0.1083374
1560829875765	TYPE_ROTATION_VECTOR	0.009597554	0.040142305	0.98683715
1560829875765	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.18	-58.32	-81.899994
1560829875765	TYPE_GYROSCOPE_UNCALIBRATED	-0.055908203	0.096832275	-0.14967346
1560829875765	TYPE_ACCELEROMETER_UNCALIBRATED	0.20698547	0.68315125	8.945572
1560829875784	TYPE_ACCELEROMETER	0.26679993	0.6891327	8.97908
1560829875784	TYPE_MAGNETIC_FIELD	8.28	-29.64	-24.24
1560829875784	TYPE_GYROSCOPE	-0.2079773	0.07026672	-0.07778931
1560829875784	TYPE_ROTATION_VECTOR	0.016925154	0.033580694	0.98631555
1560829875784	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.42	-58.32	-82.02
1560829875784	TYPE_GYROSCOPE_UNCALIBRATED	-0.12921143	0.08522034	-0.11149597
1560829875784	TYPE_ACCELEROMETER_UNCALIBRATED	0.27996826	0.6999054	8.951553
1560829875803	TYPE_ACCELEROMETER	0.27876282	0.673584	8.956345
1560829875803	TYPE_MAGNETIC_FIELD	8.34	-29.64	-24.539999
1560829875803	TYPE_GYROSCOPE	-0.29716492	0.052246094	-0.055496216
1560829875803	TYPE_ROTATION_VECTOR	0.01589181	0.032082405	0.9862406
1560829875803	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.48	-58.32	-82.32
1560829875803	TYPE_GYROSCOPE_UNCALIBRATED	-0.20617676	0.06933594	-0.080947876
1560829875803	TYPE_ACCELEROMETER_UNCALIBRATED	0.3361969	0.6113739	9.0173645
1560829875822	TYPE_ACCELEROMETER	0.39840698	0.52163696	9.177673
1560829875822	TYPE_MAGNETIC_FIELD	8.76	-29.699999	-24.359999
1560829875822	TYPE_GYROSCOPE	-0.39857483	0.027511597	-0.03778076
1560829875822	TYPE_ROTATION_VECTOR	0.014912439	0.029855117	0.9862198
1560829875822	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.9	-58.379997	-82.14
1560829875822	TYPE_GYROSCOPE_UNCALIBRATED	-0.29536438	0.051315308	-0.058654785
1560829875822	TYPE_ACCELEROMETER_UNCALIBRATED	0.33859253	0.42114258	9.409775
1560829875842	TYPE_ACCELEROMETER	0.21057129	0.34217834	9.664612
1560829875842	TYPE_MAGNETIC_FIELD	8.76	-29.939999	-24.3
1560829875842	TYPE_GYROSCOPE	-0.45140076	-0.024414062	-0.049987793
1560829875842	TYPE_ROTATION_VECTOR	0.013973405	0.026626186	0.9862522
1560829875842	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.9	-58.62	-82.08
1560829875842	TYPE_GYROSCOPE_UNCALIBRATED	-0.3967743	0.02658081	-0.04093933
1560829875842	TYPE_ACCELEROMETER_UNCALIBRATED	0.33859253	0.42114258	9.409775
1560829875861	TYPE_ACCELEROMETER	0.119644165	0.4091797	9.973282
1560829875861	TYPE_MAGNETIC_FIELD	8.88	-29.82	-24.42
1560829875861	TYPE_GYROSCOPE	-0.4190216	-0.10076904	-0.061294556
1560829875861	TYPE_ROTATION_VECTOR	0.0132106645	0.022533718	0.9862893
1560829875861	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.02	-58.5	-82.2
1560829875861	TYPE_GYROSCOPE_UNCALIBRATED	-0.44960022	-0.025344849	-0.053146362
1560829875861	TYPE_ACCELEROMETER_UNCALIBRATED	0.08256531	0.54556274	9.949356
1560829875880	TYPE_ACCELEROMETER	0.07058716	0.7142639	9.809387
1560829875880	TYPE_MAGNETIC_FIELD	8.82	-29.64	-24.6
1560829875880	TYPE_GYROSCOPE	-0.31304932	-0.12031555	-0.063430786
1560829875880	TYPE_ROTATION_VECTOR	0.013112873	0.018216426	0.9862811
1560829875880	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.96	-58.32	-82.38
1560829875880	TYPE_GYROSCOPE_UNCALIBRATED	-0.41722107	-0.10169983	-0.064453125
1560829875880	TYPE_ACCELEROMETER_UNCALIBRATED	0.19502258	0.88056946	9.427719
1560829875899	TYPE_ACCELEROMETER	0.42593384	1.0061951	8.7469635
1560829875899	TYPE_MAGNETIC_FIELD	8.58	-29.4	-24.84
1560829875899	TYPE_GYROSCOPE	-0.20124817	-0.1279602	-0.054870605
1560829875899	TYPE_ROTATION_VECTOR	0.013624627	0.014537182	0.98622304
1560829875899	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.72	-58.08	-82.619995
1560829875899	TYPE_GYROSCOPE_UNCALIBRATED	-0.31124878	-0.12124634	-0.066589355
1560829875899	TYPE_ACCELEROMETER_UNCALIBRATED	0.5611267	1.1198425	8.041092
1560829875919	TYPE_ACCELEROMETER	0.5970154	1.1976166	7.5218506
1560829875919	TYPE_MAGNETIC_FIELD	8.76	-29.22	-25.199999
1560829875919	TYPE_GYROSCOPE	-0.19422913	-0.10076904	-0.056411743
1560829875919	TYPE_ROTATION_VECTOR	0.014386341	0.011970954	0.9861468
1560829875919	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.9	-57.9	-82.979996
1560829875919	TYPE_GYROSCOPE_UNCALIBRATED	-0.19944763	-0.12889099	-0.058029175
1560829875919	TYPE_ACCELEROMETER_UNCALIBRATED	0.604187	1.1712952	7.1054993
1560829875938	TYPE_ACCELEROMETER	0.447464	1.071991	6.7776794
1560829875938	TYPE_MAGNETIC_FIELD	8.639999	-28.92	-25.56
1560829875938	TYPE_GYROSCOPE	-0.29899597	-0.05555725	-0.041137695
1560829875938	TYPE_ROTATION_VECTOR	0.015229486	0.01007053	0.98605835
1560829875938	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.78	-57.6	-83.34
1560829875938	TYPE_GYROSCOPE_UNCALIBRATED	-0.19242859	-0.10169983	-0.059570312
1560829875938	TYPE_ACCELEROMETER_UNCALIBRATED	0.09451294	0.92004395	6.6508484
1560829875957	TYPE_ACCELEROMETER	-0.03111267	0.6855469	6.7537384
1560829875957	TYPE_MAGNETIC_FIELD	8.76	-28.56	-25.74
1560829875957	TYPE_GYROSCOPE	-0.51768494	-0.010971069	0.018737793
1560829875957	TYPE_ROTATION_VECTOR	0.015616372	0.007742301	0.98598707
1560829875957	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.9	-57.239998	-83.52
1560829875957	TYPE_GYROSCOPE_UNCALIBRATED	-0.29719543	-0.056488037	-0.044296265
1560829875957	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29312134	0.22732544	8.468201
1560829875976	TYPE_ACCELEROMETER	-0.5479584	0.5312042	7.7946167
1560829875976	TYPE_MAGNETIC_FIELD	8.76	-28.56	-25.74
1560829875976	TYPE_GYROSCOPE	-0.78738403	-0.069610596	0.110961914
1560829875976	TYPE_ROTATION_VECTOR	0.015616372	0.007742301	0.98598707
1560829875976	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.9	-57.239998	-83.52
1560829875976	TYPE_GYROSCOPE_UNCALIBRATED	-0.29719543	-0.056488037	-0.044296265
1560829875976	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29312134	0.22732544	8.468201
1560829875996	TYPE_ACCELEROMETER	0.17947388	-0.107681274	9.300903
1560829875996	TYPE_MAGNETIC_FIELD	8.76	-28.56	-25.74
1560829875996	TYPE_GYROSCOPE	-0.9019165	-0.099853516	0.21481323
1560829875996	TYPE_ROTATION_VECTOR	0.015616372	0.007742301	0.98598707
1560829875996	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.9	-57.239998	-83.52
