#	startTime:1560829850016
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969d839e2fc0b4afe989d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560829850016	TYPE_WAYPOINT	75.39736	93.16836
1560829850114	TYPE_ACCELEROMETER	-0.18544006	-0.275177	12.374481
1560829850114	TYPE_MAGNETIC_FIELD	-32.219997	11.099999	-21.119999
1560829850114	TYPE_GYROSCOPE	0.0018615723	-0.08885193	-0.10864258
1560829850114	TYPE_ROTATION_VECTOR	-0.006919455	0.013952053	-0.607173
1560829850114	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.920002	-17.580002	-78.899994
1560829850114	TYPE_GYROSCOPE_UNCALIBRATED	0.0036621094	-0.089782715	-0.11180115
1560829850114	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18544006	-0.275177	12.374481
1560829850133	TYPE_ACCELEROMETER	-0.98106384	-0.010772705	10.941193
1560829850133	TYPE_MAGNETIC_FIELD	-32.46	11.099999	-21.06
1560829850133	TYPE_GYROSCOPE	0.73902893	-0.10168457	-0.029388428
1560829850133	TYPE_ROTATION_VECTOR	-0.008726852	0.012941405	-0.5912477
1560829850133	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.68	-17.580002	-78.84
1560829850133	TYPE_GYROSCOPE_UNCALIBRATED	0.0036621094	-0.089782715	-0.11180115
1560829850133	TYPE_ACCELEROMETER_UNCALIBRATED	-0.98106384	-0.010772705	10.941193
1560829850152	TYPE_ACCELEROMETER	-0.7369995	0.06341553	9.244675
1560829850152	TYPE_MAGNETIC_FIELD	-32.64	10.98	-20.82
1560829850152	TYPE_GYROSCOPE	0.9468689	-0.30725098	0.05354309
1560829850152	TYPE_ROTATION_VECTOR	0.026394833	0.0353609	-0.6000607
1560829850152	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.5	-17.7	-78.6
1560829850152	TYPE_GYROSCOPE_UNCALIBRATED	0.74082947	-0.10261536	-0.032546997
1560829850152	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7369995	0.06341553	9.244675
1560829850171	TYPE_ACCELEROMETER	-0.28953552	-0.035888672	8.066208
1560829850171	TYPE_MAGNETIC_FIELD	-32.88	10.8	-20.76
1560829850171	TYPE_GYROSCOPE	0.85798645	-0.4184265	0.06790161
1560829850171	TYPE_ROTATION_VECTOR	0.024631226	0.02921298	-0.5999391
1560829850171	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.259998	-17.880001	-78.54
1560829850171	TYPE_GYROSCOPE_UNCALIBRATED	0.94866943	-0.30818176	0.05038452
1560829850171	TYPE_ACCELEROMETER_UNCALIBRATED	-0.28953552	-0.035888672	8.066208
1560829850191	TYPE_ACCELEROMETER	0.11366272	-0.19981384	6.821945
1560829850191	TYPE_MAGNETIC_FIELD	-33.12	10.5	-20.699999
1560829850191	TYPE_GYROSCOPE	0.7703247	-0.3032837	0.13050842
1560829850191	TYPE_ROTATION_VECTOR	0.006611281	0.01410839	-0.6115132
1560829850191	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.02	-18.18	-78.479996
1560829850191	TYPE_GYROSCOPE_UNCALIBRATED	0.859787	-0.4193573	0.06474304
1560829850191	TYPE_ACCELEROMETER_UNCALIBRATED	0.11366272	-0.19981384	6.821945
1560829850210	TYPE_ACCELEROMETER	0.3517456	-0.090927124	5.60997
1560829850210	TYPE_MAGNETIC_FIELD	-33.36	10.44	-20.46
1560829850210	TYPE_GYROSCOPE	0.66067505	-0.13192749	0.16625977
1560829850210	TYPE_ROTATION_VECTOR	-0.015604231	1.4111631E-5	-0.5971349
1560829850210	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.779999	-18.240002	-78.24
1560829850210	TYPE_GYROSCOPE_UNCALIBRATED	0.77212524	-0.30421448	0.12734985
1560829850210	TYPE_ACCELEROMETER_UNCALIBRATED	0.11366272	-0.19981384	6.821945
1560829850229	TYPE_ACCELEROMETER	0.47019958	-0.20339966	4.4243317
1560829850229	TYPE_MAGNETIC_FIELD	-33.48	10.26	-20.22
1560829850229	TYPE_GYROSCOPE	0.45542908	-0.036636353	0.18243408
1560829850229	TYPE_ROTATION_VECTOR	-0.02130292	-0.02366679	-0.5880834
1560829850229	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.66	-18.42	-78.0
1560829850229	TYPE_GYROSCOPE_UNCALIBRATED	0.6624756	-0.13285828	0.1631012
1560829850229	TYPE_ACCELEROMETER_UNCALIBRATED	0.3517456	-0.090927124	5.60997
1560829850248	TYPE_ACCELEROMETER	0.5204468	0.055038452	3.652649
1560829850248	TYPE_MAGNETIC_FIELD	-33.48	10.26	-20.22
1560829850248	TYPE_GYROSCOPE	0.16036987	0.072402954	0.14303589
1560829850248	TYPE_ROTATION_VECTOR	-0.02130292	-0.02366679	-0.5880834
1560829850248	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.66	-18.42	-78.0
1560829850248	TYPE_GYROSCOPE_UNCALIBRATED	0.4572296	-0.03756714	0.17927551
1560829850248	TYPE_ACCELEROMETER_UNCALIBRATED	0.5204468	0.055038452	3.652649
1560829850268	TYPE_ACCELEROMETER	0.49172974	0.117248535	3.1298218
1560829850268	TYPE_MAGNETIC_FIELD	-33.78	10.139999	-20.16
1560829850268	TYPE_GYROSCOPE	-0.13253784	0.12036133	0.09202576
1560829850268	TYPE_ROTATION_VECTOR	-0.016958406	-0.028425746	-0.58659184
1560829850268	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.36	-18.54	-77.94
1560829850268	TYPE_GYROSCOPE_UNCALIBRATED	0.16217041	0.07147217	0.13987732
1560829850268	TYPE_ACCELEROMETER_UNCALIBRATED	0.49172974	0.117248535	3.1298218
1560829850287	TYPE_ACCELEROMETER	0.75613403	0.15792847	3.2434845
1560829850287	TYPE_MAGNETIC_FIELD	-33.78	10.139999	-20.16
1560829850287	TYPE_GYROSCOPE	-0.42514038	0.20405579	0.012924194
1560829850287	TYPE_ROTATION_VECTOR	-0.016958406	-0.028425746	-0.58659184
1560829850287	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.36	-18.54	-77.94
1560829850287	TYPE_GYROSCOPE_UNCALIBRATED	-0.1307373	0.11943054	0.08886719
1560829850287	TYPE_ACCELEROMETER_UNCALIBRATED	0.75613403	0.15792847	3.2434845
1560829850306	TYPE_ACCELEROMETER	0.6663971	0.088531494	3.332016
1560829850306	TYPE_MAGNETIC_FIELD	-33.48	10.139999	-20.22
1560829850306	TYPE_GYROSCOPE	-0.6869049	0.25750732	-0.13674927
1560829850306	TYPE_ROTATION_VECTOR	-0.012646359	-0.03169581	-0.5844062
1560829850306	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.66	-18.54	-78.0
1560829850306	TYPE_GYROSCOPE_UNCALIBRATED	-0.68510437	0.25657654	-0.13990784
1560829850306	TYPE_ACCELEROMETER_UNCALIBRATED	0.6663971	0.088531494	3.332016
1560829850325	TYPE_ACCELEROMETER	0.18545532	0.046661377	3.6358948
1560829850325	TYPE_MAGNETIC_FIELD	-33.78	9.84	-20.34
1560829850325	TYPE_GYROSCOPE	-1.072052	0.14112854	-0.3251953
1560829850325	TYPE_ROTATION_VECTOR	-0.014612304	-0.025933942	-0.58326375
1560829850325	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.36	-18.84	-78.119995
1560829850325	TYPE_GYROSCOPE_UNCALIBRATED	-0.68510437	0.25657654	-0.13990784
1560829850325	TYPE_ACCELEROMETER_UNCALIBRATED	0.18545532	0.046661377	3.6358948
1560829850345	TYPE_ACCELEROMETER	-1.1174469	-0.42233276	6.023941
1560829850345	TYPE_MAGNETIC_FIELD	-33.66	9.96	-20.46
1560829850345	TYPE_GYROSCOPE	-1.6181793	0.102645874	-0.40216064
1560829850345	TYPE_ROTATION_VECTOR	-0.018463721	-0.020132182	-0.5845084
1560829850345	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.48	-18.720001	-78.24
1560829850345	TYPE_GYROSCOPE_UNCALIBRATED	-1.0702515	0.14019775	-0.32835388
1560829850345	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1174469	-0.42233276	6.023941
1560829850364	TYPE_ACCELEROMETER	-1.9525452	-1.3339996	10.845474
1560829850364	TYPE_MAGNETIC_FIELD	-33.54	9.96	-20.46
1560829850364	TYPE_GYROSCOPE	-1.9083405	0.17747498	-0.24119568
1560829850364	TYPE_ROTATION_VECTOR	-0.025903609	-0.013108679	-0.5872168
1560829850364	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.599998	-18.720001	-78.24
1560829850364	TYPE_GYROSCOPE_UNCALIBRATED	-1.6163788	0.10171509	-0.4053192
1560829850364	TYPE_ACCELEROMETER_UNCALIBRATED	-1.9525452	-1.3339996	10.845474
1560829850383	TYPE_ACCELEROMETER	-1.7814636	-1.7898407	14.859436
1560829850383	TYPE_MAGNETIC_FIELD	-33.66	9.96	-20.4
1560829850383	TYPE_GYROSCOPE	-1.6578827	0.32347107	-0.0032653809
1560829850383	TYPE_ROTATION_VECTOR	-0.037763603	-0.0033411107	-0.5904795
1560829850383	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.48	-18.720001	-78.18
1560829850383	TYPE_GYROSCOPE_UNCALIBRATED	-1.6560822	0.32254028	-0.00642395
1560829850383	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7814636	-1.7898407	14.859436
1560829850402	TYPE_ACCELEROMETER	-0.81596375	-1.8759766	17.280975
1560829850402	TYPE_MAGNETIC_FIELD	-33.84	10.139999	-20.22
1560829850402	TYPE_GYROSCOPE	-1.1478119	0.45144653	0.14456177
