#	startTime:1560829956855
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b90e2acfd2d33b5e3bc	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560829956856	TYPE_WAYPOINT	161.40434	68.56478
1560829957042	TYPE_ACCELEROMETER	0.08140564	1.3742676	9.560043
1560829957042	TYPE_MAGNETIC_FIELD	24.9	-8.22	-34.079998
1560829957042	TYPE_GYROSCOPE	-0.1337738	0.077560425	-0.042251587
1560829957042	TYPE_ROTATION_VECTOR	0.04059942	0.0420078	0.7610354
1560829957042	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.72	6.12	-172.8
1560829957042	TYPE_GYROSCOPE_UNCALIBRATED	-0.09428406	0.15286255	-0.046340942
1560829957042	TYPE_ACCELEROMETER_UNCALIBRATED	0.08140564	1.3742676	9.560043
1560829957062	TYPE_ACCELEROMETER	0.23223877	1.4484863	9.792282
1560829957062	TYPE_MAGNETIC_FIELD	24.84	-7.98	-34.26
1560829957062	TYPE_GYROSCOPE	-0.11672974	-0.008743286	-0.049179077
1560829957062	TYPE_ROTATION_VECTOR	0.0499972	0.048751593	0.7296359
1560829957062	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.66	6.36	-172.98
1560829957062	TYPE_GYROSCOPE_UNCALIBRATED	-0.1171875	-0.009597778	-0.047409058
1560829957062	TYPE_ACCELEROMETER_UNCALIBRATED	0.08140564	1.3742676	9.560043
1560829957083	TYPE_ACCELEROMETER	0.45729065	1.3575134	10.00058
1560829957083	TYPE_MAGNETIC_FIELD	25.14	-7.68	-34.32
1560829957083	TYPE_GYROSCOPE	-0.077301025	0.011520386	-0.0667572
1560829957083	TYPE_ROTATION_VECTOR	0.058778763	0.043714758	0.7168766
1560829957083	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.96	6.6600003	-173.04001
1560829957083	TYPE_GYROSCOPE_UNCALIBRATED	-0.07775879	0.010665894	-0.06498718
1560829957083	TYPE_ACCELEROMETER_UNCALIBRATED	0.23223877	1.4484863	9.792282
1560829957103	TYPE_ACCELEROMETER	0.53630066	1.3215942	10.65181
1560829957103	TYPE_MAGNETIC_FIELD	25.199999	-7.62	-34.38
1560829957103	TYPE_GYROSCOPE	-0.09436035	0.07595825	-0.09870911
1560829957103	TYPE_ROTATION_VECTOR	0.060841195	0.03429108	0.74266285
