#	startTime:1560830350067
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b90e2acfd2d33b5e3bc	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560830350069	TYPE_WAYPOINT	143.0433	57.836864
1560830350259	TYPE_ACCELEROMETER	-0.7805023	1.0510559	10.558426
1560830350259	TYPE_MAGNETIC_FIELD	-1.1999999	25.859999	-27.66
1560830350259	TYPE_GYROSCOPE	0.025497437	-0.06732178	0.06907654
1560830350259	TYPE_ROTATION_VECTOR	0.048751917	0.007886332	-0.03493487
1560830350259	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.62	40.199997	-166.38
1560830350259	TYPE_GYROSCOPE_UNCALIBRATED	0.0021362305	-0.047409058	0.102264404
1560830350259	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7805023	1.0510559	10.558426
1560830350279	TYPE_ACCELEROMETER	-0.4333496	0.79008484	11.0707855
1560830350279	TYPE_MAGNETIC_FIELD	-1.02	25.92	-27.48
1560830350279	TYPE_GYROSCOPE	0.019104004	-0.109939575	0.10635376
1560830350279	TYPE_ROTATION_VECTOR	0.049927138	0.034125153	-0.04128552
1560830350279	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.799999	40.260002	-166.2
1560830350279	TYPE_GYROSCOPE_UNCALIBRATED	0.01864624	-0.11079407	0.10812378
1560830350279	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4333496	0.79008484	11.0707855
1560830350300	TYPE_ACCELEROMETER	0.13407898	0.6105194	11.6597595
1560830350300	TYPE_MAGNETIC_FIELD	-0.9	25.98	-27.42
1560830350300	TYPE_GYROSCOPE	0.044128418	-0.21806335	0.093566895
1560830350300	TYPE_ROTATION_VECTOR	0.03708147	0.018285114	-0.024646029
1560830350300	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.92	40.32	-166.14
1560830350300	TYPE_GYROSCOPE_UNCALIBRATED	0.043670654	-0.21891785	0.095336914
1560830350300	TYPE_ACCELEROMETER_UNCALIBRATED	0.13407898	0.6105194	11.6597595
1560830350320	TYPE_ACCELEROMETER	0.52194214	0.52911377	11.439499
1560830350320	TYPE_MAGNETIC_FIELD	-0.9	25.859999	-27.18
1560830350320	TYPE_GYROSCOPE	0.16610718	-0.35334778	0.053619385
1560830350320	TYPE_ROTATION_VECTOR	0.026501898	-0.0054698023	-0.022767872
1560830350320	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.92	40.199997	-165.9
1560830350320	TYPE_GYROSCOPE_UNCALIBRATED	0.043670654	-0.21891785	0.095336914
1560830350320	TYPE_ACCELEROMETER_UNCALIBRATED	0.52194214	0.52911377	11.439499
1560830350340	TYPE_ACCELEROMETER	0.6488342	0.30166626	10.91037
1560830350340	TYPE_MAGNETIC_FIELD	-0.9	25.859999	-27.06
1560830350340	TYPE_GYROSCOPE	0.29127502	-0.34483337	-1.6784668E-4
1560830350340	TYPE_ROTATION_VECTOR	0.028065577	-0.009103709	-0.024810784
1560830350340	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.92	40.199997	-165.78
1560830350340	TYPE_GYROSCOPE_UNCALIBRATED	0.29081726	-0.34568787	0.0016021729
1560830350340	TYPE_ACCELEROMETER_UNCALIBRATED	0.6488342	0.30166626	10.91037
1560830350360	TYPE_ACCELEROMETER	0.588974	-0.34477234	10.512939
1560830350360	TYPE_MAGNETIC_FIELD	-1.1999999	25.74	-27.06
1560830350360	TYPE_GYROSCOPE	0.31098938	-0.26652527	-0.043319702
1560830350360	TYPE_ROTATION_VECTOR	0.0309177	-0.0126681095	-0.024881888
1560830350360	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.62	40.08	-165.78
1560830350360	TYPE_GYROSCOPE_UNCALIBRATED	0.29081726	-0.34568787	0.0016021729
1560830350360	TYPE_ACCELEROMETER_UNCALIBRATED	0.588974	-0.34477234	10.512939
1560830350381	TYPE_ACCELEROMETER	0.5171509	-0.76374817	10.563217
1560830350381	TYPE_MAGNETIC_FIELD	-1.4399999	25.859999	-27.119999
1560830350381	TYPE_GYROSCOPE	0.18901062	-0.26654053	-0.1136322
1560830350381	TYPE_ROTATION_VECTOR	0.034002915	-0.015433826	-0.025359767
1560830350381	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.38	40.199997	-165.84
1560830350381	TYPE_GYROSCOPE_UNCALIBRATED	0.18855286	-0.26739502	-0.11186218
1560830350381	TYPE_ACCELEROMETER_UNCALIBRATED	0.5171509	-0.76374817	10.563217
1560830350401	TYPE_ACCELEROMETER	0.6751709	-1.1683655	11.549622
1560830350401	TYPE_MAGNETIC_FIELD	-1.56	25.98	-27.3
1560830350401	TYPE_GYROSCOPE	-0.0011444092	-0.22871399	-0.15144348
1560830350401	TYPE_ROTATION_VECTOR	0.035874747	-0.018138232	-0.026567308
1560830350401	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.26	40.32	-166.02
1560830350401	TYPE_GYROSCOPE_UNCALIBRATED	-0.0016021729	-0.22956848	-0.14967346
1560830350401	TYPE_ACCELEROMETER_UNCALIBRATED	0.6751709	-1.1683655	11.549622
1560830350421	TYPE_ACCELEROMETER	0.63446045	-1.6017151	12.344498
1560830350421	TYPE_MAGNETIC_FIELD	-1.4399999	25.92	-27.359999
1560830350421	TYPE_GYROSCOPE	-0.074645996	-0.13656616	-0.18873596
1560830350421	TYPE_ROTATION_VECTOR	0.035841156	-0.020400772	-0.02817978
1560830350421	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.38	40.260002	-166.08
1560830350421	TYPE_GYROSCOPE_UNCALIBRATED	-0.07510376	-0.13742065	-0.18696594
1560830350421	TYPE_ACCELEROMETER_UNCALIBRATED	0.63446045	-1.6017151	12.344498
1560830350442	TYPE_ACCELEROMETER	0.5171509	-1.980011	12.322952
1560830350442	TYPE_MAGNETIC_FIELD	-1.56	25.74	-27.66
1560830350442	TYPE_GYROSCOPE	-0.04801941	-0.10354614	-0.21110535
1560830350442	TYPE_ROTATION_VECTOR	0.035088334	-0.021697817	-0.030150736
1560830350442	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.26	40.08	-166.38
1560830350442	TYPE_GYROSCOPE_UNCALIBRATED	-0.048477173	-0.104400635	-0.20933533
1560830350442	TYPE_ACCELEROMETER_UNCALIBRATED	0.5171509	-1.980011	12.322952
1560830350462	TYPE_ACCELEROMETER	0.18196106	-1.8626862	11.513718
1560830350462	TYPE_MAGNETIC_FIELD	-1.74	25.68	-27.66
1560830350462	TYPE_GYROSCOPE	0.0020599365	-0.15042114	-0.22921753
1560830350462	TYPE_ROTATION_VECTOR	0.03461528	-0.022656629	-0.032331493
1560830350462	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.08	40.02	-166.38
1560830350462	TYPE_GYROSCOPE_UNCALIBRATED	0.0016021729	-0.15127563	-0.22744751
1560830350462	TYPE_ACCELEROMETER_UNCALIBRATED	0.18196106	-1.8626862	11.513718
1560830350482	TYPE_ACCELEROMETER	0.0047912598	-1.3814545	9.969452
1560830350482	TYPE_MAGNETIC_FIELD	-1.92	25.859999	-27.779999
1560830350482	TYPE_GYROSCOPE	0.117111206	-0.10354614	-0.20097351
1560830350482	TYPE_ROTATION_VECTOR	0.03463454	-0.02409351	-0.034699805
1560830350482	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.9	40.199997	-166.5
1560830350482	TYPE_GYROSCOPE_UNCALIBRATED	0.11665344	-0.104400635	-0.19920349
1560830350482	TYPE_ACCELEROMETER_UNCALIBRATED	0.0047912598	-1.3814545	9.969452
1560830350502	TYPE_ACCELEROMETER	0.22744751	-1.2425842	8.561661
1560830350502	TYPE_MAGNETIC_FIELD	-2.1	25.92	-27.9
1560830350502	TYPE_GYROSCOPE	0.19433594	0.03387451	-0.14079285
1560830350502	TYPE_ROTATION_VECTOR	0.035822164	-0.025118284	-0.036742717
1560830350502	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.719999	40.260002	-166.62
1560830350502	TYPE_GYROSCOPE_UNCALIBRATED	0.19387817	0.03302002	-0.13902283
1560830350502	TYPE_ACCELEROMETER_UNCALIBRATED	0.22744751	-1.2425842	8.561661
1560830350523	TYPE_ACCELEROMETER	0.18914795	-1.2162476	7.898468
1560830350523	TYPE_MAGNETIC_FIELD	-2.1599998	25.74	-28.08
1560830350523	TYPE_GYROSCOPE	0.089416504	0.030151367	-0.13279724
1560830350523	TYPE_ROTATION_VECTOR	0.037832044	-0.024805067	-0.03810774
1560830350523	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.66	40.08	-166.8
1560830350523	TYPE_GYROSCOPE_UNCALIBRATED	0.19387817	0.03302002	-0.13902283
1560830350523	TYPE_ACCELEROMETER_UNCALIBRATED	0.18914795	-1.2162476	7.898468
1560830350543	TYPE_ACCELEROMETER	0.0861969	-1.3383636	8.082825
1560830350543	TYPE_MAGNETIC_FIELD	-2.22	25.68	-28.32
1560830350543	TYPE_GYROSCOPE	-0.19129944	-0.16746521	-0.12640381
1560830350543	TYPE_ROTATION_VECTOR	0.03879234	-0.024480088	-0.039415296
1560830350543	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.599999	40.02	-167.04001
1560830350543	TYPE_GYROSCOPE_UNCALIBRATED	0.08895874	0.029296875	-0.13102722
1560830350543	TYPE_ACCELEROMETER_UNCALIBRATED	0.0861969	-1.3383636	8.082825
1560830350563	TYPE_ACCELEROMETER	0.36631775	-1.4029999	9.674973
1560830350563	TYPE_MAGNETIC_FIELD	-2.46	25.859999	-28.26
1560830350563	TYPE_GYROSCOPE	-0.48051453	-0.322464	-0.087524414
