#	startTime:1560830307652
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969db39e2fc0b4afe9bc0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560830307653	TYPE_WAYPOINT	81.19488	145.6431
1560830307771	TYPE_ACCELEROMETER	0.4462738	1.5804596	12.211777
1560830307771	TYPE_MAGNETIC_FIELD	15.059999	26.519999	-27.66
1560830307771	TYPE_GYROSCOPE	0.017730713	-0.10595703	7.019043E-4
1560830307771	TYPE_ROTATION_VECTOR	0.07191348	-0.013927493	0.23888238
1560830307771	TYPE_MAGNETIC_FIELD_UNCALIBRATED	70.08	0.11999893	-83.88
1560830307771	TYPE_GYROSCOPE_UNCALIBRATED	0.01953125	-0.10688782	-0.002456665
1560830307771	TYPE_ACCELEROMETER_UNCALIBRATED	0.68196106	1.4667969	10.8550415
1560830307790	TYPE_ACCELEROMETER	0.02154541	1.2466736	12.868607
1560830307790	TYPE_MAGNETIC_FIELD	14.88	26.519999	-27.48
1560830307790	TYPE_GYROSCOPE	-0.21592712	0.03378296	7.019043E-4
1560830307790	TYPE_ROTATION_VECTOR	0.06640186	-1.3928378E-5	0.22295946
1560830307790	TYPE_MAGNETIC_FIELD_UNCALIBRATED	69.9	0.11999893	-83.7
1560830307790	TYPE_GYROSCOPE_UNCALIBRATED	-0.05834961	-0.060317993	-0.002456665
1560830307790	TYPE_ACCELEROMETER_UNCALIBRATED	0.4462738	1.5804596	12.211777
1560830307809	TYPE_ACCELEROMETER	-0.7525482	1.0552368	13.622345
1560830307809	TYPE_MAGNETIC_FIELD	14.88	26.58	-27.18
1560830307809	TYPE_GYROSCOPE	-0.20767212	0.066604614	-0.03869629
1560830307809	TYPE_ROTATION_VECTOR	0.04818964	0.010964372	0.2344375
1560830307809	TYPE_MAGNETIC_FIELD_UNCALIBRATED	69.9	0.1800003	-83.399994
1560830307809	TYPE_GYROSCOPE_UNCALIBRATED	-0.26023865	0.07118225	-0.01864624
1560830307809	TYPE_ACCELEROMETER_UNCALIBRATED	0.02154541	1.2466736	12.868607
1560830307828	TYPE_ACCELEROMETER	-0.92723083	0.5742798	14.250458
1560830307828	TYPE_MAGNETIC_FIELD	14.759999	26.58	-27.119999
1560830307828	TYPE_GYROSCOPE	-0.17224121	0.11303711	-0.033493042
1560830307828	TYPE_ROTATION_VECTOR	0.031402897	0.034694117	0.21481177
1560830307828	TYPE_MAGNETIC_FIELD_UNCALIBRATED	69.78	0.1800003	-83.34
1560830307828	TYPE_GYROSCOPE_UNCALIBRATED	-0.1789856	0.086746216	-0.05039978
1560830307828	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7525482	1.0552368	13.622345
