#	startTime:1560830409174
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969db39e2fc0b4afe9bc0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560830409174	TYPE_WAYPOINT	64.68887	169.31412
1560830409288	TYPE_ACCELEROMETER	-0.5240326	0.7238312	11.062027
1560830409288	TYPE_MAGNETIC_FIELD	-20.16	-28.439999	-21.359999
1560830409288	TYPE_GYROSCOPE	-0.21972656	0.047836304	-0.1515503
1560830409288	TYPE_ROTATION_VECTOR	0.02914155	-0.029241212	-0.9414502
1560830409288	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.42	-54.0	-89.28
1560830409288	TYPE_GYROSCOPE_UNCALIBRATED	-0.13989258	-0.020141602	-0.26756287
1560830409288	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5240326	0.7238312	11.062027
1560830409307	TYPE_ACCELEROMETER	-0.30030823	0.8339081	11.64946
1560830409307	TYPE_MAGNETIC_FIELD	-20.22	-28.56	-21.18
1560830409307	TYPE_GYROSCOPE	-0.44041443	0.2348938	0.1931305
1560830409307	TYPE_ROTATION_VECTOR	0.032937158	-0.024907732	-0.94458777
1560830409307	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.36	-54.12	-89.1
1560830409307	TYPE_GYROSCOPE_UNCALIBRATED	-0.21792603	0.046905518	-0.15470886
1560830409307	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30030823	0.8339081	11.64946
1560830409326	TYPE_ACCELEROMETER	-0.40797424	0.7250366	12.558731
1560830409326	TYPE_MAGNETIC_FIELD	-20.22	-28.26	-20.88
1560830409326	TYPE_GYROSCOPE	-0.4184265	0.114868164	0.17388916
1560830409326	TYPE_ROTATION_VECTOR	0.02430281	-0.029525727	-0.9404116
1560830409326	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.36	-53.82	-88.799995
1560830409326	TYPE_GYROSCOPE_UNCALIBRATED	-0.4386139	0.23396301	0.18997192
1560830409326	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30030823	0.8339081	11.64946
1560830409345	TYPE_ACCELEROMETER	-0.3134613	0.30628967	13.982468
1560830409345	TYPE_MAGNETIC_FIELD	-20.22	-28.08	-20.76
1560830409345	TYPE_GYROSCOPE	-0.4324646	-0.0024261475	0.10974121
1560830409345	TYPE_ROTATION_VECTOR	0.024018513	-0.019943856	-0.94365203
1560830409345	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.36	-53.64	-88.68
1560830409345	TYPE_GYROSCOPE_UNCALIBRATED	-0.41662598	0.11393738	0.17073059
1560830409345	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3134613	0.30628967	13.982468
1560830409365	TYPE_ACCELEROMETER	-0.5132599	0.057434082	15.65863
1560830409365	TYPE_MAGNETIC_FIELD	-20.1	-28.019999	-20.699999
1560830409365	TYPE_GYROSCOPE	-0.39733887	-0.048843384	0.06790161
1560830409365	TYPE_ROTATION_VECTOR	0.0135542825	-0.007716201	-0.9527421
1560830409365	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.479996	-53.579998	-88.619995
1560830409365	TYPE_GYROSCOPE_UNCALIBRATED	-0.43066406	-0.0033569336	0.10658264
1560830409365	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5132599	0.057434082	15.65863
1560830409384	TYPE_ACCELEROMETER	-0.5168457	-0.027511597	16.21019
1560830409384	TYPE_MAGNETIC_FIELD	-19.859999	-27.779999	-20.699999
1560830409384	TYPE_GYROSCOPE	-0.15971375	0.029663086	0.10638428
1560830409384	TYPE_ROTATION_VECTOR	0.015215113	0.0018518658	-0.9534811
1560830409384	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.72	-53.339996	-88.619995
1560830409384	TYPE_GYROSCOPE_UNCALIBRATED	-0.39553833	-0.04977417	0.06474304
1560830409384	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5168457	-0.027511597	16.21019
1560830409403	TYPE_ACCELEROMETER	-0.62213135	-0.19621277	15.355942
1560830409403	TYPE_MAGNETIC_FIELD	-19.859999	-27.24	-20.699999
1560830409403	TYPE_GYROSCOPE	0.19885254	0.2177887	0.18487549
1560830409403	TYPE_ROTATION_VECTOR	0.014028647	0.0045297774	-0.95325035
1560830409403	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.72	-52.8	-88.619995
1560830409403	TYPE_GYROSCOPE_UNCALIBRATED	-0.15791321	0.0287323	0.10322571
1560830409403	TYPE_ACCELEROMETER_UNCALIBRATED	-0.62213135	-0.19621277	15.355942
1560830409422	TYPE_ACCELEROMETER	-0.2524414	-0.31227112	14.598618
1560830409422	TYPE_MAGNETIC_FIELD	-19.68	-27.06	-20.82
1560830409422	TYPE_GYROSCOPE	0.37234497	0.1524353	0.21665955
1560830409422	TYPE_ROTATION_VECTOR	0.01533935	0.0047486336	-0.9528132
1560830409422	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.899998	-52.62	-88.74
1560830409422	TYPE_GYROSCOPE_UNCALIBRATED	0.3741455	0.15150452	0.21350098
1560830409422	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2524414	-0.31227112	14.598618
1560830409442	TYPE_ACCELEROMETER	-0.38883972	-0.707077	14.042282
1560830409442	TYPE_MAGNETIC_FIELD	-19.68	-26.76	-20.76
1560830409442	TYPE_GYROSCOPE	0.40075684	-0.035095215	0.14701843
1560830409442	TYPE_ROTATION_VECTOR	0.018283881	0.0024162184	-0.9521656
1560830409442	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.899998	-52.32	-88.68
1560830409442	TYPE_GYROSCOPE_UNCALIBRATED	0.3741455	0.15150452	0.21350098
1560830409442	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2524414	-0.31227112	14.598618
1560830409461	TYPE_ACCELEROMETER	-0.48814392	-1.3136597	13.314865
1560830409461	TYPE_MAGNETIC_FIELD	-19.68	-26.22	-21.06
1560830409461	TYPE_GYROSCOPE	0.44595337	-0.10687256	0.110961914
1560830409461	TYPE_ROTATION_VECTOR	0.019910997	-9.440567E-4	-0.9516088
1560830409461	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.899998	-51.78	-88.979996
1560830409461	TYPE_GYROSCOPE_UNCALIBRATED	0.40255737	-0.036026	0.14385986
1560830409461	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38883972	-0.707077	14.042282
1560830409480	TYPE_ACCELEROMETER	-0.7154541	-1.8365021	12.602997
1560830409480	TYPE_MAGNETIC_FIELD	-19.68	-26.22	-21.06
1560830409480	TYPE_GYROSCOPE	0.48902893	-0.11634827	0.10821533
1560830409480	TYPE_ROTATION_VECTOR	0.019910997	-9.440567E-4	-0.9516088
1560830409480	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.899998	-51.78	-88.979996
1560830409480	TYPE_GYROSCOPE_UNCALIBRATED	0.4477539	-0.107803345	0.107803345
1560830409480	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7154541	-1.8365021	12.602997
1560830409499	TYPE_ACCELEROMETER	-1.0899353	-1.7563324	11.679367
1560830409499	TYPE_MAGNETIC_FIELD	-19.68	-26.22	-21.06
1560830409499	TYPE_GYROSCOPE	0.5885925	-0.14659119	0.08164978
1560830409499	TYPE_ROTATION_VECTOR	0.019910997	-9.440567E-4	-0.9516088
1560830409499	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.899998	-51.78	-88.979996
