#	startTime:1560830555882
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969db39e2fc0b4afe9bc0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560830555882	TYPE_WAYPOINT	85.505585	178.07544
1560830555994	TYPE_ACCELEROMETER	-0.89372253	-0.31944275	13.824539
1560830555994	TYPE_MAGNETIC_FIELD	28.199999	-19.56	-32.219997
1560830555994	TYPE_GYROSCOPE	0.092422485	-0.0728302	-0.06724548
1560830555994	TYPE_ROTATION_VECTOR	-0.035585362	1.0879032E-5	0.8874117
1560830555994	TYPE_MAGNETIC_FIELD_UNCALIBRATED	84.72	-46.68	-82.67999
1560830555994	TYPE_GYROSCOPE_UNCALIBRATED	-0.025039673	-0.009155273	-0.061706543
1560830555994	TYPE_ACCELEROMETER_UNCALIBRATED	-0.84706116	-0.30747986	13.5625305
1560830556013	TYPE_ACCELEROMETER	-0.84825134	-0.23570251	12.984665
1560830556013	TYPE_MAGNETIC_FIELD	28.439999	-19.26	-32.16
1560830556013	TYPE_GYROSCOPE	0.5311737	-0.26661682	-0.09121704
1560830556013	TYPE_ROTATION_VECTOR	-0.031950284	1.0879432E-8	0.8805782
1560830556013	TYPE_MAGNETIC_FIELD_UNCALIBRATED	84.96	-46.379997	-82.619995
1560830556013	TYPE_GYROSCOPE_UNCALIBRATED	0.09422302	-0.07376099	-0.07040405
1560830556013	TYPE_ACCELEROMETER_UNCALIBRATED	-0.82192993	-0.16749573	12.105301
1560830556032	TYPE_ACCELEROMETER	-0.71784973	-0.16870117	11.117065
1560830556032	TYPE_MAGNETIC_FIELD	28.38	-19.08	-32.04
1560830556032	TYPE_GYROSCOPE	0.7920227	-0.23608398	-0.06802368
1560830556032	TYPE_ROTATION_VECTOR	-0.033284534	0.010444571	0.8943146
1560830556032	TYPE_MAGNETIC_FIELD_UNCALIBRATED	84.9	-46.199997	-82.5
1560830556032	TYPE_GYROSCOPE_UNCALIBRATED	0.53297424	-0.2675476	-0.09437561
1560830556032	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5898285	-0.19143677	10.158737
1560830556051	TYPE_ACCELEROMETER	-0.5096741	-0.20100403	9.245865
1560830556051	TYPE_MAGNETIC_FIELD	28.68	-19.199999	-31.92
1560830556051	TYPE_GYROSCOPE	0.86408997	-0.24615479	-0.061904907
1560830556051	TYPE_ROTATION_VECTOR	-0.029973075	0.008730181	0.89318913
1560830556051	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.2	-46.32	-82.38
1560830556051	TYPE_GYROSCOPE_UNCALIBRATED	0.79382324	-0.23701477	-0.07118225
1560830556051	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50727844	-0.20817566	8.4717865
1560830556071	TYPE_ACCELEROMETER	-0.48695374	-0.16271973	7.8018036
1560830556071	TYPE_MAGNETIC_FIELD	28.859999	-19.199999	-32.04
1560830556071	TYPE_GYROSCOPE	0.782547	-0.28707886	-0.055496216
1560830556071	TYPE_ROTATION_VECTOR	-0.031676624	8.730306E-6	0.8941216
1560830556071	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.38	-46.32	-82.5
1560830556071	TYPE_GYROSCOPE_UNCALIBRATED	0.8658905	-0.24708557	-0.06506348
1560830556071	TYPE_ACCELEROMETER_UNCALIBRATED	-0.33261108	-0.09451294	7.1557465
1560830556090	TYPE_ACCELEROMETER	-0.15673828	-0.035888672	6.5814667
1560830556090	TYPE_MAGNETIC_FIELD	28.859999	-19.199999	-31.98
1560830556090	TYPE_GYROSCOPE	0.6338043	-0.27334595	-0.041137695
1560830556090	TYPE_ROTATION_VECTOR	-0.01980474	0.0028244813	0.8901696
1560830556090	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.38	-46.32	-82.44
1560830556090	TYPE_GYROSCOPE_UNCALIBRATED	0.78434753	-0.28800964	-0.058654785
1560830556090	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06939697	0.022735596	6.1447754
1560830556109	TYPE_ACCELEROMETER	-0.011962891	0.08494568	5.8085785
1560830556109	TYPE_MAGNETIC_FIELD	29.039999	-19.08	-31.92
1560830556109	TYPE_GYROSCOPE	0.4367981	-0.24983215	-0.07229614
