#	startTime:1560831152539
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969db39e2fc0b4afe9bc0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560831152540	TYPE_WAYPOINT	63.27911	144.0331
1560831152880	TYPE_ACCELEROMETER	-0.18185425	0.11126709	8.793625
1560831152880	TYPE_MAGNETIC_FIELD	35.399998	-8.22	-38.579998
1560831152880	TYPE_GYROSCOPE	-0.34144592	0.0345459	-0.063430786
1560831152880	TYPE_ROTATION_VECTOR	2.8429993E-6	0.006712063	0.77843577
1560831152880	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.92	-35.34	-89.03999
1560831152880	TYPE_GYROSCOPE_UNCALIBRATED	-0.5253601	-0.118499756	-0.12095642
1560831152880	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13877869	0.10169983	8.523239
1560831152899	TYPE_ACCELEROMETER	-0.0765686	0.23330688	8.289932
1560831152899	TYPE_MAGNETIC_FIELD	35.28	-7.56	-38.76
1560831152899	TYPE_GYROSCOPE	-0.23149109	0.14173889	-0.005706787
1560831152899	TYPE_ROTATION_VECTOR	-0.005554224	-0.0045468234	0.77830297
1560831152899	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.8	-34.68	-89.22
1560831152899	TYPE_GYROSCOPE_UNCALIBRATED	-0.3396454	0.033615112	-0.066589355
1560831152899	TYPE_ACCELEROMETER_UNCALIBRATED	-0.03590393	0.33140564	8.033905
1560831152918	TYPE_ACCELEROMETER	0.035888672	0.44625854	7.880768
1560831152918	TYPE_MAGNETIC_FIELD	35.46	-7.3199997	-38.76
1560831152918	TYPE_GYROSCOPE	-0.2629547	0.14356995	0.0016174316
1560831152918	TYPE_ROTATION_VECTOR	-0.00793713	-0.0059518088	0.7781228
1560831152918	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.979996	-34.44	-89.22
1560831152918	TYPE_GYROSCOPE_UNCALIBRATED	-0.22969055	0.1408081	-0.008865356
1560831152918	TYPE_ACCELEROMETER_UNCALIBRATED	0.09213257	0.59103394	8.037491
1560831152938	TYPE_ACCELEROMETER	0.06820679	0.67237854	8.275574
1560831152938	TYPE_MAGNETIC_FIELD	35.34	-7.02	-38.52
1560831152938	TYPE_GYROSCOPE	-0.3206787	0.09408569	-0.02708435
1560831152938	TYPE_ROTATION_VECTOR	-0.01044963	-0.006768678	0.77812105
1560831152938	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.86	-34.14	-88.979996
1560831152938	TYPE_GYROSCOPE_UNCALIBRATED	-0.26115417	0.14263916	-0.0015411377
1560831152938	TYPE_ACCELEROMETER_UNCALIBRATED	0.02154541	0.7142639	8.452652
1560831152957	TYPE_ACCELEROMETER	0.0382843	0.73220825	8.750549
1560831152957	TYPE_MAGNETIC_FIELD	35.16	-7.02	-38.64
1560831152957	TYPE_GYROSCOPE	-0.36863708	0.039123535	-0.033187866
1560831152957	TYPE_ROTATION_VECTOR	-0.013139897	-0.008218067	0.7780068
1560831152957	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.68	-34.14	-89.1
1560831152957	TYPE_GYROSCOPE_UNCALIBRATED	-0.31887817	0.09315491	-0.03024292
1560831152957	TYPE_ACCELEROMETER_UNCALIBRATED	0.08734131	0.722641	9.207581
1560831152976	TYPE_ACCELEROMETER	0.01675415	0.7142639	9.824936
1560831152976	TYPE_MAGNETIC_FIELD	35.1	-6.48	-38.52
1560831152976	TYPE_GYROSCOPE	-0.3417511	0.08432007	-0.021591187
1560831152976	TYPE_ROTATION_VECTOR	-0.015722103	-0.010445332	0.7777721
1560831152976	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.619995	-33.6	-88.979996
1560831152976	TYPE_GYROSCOPE_UNCALIBRATED	-0.36683655	0.03819275	-0.036346436
1560831152976	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07777405	0.69392395	10.557144
1560831152995	TYPE_ACCELEROMETER	-0.16630554	0.62213135	11.23909
1560831152995	TYPE_MAGNETIC_FIELD	35.16	-6.18	-38.52
