#	startTime:1560831199569
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969db39e2fc0b4afe9bc0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560831199569	TYPE_WAYPOINT	47.5968	137.92719
1560831199687	TYPE_ACCELEROMETER	-1.1030884	-0.4091797	12.325439
1560831199687	TYPE_MAGNETIC_FIELD	-6.06	-19.38	-31.08
1560831199687	TYPE_GYROSCOPE	-0.014633179	-0.011276245	0.012924194
1560831199687	TYPE_ROTATION_VECTOR	0.03782382	0.022787493	-0.98218995
1560831199687	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.46	-46.5	-81.54
1560831199687	TYPE_GYROSCOPE_UNCALIBRATED	-0.012832642	-0.012207031	0.009765625
1560831199687	TYPE_ACCELEROMETER_UNCALIBRATED	-0.874588	-0.28115845	12.251251
1560831199706	TYPE_ACCELEROMETER	-1.0779724	-0.31706238	11.699707
1560831199706	TYPE_MAGNETIC_FIELD	-6.0	-19.619999	-30.779999
1560831199706	TYPE_GYROSCOPE	0.28637695	-0.030975342	-0.08648682
1560831199706	TYPE_ROTATION_VECTOR	0.04203259	0.025907092	-0.9806156
1560831199706	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.52	-46.739998	-81.24
1560831199706	TYPE_GYROSCOPE_UNCALIBRATED	0.2881775	-0.031906128	-0.089645386
1560831199706	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1030884	-0.4091797	12.325439
1560831199725	TYPE_ACCELEROMETER	-0.933197	-0.110076904	10.6026
1560831199725	TYPE_MAGNETIC_FIELD	-6.0	-19.619999	-30.779999
1560831199725	TYPE_GYROSCOPE	0.48963928	-0.16215515	-0.11352539
1560831199725	TYPE_ROTATION_VECTOR	0.04203259	0.025907092	-0.9806156
1560831199725	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.52	-46.739998	-81.24
1560831199725	TYPE_GYROSCOPE_UNCALIBRATED	0.49143982	-0.16308594	-0.11668396
1560831199725	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0779724	-0.31706238	11.699707
1560831199744	TYPE_ACCELEROMETER	-0.69869995	0.056228638	9.298508
1560831199744	TYPE_MAGNETIC_FIELD	-6.0	-19.619999	-30.779999
1560831199744	TYPE_GYROSCOPE	0.6020355	-0.21072388	-0.09397888
1560831199744	TYPE_ROTATION_VECTOR	0.04203259	0.025907092	-0.9806156
1560831199744	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.52	-46.739998	-81.24
1560831199744	TYPE_GYROSCOPE_UNCALIBRATED	0.60383606	-0.21165466	-0.09713745
1560831199744	TYPE_ACCELEROMETER_UNCALIBRATED	-0.933197	-0.110076904	10.6026
1560831199764	TYPE_ACCELEROMETER	-0.57069397	0.20698547	7.984848
1560831199764	TYPE_MAGNETIC_FIELD	-5.52	-19.8	-30.42
1560831199764	TYPE_GYROSCOPE	0.64479065	-0.22019958	-0.07046509
1560831199764	TYPE_ROTATION_VECTOR	0.03620121	2.5927513E-6	-0.99063903
1560831199764	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.0	-46.92	-80.88
1560831199764	TYPE_GYROSCOPE_UNCALIBRATED	0.6465912	-0.22113037	-0.07362366
1560831199764	TYPE_ACCELEROMETER_UNCALIBRATED	-0.69869995	0.056228638	9.298508
1560831199783	TYPE_ACCELEROMETER	-0.31227112	0.3900299	6.7286224
1560831199783	TYPE_MAGNETIC_FIELD	-4.74	-20.1	-29.939999
1560831199783	TYPE_GYROSCOPE	0.58096313	-0.18965149	-0.043273926
1560831199783	TYPE_ROTATION_VECTOR	0.03424236	-0.0067143976	-0.9891235
1560831199783	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.78	-47.22	-80.399994
1560831199783	TYPE_GYROSCOPE_UNCALIBRATED	0.5827637	-0.19058228	-0.046432495
1560831199783	TYPE_ACCELEROMETER_UNCALIBRATED	-0.57069397	0.20698547	7.984848
1560831199802	TYPE_ACCELEROMETER	-0.15075684	0.45344543	6.0215454
1560831199802	TYPE_MAGNETIC_FIELD	-4.2599998	-20.279999	-29.76
1560831199802	TYPE_GYROSCOPE	0.39801025	-0.16796875	-0.04663086
1560831199802	TYPE_ROTATION_VECTOR	0.033243094	-0.012461069	-0.98919034
1560831199802	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.260002	-47.399998	-80.22
1560831199802	TYPE_GYROSCOPE_UNCALIBRATED	0.3998108	-0.16889954	-0.04978943
1560831199802	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31227112	0.3900299	6.7286224
1560831199821	TYPE_ACCELEROMETER	-0.21655273	0.43669128	5.551346
1560831199821	TYPE_MAGNETIC_FIELD	-3.72	-20.52	-29.519999
1560831199821	TYPE_GYROSCOPE	0.15335083	-0.17773438	-0.081451416
1560831199821	TYPE_ROTATION_VECTOR	0.032202285	-0.016450433	-0.98925096
1560831199821	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.8	-47.64	-79.979996
1560831199821	TYPE_GYROSCOPE_UNCALIBRATED	0.15515137	-0.17866516	-0.084609985
1560831199821	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15075684	0.45344543	6.0215454
1560831199841	TYPE_ACCELEROMETER	-0.6006012	0.36132812	5.21994
1560831199841	TYPE_MAGNETIC_FIELD	-3.9599998	-20.76	-29.279999
1560831199841	TYPE_GYROSCOPE	-0.077560425	-0.15361023	-0.08969116
1560831199841	TYPE_ROTATION_VECTOR	0.03074402	-0.018129574	-0.98938864
1560831199841	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.56	-47.879997	-79.74
1560831199841	TYPE_GYROSCOPE_UNCALIBRATED	-0.07575989	-0.15454102	-0.09284973
1560831199841	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21655273	0.43669128	5.551346
1560831199860	TYPE_ACCELEROMETER	-0.46899414	0.16390991	4.926819
1560831199860	TYPE_MAGNETIC_FIELD	-3.72	-20.58	-29.039999
1560831199860	TYPE_GYROSCOPE	-0.27668762	-0.08427429	-0.04815674
1560831199860	TYPE_ROTATION_VECTOR	0.0292017	-0.017588338	-0.98956627
1560831199860	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.8	-47.699997	-79.5
1560831199860	TYPE_GYROSCOPE_UNCALIBRATED	-0.27488708	-0.08520508	-0.051315308
1560831199860	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6006012	0.36132812	5.21994
1560831199879	TYPE_ACCELEROMETER	-0.38285828	0.08016968	5.149353
1560831199879	TYPE_MAGNETIC_FIELD	-3.6599998	-20.82	-28.98
1560831199879	TYPE_GYROSCOPE	-0.47462463	-0.023498535	-0.001739502
1560831199879	TYPE_ROTATION_VECTOR	0.028032828	-0.015063749	-0.98969805
1560831199879	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.86	-47.94	-79.44
1560831199879	TYPE_GYROSCOPE_UNCALIBRATED	-0.4728241	-0.024429321	-0.0048980713
1560831199879	TYPE_ACCELEROMETER_UNCALIBRATED	-0.46899414	0.16390991	4.926819
1560831199898	TYPE_ACCELEROMETER	0.1375885	0.027526855	4.64328
1560831199898	TYPE_MAGNETIC_FIELD	-3.9599998	-20.699999	-28.98
1560831199898	TYPE_GYROSCOPE	-0.5793762	-0.022262573	0.03552246
1560831199898	TYPE_ROTATION_VECTOR	0.027175503	-0.010612656	-0.9897652
1560831199898	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.56	-47.82	-79.44
1560831199898	TYPE_GYROSCOPE_UNCALIBRATED	-0.5775757	-0.02319336	0.03236389
1560831199898	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38285828	0.08016968	5.149353
1560831199918	TYPE_ACCELEROMETER	0.27996826	0.122039795	5.276169
1560831199918	TYPE_MAGNETIC_FIELD	-4.2	-20.46	-29.039999
1560831199918	TYPE_GYROSCOPE	-0.6981964	0.04522705	0.02116394
1560831199918	TYPE_ROTATION_VECTOR	0.026187928	-0.0051724105	-0.98976725
1560831199918	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.32	-47.579998	-79.5
1560831199918	TYPE_GYROSCOPE_UNCALIBRATED	-0.6963959	0.044296265	0.018005371
1560831199918	TYPE_ACCELEROMETER_UNCALIBRATED	0.1375885	0.027526855	4.64328
1560831199937	TYPE_ACCELEROMETER	0.08734131	0.51446533	5.0237274
1560831199937	TYPE_MAGNETIC_FIELD	-4.5	-20.16	-29.16
1560831199937	TYPE_GYROSCOPE	-0.77485657	0.06843567	-0.011199951
1560831199937	TYPE_ROTATION_VECTOR	0.025671212	0.0015268339	-0.98973966
1560831199937	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.02	-47.28	-79.619995
1560831199937	TYPE_GYROSCOPE_UNCALIBRATED	-0.77305603	0.06750488	-0.0143585205
1560831199937	TYPE_ACCELEROMETER_UNCALIBRATED	0.27996826	0.122039795	5.276169
1560831199956	TYPE_ACCELEROMETER	-0.061019897	0.17349243	5.9198456
1560831199956	TYPE_MAGNETIC_FIELD	-4.3199997	-18.9	-31.56
1560831199956	TYPE_GYROSCOPE	-0.9828644	0.06538391	-0.02923584
1560831199956	TYPE_ROTATION_VECTOR	0.022250839	0.011170174	-0.9921001
1560831199956	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.2	-46.019997	-82.02
1560831199956	TYPE_GYROSCOPE_UNCALIBRATED	-0.98106384	0.064453125	-0.03239441
1560831199956	TYPE_ACCELEROMETER_UNCALIBRATED	0.08734131	0.51446533	5.0237274
1560831199975	TYPE_ACCELEROMETER	-0.83628845	-1.0791626	11.851654
1560831199975	TYPE_MAGNETIC_FIELD	-4.3199997	-18.9	-31.56
1560831199975	TYPE_GYROSCOPE	-1.565033	0.25720215	-0.019454956
1560831199975	TYPE_ROTATION_VECTOR	0.022250839	0.011170174	-0.9921001
1560831199975	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.2	-46.019997	-82.02
1560831199975	TYPE_GYROSCOPE_UNCALIBRATED	-0.98106384	0.064453125	-0.03239441
1560831199975	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5132599	-0.2715912	3.899109
1560831199995	TYPE_ACCELEROMETER	-1.0779724	-1.1425781	17.161331
1560831199995	TYPE_MAGNETIC_FIELD	-4.3199997	-18.9	-31.56
1560831199995	TYPE_GYROSCOPE	-1.6578827	0.41448975	-0.016708374
1560831199995	TYPE_ROTATION_VECTOR	0.022250839	0.011170174	-0.9921001
1560831199995	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.2	-46.019997	-82.02
1560831199995	TYPE_GYROSCOPE_UNCALIBRATED	-0.98106384	0.064453125	-0.03239441
1560831199995	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5132599	-0.2715912	3.899109
1560831200014	TYPE_ACCELEROMETER	-0.45463562	-0.9643097	18.177078
1560831200014	TYPE_MAGNETIC_FIELD	-4.3199997	-18.9	-31.56
1560831200014	TYPE_GYROSCOPE	-1.1029053	0.43525696	0.003768921
1560831200014	TYPE_ROTATION_VECTOR	0.022250839	0.011170174	-0.9921001
1560831200014	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.2	-46.019997	-82.02
1560831200014	TYPE_GYROSCOPE_UNCALIBRATED	-0.98106384	0.064453125	-0.03239441
1560831200014	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5132599	-0.2715912	3.899109
1560831200033	TYPE_ACCELEROMETER	-0.15075684	-1.3986053	18.35057
1560831200033	TYPE_MAGNETIC_FIELD	-4.3199997	-18.9	-31.56
1560831200033	TYPE_GYROSCOPE	-0.60595703	0.45358276	-0.023422241
1560831200033	TYPE_ROTATION_VECTOR	0.022250839	0.011170174	-0.9921001
1560831200033	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.2	-46.019997	-82.02
1560831200033	TYPE_GYROSCOPE_UNCALIBRATED	-0.98106384	0.064453125	-0.03239441
1560831200033	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5132599	-0.2715912	3.899109
1560831200052	TYPE_ACCELEROMETER	-0.6640167	-1.9489594	19.446472
1560831200052	TYPE_MAGNETIC_FIELD	-4.3199997	-18.9	-31.56
1560831200052	TYPE_GYROSCOPE	-0.4764557	0.21046448	-0.14163208
1560831200052	TYPE_ROTATION_VECTOR	0.022250839	0.011170174	-0.9921001
1560831200052	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.2	-46.019997	-82.02
1560831200052	TYPE_GYROSCOPE_UNCALIBRATED	-0.98106384	0.064453125	-0.03239441
1560831200052	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5132599	-0.2715912	3.899109
1560831200072	TYPE_ACCELEROMETER	-1.3675079	-1.9405823	19.730026
1560831200072	TYPE_MAGNETIC_FIELD	-4.3199997	-18.9	-31.56
1560831200072	TYPE_GYROSCOPE	-0.24615479	-0.26020813	-0.2802887
1560831200072	TYPE_ROTATION_VECTOR	0.022250839	0.011170174	-0.9921001
1560831200072	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.2	-46.019997	-82.02
1560831200072	TYPE_GYROSCOPE_UNCALIBRATED	-0.98106384	0.064453125	-0.03239441
1560831200072	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5132599	-0.2715912	3.899109
1560831200091	TYPE_ACCELEROMETER	-1.0935211	-1.3292236	16.851456
1560831200091	TYPE_MAGNETIC_FIELD	-4.3199997	-18.9	-31.56
1560831200091	TYPE_GYROSCOPE	0.3802948	-0.47676086	-0.29464722
1560831200091	TYPE_ROTATION_VECTOR	0.022250839	0.011170174	-0.9921001
1560831200091	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.2	-46.019997	-82.02
1560831200091	TYPE_GYROSCOPE_UNCALIBRATED	-0.98106384	0.064453125	-0.03239441
1560831200091	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5132599	-0.2715912	3.899109
1560831200110	TYPE_ACCELEROMETER	-0.599411	-0.604187	12.332611
1560831200110	TYPE_MAGNETIC_FIELD	-4.3199997	-18.9	-31.56
1560831200110	TYPE_GYROSCOPE	1.0409546	-0.33259583	-0.23478699
1560831200110	TYPE_ROTATION_VECTOR	0.022250839	0.011170174	-0.9921001
1560831200110	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.2	-46.019997	-82.02
1560831200110	TYPE_GYROSCOPE_UNCALIBRATED	-0.98106384	0.064453125	-0.03239441
1560831200110	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5132599	-0.2715912	3.899109
1560831200129	TYPE_ACCELEROMETER	0.39840698	-0.21534729	8.411972
1560831200129	TYPE_MAGNETIC_FIELD	-4.3199997	-18.9	-31.56
1560831200129	TYPE_GYROSCOPE	1.3451691	-0.24615479	-0.18774414
1560831200129	TYPE_ROTATION_VECTOR	0.022250839	0.011170174	-0.9921001
1560831200129	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.2	-46.019997	-82.02
1560831200129	TYPE_GYROSCOPE_UNCALIBRATED	-0.98106384	0.064453125	-0.03239441
