#	startTime:1560830841467
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b90e2acfd2d33b5e3bc	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560830841467	TYPE_WAYPOINT	91.68752	40.445618
1560830841636	TYPE_ACCELEROMETER	-0.6033325	-1.1468201	12.734756
1560830841636	TYPE_MAGNETIC_FIELD	20.58	-6.54	-38.28
1560830841636	TYPE_GYROSCOPE	-0.1918335	-0.06732178	-0.39431763
1560830841636	TYPE_ROTATION_VECTOR	-0.016029228	-0.05824401	0.8497148
1560830841636	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.4	7.8	-177.0
1560830841636	TYPE_GYROSCOPE_UNCALIBRATED	-0.2306366	0.18589783	-0.3840332
1560830841636	TYPE_ACCELEROMETER_UNCALIBRATED	0.37109375	-1.335968	11.279083
1560830841656	TYPE_ACCELEROMETER	0.25138855	-0.6967163	11.487381
1560830841656	TYPE_MAGNETIC_FIELD	20.58	-6.8399997	-38.7
1560830841656	TYPE_GYROSCOPE	0.20605469	-0.1749115	-0.3282776
1560830841656	TYPE_ROTATION_VECTOR	-0.041429903	-0.026869126	0.87995493
1560830841656	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.4	7.5000005	-177.42
1560830841656	TYPE_GYROSCOPE_UNCALIBRATED	-0.19229126	-0.06817627	-0.3925476
1560830841656	TYPE_ACCELEROMETER_UNCALIBRATED	0.25138855	-0.6967163	11.487381
1560830841677	TYPE_ACCELEROMETER	1.2737122	-0.4740448	8.817841
1560830841677	TYPE_MAGNETIC_FIELD	20.58	-7.02	-38.82
1560830841677	TYPE_GYROSCOPE	0.46757507	-0.05508423	-0.3570404
1560830841677	TYPE_ROTATION_VECTOR	-0.005372345	-0.030722968	0.8455176
1560830841677	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.4	7.32	-177.54001
1560830841677	TYPE_GYROSCOPE_UNCALIBRATED	0.20559692	-0.17576599	-0.32650757
1560830841677	TYPE_ACCELEROMETER_UNCALIBRATED	1.2737122	-0.4740448	8.817841
1560830841697	TYPE_ACCELEROMETER	0.7685394	-0.16520691	7.005432
1560830841697	TYPE_MAGNETIC_FIELD	20.58	-7.3199997	-38.82
1560830841697	TYPE_GYROSCOPE	0.36637878	-0.009262085	-0.36236572
1560830841697	TYPE_ROTATION_VECTOR	0.04518684	-0.061648723	0.82946295
1560830841697	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.4	7.0200005	-177.54001
1560830841697	TYPE_GYROSCOPE_UNCALIBRATED	0.4671173	-0.05593872	-0.3552704
1560830841697	TYPE_ACCELEROMETER_UNCALIBRATED	1.2737122	-0.4740448	8.817841
1560830841717	TYPE_ACCELEROMETER	0.24420166	-0.011978149	7.378937
1560830841717	TYPE_MAGNETIC_FIELD	20.4	-7.44	-38.82
1560830841717	TYPE_GYROSCOPE	-0.084243774	-0.010864258	-0.28086853
1560830841717	TYPE_ROTATION_VECTOR	0.037094843	-0.039416917	0.81983703
1560830841717	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.22	6.9	-177.54001
1560830841717	TYPE_GYROSCOPE_UNCALIBRATED	0.36592102	-0.010116577	-0.3605957
