#	startTime:1560831386756
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b90e2acfd2d33b5e3bc	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560831386757	TYPE_WAYPOINT	82.45697	54.88929
1560831386931	TYPE_ACCELEROMETER	-0.8882446	0.4980011	9.378082
1560831386931	TYPE_MAGNETIC_FIELD	21.06	15.059999	-26.699999
1560831386931	TYPE_GYROSCOPE	-0.28877258	0.2245636	0.16494751
1560831386931	TYPE_ROTATION_VECTOR	0.010528486	0.042902626	0.44521704
1560831386931	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.879997	29.4	-165.42
1560831386931	TYPE_GYROSCOPE_UNCALIBRATED	-0.19815063	0.24928284	0.15446472
1560831386931	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8882446	0.4980011	9.378082
1560831386951	TYPE_ACCELEROMETER	-1.0582428	0.52911377	9.821014
1560831386951	TYPE_MAGNETIC_FIELD	21.18	15.12	-26.88
1560831386951	TYPE_GYROSCOPE	-0.30421448	0.06956482	0.18412781
1560831386951	TYPE_ROTATION_VECTOR	0.008531636	0.05342731	0.40301788
1560831386951	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.0	29.46	-165.6
1560831386951	TYPE_GYROSCOPE_UNCALIBRATED	-0.28923035	0.2237091	0.16671753
1560831386951	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8882446	0.4980011	9.378082
1560831386972	TYPE_ACCELEROMETER	-0.46447754	0.5793915	9.751587
1560831386972	TYPE_MAGNETIC_FIELD	21.3	15.12	-27.06
1560831386972	TYPE_GYROSCOPE	-0.3095398	-0.09075928	0.19850159
1560831386972	TYPE_ROTATION_VECTOR	8.53235E-6	0.05906382	0.40849558
1560831386972	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.12	29.46	-165.78
1560831386972	TYPE_GYROSCOPE_UNCALIBRATED	-0.30467224	0.06871033	0.18589783
1560831386972	TYPE_ACCELEROMETER_UNCALIBRATED	-0.46447754	0.5793915	9.751587
1560831386992	TYPE_ACCELEROMETER	0.19631958	0.5698242	9.871292
1560831386992	TYPE_MAGNETIC_FIELD	21.359999	14.94	-27.06
1560831386992	TYPE_GYROSCOPE	-0.32551575	-0.105667114	0.16227722
1560831386992	TYPE_ROTATION_VECTOR	0.016951192	0.034266323	0.4373017
1560831386992	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.18	29.279999	-165.78
1560831386992	TYPE_GYROSCOPE_UNCALIBRATED	-0.30999756	-0.09161377	0.2002716
1560831386992	TYPE_ACCELEROMETER_UNCALIBRATED	-0.46447754	0.5793915	9.751587
1560831387012	TYPE_ACCELEROMETER	0.33758545	0.6871338	10.086777
1560831387012	TYPE_MAGNETIC_FIELD	21.48	14.94	-27.18
1560831387012	TYPE_GYROSCOPE	-0.30314636	-0.06466675	0.125
1560831387012	TYPE_ROTATION_VECTOR	0.030688379	0.005522205	0.44277444
1560831387012	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.3	29.279999	-165.9
1560831387012	TYPE_GYROSCOPE_UNCALIBRATED	-0.3259735	-0.10652161	0.16404724
1560831387012	TYPE_ACCELEROMETER_UNCALIBRATED	0.33758545	0.6871338	10.086777
1560831387033	TYPE_ACCELEROMETER	0.44532776	0.8523407	9.907211
1560831387033	TYPE_MAGNETIC_FIELD	21.48	15.059999	-27.18
1560831387033	TYPE_GYROSCOPE	-0.2594757	0.023757935	0.093566895
1560831387033	TYPE_ROTATION_VECTOR	0.038238823	3.922773E-4	0.42949927
1560831387033	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.3	29.4	-165.9
1560831387033	TYPE_GYROSCOPE_UNCALIBRATED	-0.30360413	-0.06552124	0.12677002
1560831387033	TYPE_ACCELEROMETER_UNCALIBRATED	0.44532776	0.8523407	9.907211
1560831387053	TYPE_ACCELEROMETER	0.23223877	1.0390778	9.402023
1560831387053	TYPE_MAGNETIC_FIELD	21.48	15.059999	-27.119999
1560831387053	TYPE_GYROSCOPE	-0.22058105	0.06211853	0.05947876
1560831387053	TYPE_ROTATION_VECTOR	0.03576625	-0.0024264278	0.42966685
1560831387053	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.3	29.4	-165.84
1560831387053	TYPE_GYROSCOPE_UNCALIBRATED	-0.25993347	0.022903442	0.095336914
1560831387053	TYPE_ACCELEROMETER_UNCALIBRATED	0.23223877	1.0390778	9.402023
1560831387073	TYPE_ACCELEROMETER	-0.04788208	1.1252747	9.03093
1560831387073	TYPE_MAGNETIC_FIELD	21.6	15.24	-27.18
1560831387073	TYPE_GYROSCOPE	-0.2157898	0.032287598	0.03338623
1560831387073	TYPE_ROTATION_VECTOR	0.03327464	-0.0043835784	0.43077514
1560831387073	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.42	29.58	-165.9
1560831387073	TYPE_GYROSCOPE_UNCALIBRATED	-0.22103882	0.061264038	0.06124878
1560831387073	TYPE_ACCELEROMETER_UNCALIBRATED	0.23223877	1.0390778	9.402023
1560831387093	TYPE_ACCELEROMETER	-0.3543396	1.1994934	8.717285
1560831387093	TYPE_MAGNETIC_FIELD	21.48	15.66	-26.699999
1560831387093	TYPE_GYROSCOPE	-0.23071289	-0.05027771	0.055221558
1560831387093	TYPE_ROTATION_VECTOR	0.027419694	-0.0060076644	0.4323458
1560831387093	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.3	30.0	-165.42
1560831387093	TYPE_GYROSCOPE_UNCALIBRATED	-0.21624756	0.031433105	0.03515625
1560831387093	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3543396	1.1994934	8.717285
1560831387114	TYPE_ACCELEROMETER	-0.30166626	1.1947021	8.712494
1560831387114	TYPE_MAGNETIC_FIELD	21.3	15.719999	-26.519999
1560831387114	TYPE_GYROSCOPE	-0.25733948	-0.07797241	0.09890747
