#	startTime:1560831576303
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b90e2acfd2d33b5e3bc	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560831576303	TYPE_WAYPOINT	85.177666	32.378212
1560831576474	TYPE_ACCELEROMETER	-0.69192505	1.3982086	9.433151
1560831576474	TYPE_MAGNETIC_FIELD	29.46	-14.34	-25.859999
1560831576474	TYPE_GYROSCOPE	-0.08476257	-0.04975891	0.06694031
1560831576474	TYPE_ROTATION_VECTOR	0.026209448	0.08441124	0.8119685
1560831576474	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.28	0.0	-164.58
1560831576474	TYPE_GYROSCOPE_UNCALIBRATED	-0.0016021729	-0.23382568	0.055404663
1560831576474	TYPE_ACCELEROMETER_UNCALIBRATED	-0.69192505	1.3982086	9.433151
1560831576495	TYPE_ACCELEROMETER	-0.90501404	1.3886414	9.792282
1560831576495	TYPE_MAGNETIC_FIELD	29.64	-14.34	-25.8
1560831576495	TYPE_GYROSCOPE	-0.10021973	0.04347229	0.09837341
1560831576495	TYPE_ROTATION_VECTOR	0.012283417	0.08022209	0.81634676
1560831576495	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.46	0.0	-164.52
1560831576495	TYPE_GYROSCOPE_UNCALIBRATED	-0.08522034	-0.050613403	0.06871033
1560831576495	TYPE_ACCELEROMETER_UNCALIBRATED	-0.69192505	1.3982086	9.433151
1560831576515	TYPE_ACCELEROMETER	-0.8714905	1.5370789	9.521744
1560831576515	TYPE_MAGNETIC_FIELD	29.58	-14.5199995	-25.8
1560831576515	TYPE_GYROSCOPE	-0.072525024	-0.039627075	0.1207428
1560831576515	TYPE_ROTATION_VECTOR	1.2285653E-5	0.08282432	0.8344673
1560831576515	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.4	-0.17999935	-164.52
1560831576515	TYPE_GYROSCOPE_UNCALIBRATED	-0.10067749	0.042617798	0.10014343
1560831576515	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8714905	1.5370789	9.521744
1560831576535	TYPE_ACCELEROMETER	-0.70150757	1.7788849	9.287109
1560831576535	TYPE_MAGNETIC_FIELD	29.699999	-14.5199995	-25.8
1560831576535	TYPE_GYROSCOPE	-0.072509766	-0.18130493	0.11701965
1560831576535	TYPE_ROTATION_VECTOR	0.009234811	0.09060066	0.8145607
1560831576535	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.519997	-0.17999935	-164.52
1560831576535	TYPE_GYROSCOPE_UNCALIBRATED	-0.07298279	-0.040481567	0.12251282
1560831576535	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8714905	1.5370789	9.521744
