#	startTime:1560832093240
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b90e2acfd2d33b5e3bc	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560832093240	TYPE_WAYPOINT	62.748165	47.122646
1560832093425	TYPE_ACCELEROMETER	0.03591919	1.8100128	9.404419
1560832093425	TYPE_MAGNETIC_FIELD	-7.02	-32.399998	-24.539999
1560832093425	TYPE_GYROSCOPE	-0.07836914	-0.05241394	0.12767029
1560832093425	TYPE_ROTATION_VECTOR	-0.003906342	-0.08258406	-0.9901362
1560832093425	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.179998	-16.379997	-160.37999
1560832093425	TYPE_GYROSCOPE_UNCALIBRATED	-0.19281006	0.03036499	0.15553284
1560832093425	TYPE_ACCELEROMETER_UNCALIBRATED	0.03591919	1.8100128	9.404419
1560832093445	TYPE_ACCELEROMETER	-0.0095825195	2.0661926	9.01178
1560832093445	TYPE_MAGNETIC_FIELD	-7.14	-32.399998	-24.6
1560832093445	TYPE_GYROSCOPE	-0.04801941	-0.15679932	0.12606812
1560832093445	TYPE_ROTATION_VECTOR	0.011564516	-0.0929673	-0.9857463
1560832093445	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.059999	-16.379997	-160.44
1560832093445	TYPE_GYROSCOPE_UNCALIBRATED	-0.078826904	-0.053268433	0.12944031
1560832093445	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0095825195	2.0661926	9.01178
1560832093466	TYPE_ACCELEROMETER	0.05267334	2.3223724	9.294296
1560832093466	TYPE_MAGNETIC_FIELD	-7.44	-32.64	-24.6
1560832093466	TYPE_GYROSCOPE	-0.089035034	-0.2260437	0.1329956
1560832093466	TYPE_ROTATION_VECTOR	0.017360412	-0.11016896	-0.981236
1560832093466	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.759998	-16.619999	-160.44
1560832093466	TYPE_GYROSCOPE_UNCALIBRATED	-0.048477173	-0.15765381	0.12783813
1560832093466	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0095825195	2.0661926	9.01178
1560832093486	TYPE_ACCELEROMETER	0.4237671	2.427719	9.552872
1560832093486	TYPE_MAGNETIC_FIELD	-7.7999997	-32.76	-24.779999
1560832093486	TYPE_GYROSCOPE	-0.10340881	-0.27824402	0.15002441
1560832093486	TYPE_ROTATION_VECTOR	0.018940603	-0.12050676	-0.97732484
1560832093486	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.4	-16.739998	-160.62
1560832093486	TYPE_GYROSCOPE_UNCALIBRATED	-0.10386658	-0.2790985	0.15179443
1560832093486	TYPE_ACCELEROMETER_UNCALIBRATED	0.4237671	2.427719	9.552872
1560832093506	TYPE_ACCELEROMETER	0.7302246	2.3415222	9.931152
1560832093506	TYPE_MAGNETIC_FIELD	-8.34	-33.0	-25.08
1560832093506	TYPE_GYROSCOPE	-0.10713196	-0.24575806	0.14578247
1560832093506	TYPE_ROTATION_VECTOR	-0.0015157139	-0.12563214	-0.9796361
1560832093506	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.8599987	-16.98	-160.92
1560832093506	TYPE_GYROSCOPE_UNCALIBRATED	-0.10386658	-0.2790985	0.15179443
1560832093506	TYPE_ACCELEROMETER_UNCALIBRATED	0.7302246	2.3415222	9.931152
1560832093527	TYPE_ACCELEROMETER	0.44293213	2.2625275	10.47702
1560832093527	TYPE_MAGNETIC_FIELD	-8.639999	-32.94	-25.14
1560832093527	TYPE_GYROSCOPE	-0.1023407	-0.17332458	0.11274719
1560832093527	TYPE_ROTATION_VECTOR	-0.004329325	-0.12496322	-0.97953457
1560832093527	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.5599995	-16.919998	-160.98
1560832093527	TYPE_GYROSCOPE_UNCALIBRATED	-0.10758972	-0.24661255	0.14755249
1560832093527	TYPE_ACCELEROMETER_UNCALIBRATED	0.44293213	2.2625275	10.47702
1560832093547	TYPE_ACCELEROMETER	0.25138855	2.1595764	10.453079
1560832093547	TYPE_MAGNETIC_FIELD	-9.12	-32.7	-25.38
1560832093547	TYPE_GYROSCOPE	-0.03630066	-0.13977051	0.09463501
1560832093547	TYPE_ROTATION_VECTOR	-0.006359613	-0.12421885	-0.9794736
1560832093547	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.079999	-16.68	-161.22
1560832093547	TYPE_GYROSCOPE_UNCALIBRATED	-0.10279846	-0.17417908	0.11451721
1560832093547	TYPE_ACCELEROMETER_UNCALIBRATED	0.44293213	2.2625275	10.47702
1560832093567	TYPE_ACCELEROMETER	0.06463623	2.0111237	10.22084
1560832093567	TYPE_MAGNETIC_FIELD	-9.54	-32.7	-25.26
1560832093567	TYPE_GYROSCOPE	0.019638062	-0.11898804	0.058425903
1560832093567	TYPE_ROTATION_VECTOR	-0.007920751	-0.12407299	-0.9793575
1560832093567	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.659999	-16.68	-161.09999
1560832093567	TYPE_GYROSCOPE_UNCALIBRATED	-0.036758423	-0.140625	0.09640503
1560832093567	TYPE_ACCELEROMETER_UNCALIBRATED	0.06463623	2.0111237	10.22084
1560832093587	TYPE_ACCELEROMETER	-0.08380127	1.9297333	10.326187
1560832093587	TYPE_MAGNETIC_FIELD	-9.78	-32.46	-25.14
1560832093587	TYPE_GYROSCOPE	0.0068511963	-0.14135742	0.019012451
1560832093587	TYPE_ROTATION_VECTOR	-0.009143578	-0.12445221	-0.97922796
1560832093587	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.419999	-16.439999	-160.98
1560832093587	TYPE_GYROSCOPE_UNCALIBRATED	0.019180298	-0.11984253	0.060195923
1560832093587	TYPE_ACCELEROMETER_UNCALIBRATED	-0.08380127	1.9297333	10.326187
1560832093608	TYPE_ACCELEROMETER	-0.07901001	1.95607	10.702087
1560832093608	TYPE_MAGNETIC_FIELD	-10.0199995	-32.64	-25.199999
1560832093608	TYPE_GYROSCOPE	-0.03363037	-0.21485901	-0.01083374
1560832093608	TYPE_ROTATION_VECTOR	-0.009796999	-0.124638826	-0.9791882
1560832093608	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.1799994	-16.619999	-161.04
1560832093608	TYPE_GYROSCOPE_UNCALIBRATED	0.0063934326	-0.14221191	0.02078247
1560832093608	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07901001	1.95607	10.702087
1560832093628	TYPE_ACCELEROMETER	0.28251648	1.7190399	11.089935
1560832093628	TYPE_MAGNETIC_FIELD	-10.32	-32.52	-25.38
1560832093628	TYPE_GYROSCOPE	-0.049606323	-0.32032776	-0.016159058
1560832093628	TYPE_ROTATION_VECTOR	-0.011493808	-0.12478063	-0.9791833
1560832093628	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.879999	-16.5	-161.22
1560832093628	TYPE_GYROSCOPE_UNCALIBRATED	-0.034088135	-0.2157135	-0.009063721
1560832093628	TYPE_ACCELEROMETER_UNCALIBRATED	0.28251648	1.7190399	11.089935
1560832093648	TYPE_ACCELEROMETER	0.7541809	1.335968	11.405975
1560832093648	TYPE_MAGNETIC_FIELD	-10.5	-32.399998	-25.199999
1560832093648	TYPE_GYROSCOPE	-0.037902832	-0.33737183	-0.026275635
1560832093648	TYPE_ROTATION_VECTOR	-0.0142705785	-0.12476118	-0.97923356
1560832093648	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.699999	-16.379997	-161.04
1560832093648	TYPE_GYROSCOPE_UNCALIBRATED	-0.050064087	-0.32118225	-0.014389038
1560832093648	TYPE_ACCELEROMETER_UNCALIBRATED	0.7541809	1.335968	11.405975
1560832093669	TYPE_ACCELEROMETER	1.0726013	0.96006775	11.513718
1560832093669	TYPE_MAGNETIC_FIELD	-10.74	-32.34	-24.96
1560832093669	TYPE_GYROSCOPE	-0.019256592	-0.38424683	-0.043319702
1560832093669	TYPE_ROTATION_VECTOR	-0.01761368	-0.12484669	-0.9792634
1560832093669	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.459999	-16.32	-160.79999
1560832093669	TYPE_GYROSCOPE_UNCALIBRATED	-0.038360596	-0.33822632	-0.024505615
1560832093669	TYPE_ACCELEROMETER_UNCALIBRATED	1.0726013	0.96006775	11.513718
1560832093689	TYPE_ACCELEROMETER	1.1324615	0.55784607	11.556808
1560832093689	TYPE_MAGNETIC_FIELD	-11.219999	-32.219997	-24.9
1560832093689	TYPE_GYROSCOPE	0.014312744	-0.36773682	-0.02947998
1560832093689	TYPE_ROTATION_VECTOR	-0.021158053	-0.12514028	-0.97929454
1560832093689	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.9799995	-16.199997	-160.73999
1560832093689	TYPE_GYROSCOPE_UNCALIBRATED	-0.019714355	-0.38510132	-0.041549683
1560832093689	TYPE_ACCELEROMETER_UNCALIBRATED	1.1324615	0.55784607	11.556808
1560832093709	TYPE_ACCELEROMETER	1.0390778	0.2346344	11.276688
1560832093709	TYPE_MAGNETIC_FIELD	-11.099999	-32.219997	-24.84
1560832093709	TYPE_GYROSCOPE	0.056915283	-0.23350525	-7.019043E-4
1560832093709	TYPE_ROTATION_VECTOR	-0.025021221	-0.12570976	-0.97926813
1560832093709	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.0999994	-16.199997	-160.68
1560832093709	TYPE_GYROSCOPE_UNCALIBRATED	0.0138549805	-0.3685913	-0.027709961
