#	startTime:1560832358526
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b90e2acfd2d33b5e3bc	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560832358527	TYPE_WAYPOINT	77.4305	20.480259
1560832358704	TYPE_ACCELEROMETER	0.84036255	0.49320984	9.382874
1560832358704	TYPE_MAGNETIC_FIELD	-5.94	26.16	-33.18
1560832358704	TYPE_GYROSCOPE	-0.28875732	-0.1360321	-0.36502075
1560832358704	TYPE_ROTATION_VECTOR	0.019099245	-0.06532213	-0.0453397
1560832358704	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.259998	42.18	-169.01999
1560832358704	TYPE_GYROSCOPE_UNCALIBRATED	-0.26419067	-0.11291504	-0.30892944
1560832358704	TYPE_ACCELEROMETER_UNCALIBRATED	0.84036255	0.49320984	9.382874
1560832358724	TYPE_ACCELEROMETER	0.6584015	0.588974	9.569626
1560832358724	TYPE_MAGNETIC_FIELD	-5.8799996	26.4	-33.18
1560832358724	TYPE_GYROSCOPE	-0.28396606	-0.09448242	-0.3794098
1560832358724	TYPE_ROTATION_VECTOR	0.02544883	-0.045135036	-0.035461508
1560832358724	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.32	42.42	-169.01999
1560832358724	TYPE_GYROSCOPE_UNCALIBRATED	-0.28442383	-0.095336914	-0.37763977
1560832358724	TYPE_ACCELEROMETER_UNCALIBRATED	0.6584015	0.588974	9.569626
1560832358745	TYPE_ACCELEROMETER	0.5506592	0.6536102	9.514557
1560832358745	TYPE_MAGNETIC_FIELD	-6.0	26.58	-33.059998
1560832358745	TYPE_GYROSCOPE	-0.2791748	-0.06626892	-0.38313293
1560832358745	TYPE_ROTATION_VECTOR	0.02539223	-0.03612193	-0.0732292
1560832358745	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.199999	42.6	-168.9
1560832358745	TYPE_GYROSCOPE_UNCALIBRATED	-0.27963257	-0.06712341	-0.38136292
1560832358745	TYPE_ACCELEROMETER_UNCALIBRATED	0.5506592	0.6536102	9.514557
1560832358765	TYPE_ACCELEROMETER	0.5051727	0.68473816	9.540894
1560832358765	TYPE_MAGNETIC_FIELD	-6.2999997	26.76	-33.0
1560832358765	TYPE_GYROSCOPE	-0.27864075	-0.047088623	-0.38153076
1560832358765	TYPE_ROTATION_VECTOR	0.030530952	-0.031860072	-0.09799827
1560832358765	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.9	42.78	-168.84
1560832358765	TYPE_GYROSCOPE_UNCALIBRATED	-0.2790985	-0.047943115	-0.37976074
1560832358765	TYPE_ACCELEROMETER_UNCALIBRATED	0.5051727	0.68473816	9.540894
1560832358785	TYPE_ACCELEROMETER	0.45010376	0.6488342	9.562439
1560832358785	TYPE_MAGNETIC_FIELD	-6.72	27.0	-33.0
1560832358785	TYPE_GYROSCOPE	-0.24082947	-0.022583008	-0.37887573
1560832358785	TYPE_ROTATION_VECTOR	0.032652676	-0.02972716	-0.10198885
1560832358785	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.48	43.02	-168.84
1560832358785	TYPE_GYROSCOPE_UNCALIBRATED	-0.2790985	-0.047943115	-0.37976074
1560832358785	TYPE_ACCELEROMETER_UNCALIBRATED	0.45010376	0.6488342	9.562439
1560832358806	TYPE_ACCELEROMETER	0.3256073	0.7302246	9.227249
1560832358806	TYPE_MAGNETIC_FIELD	-7.14	27.539999	-32.94
1560832358806	TYPE_GYROSCOPE	-0.17318726	-0.0034179688	-0.3655548
1560832358806	TYPE_ROTATION_VECTOR	0.030062962	-0.02966351	-0.10588998
1560832358806	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.059999	43.559998	-168.78
1560832358806	TYPE_GYROSCOPE_UNCALIBRATED	-0.24128723	-0.0234375	-0.3771057
1560832358806	TYPE_ACCELEROMETER_UNCALIBRATED	0.3256073	0.7302246	9.227249
1560832358826	TYPE_ACCELEROMETER	0.26576233	0.885849	8.815445
1560832358826	TYPE_MAGNETIC_FIELD	-7.3199997	27.599998	-32.64
1560832358826	TYPE_GYROSCOPE	-0.13484192	0.022155762	-0.31922913
1560832358826	TYPE_ROTATION_VECTOR	0.028045513	-0.029471638	-0.109725036
1560832358826	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.879999	43.62	-168.48
1560832358826	TYPE_GYROSCOPE_UNCALIBRATED	-0.17364502	-0.004272461	-0.3637848
1560832358826	TYPE_ACCELEROMETER_UNCALIBRATED	0.26576233	0.885849	8.815445
1560832358846	TYPE_ACCELEROMETER	0.16520691	1.0726013	8.906433
1560832358846	TYPE_MAGNETIC_FIELD	-7.62	27.24	-32.88
1560832358846	TYPE_GYROSCOPE	-0.16519165	-0.01939392	-0.26010132
1560832358846	TYPE_ROTATION_VECTOR	0.026735747	-0.029079467	-0.113247104
1560832358846	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.579999	43.260002	-168.72
1560832358846	TYPE_GYROSCOPE_UNCALIBRATED	-0.13529968	0.02130127	-0.3174591
1560832358846	TYPE_ACCELEROMETER_UNCALIBRATED	0.16520691	1.0726013	8.906433
1560832358866	TYPE_ACCELEROMETER	0.35673523	1.1300659	9.368515
1560832358866	TYPE_MAGNETIC_FIELD	-8.099999	27.24	-33.0
1560832358866	TYPE_GYROSCOPE	-0.21366882	-0.09768677	-0.18499756
1560832358866	TYPE_ROTATION_VECTOR	0.025346873	-0.028708939	-0.11621401
1560832358866	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.099999	43.260002	-168.84
1560832358866	TYPE_GYROSCOPE_UNCALIBRATED	-0.21412659	-0.09854126	-0.18322754
1560832358866	TYPE_ACCELEROMETER_UNCALIBRATED	0.35673523	1.1300659	9.368515
1560832358887	TYPE_ACCELEROMETER	0.5123596	1.0630188	10.122681
1560832358887	TYPE_MAGNETIC_FIELD	-8.82	26.939999	-32.76
1560832358887	TYPE_GYROSCOPE	-0.24401855	-0.06892395	-0.12374878
1560832358887	TYPE_ROTATION_VECTOR	0.02347384	-0.029084362	-0.11854163
1560832358887	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.379999	42.96	-168.59999
1560832358887	TYPE_GYROSCOPE_UNCALIBRATED	-0.21412659	-0.09854126	-0.18322754
1560832358887	TYPE_ACCELEROMETER_UNCALIBRATED	0.5123596	1.0630188	10.122681
1560832358907	TYPE_ACCELEROMETER	0.42616272	1.0821838	10.445908
1560832358907	TYPE_MAGNETIC_FIELD	-9.42	27.0	-32.64
1560832358907	TYPE_GYROSCOPE	-0.19076538	-0.0012817383	-0.08859253
1560832358907	TYPE_ROTATION_VECTOR	0.021005396	-0.02974252	-0.12014307
1560832358907	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.779999	43.02	-168.48
1560832358907	TYPE_GYROSCOPE_UNCALIBRATED	-0.24447632	-0.06977844	-0.12197876
1560832358907	TYPE_ACCELEROMETER_UNCALIBRATED	0.42616272	1.0821838	10.445908
1560832358927	TYPE_ACCELEROMETER	0.51475525	1.1420288	10.156204
1560832358927	TYPE_MAGNETIC_FIELD	-9.84	27.0	-32.64
1560832358927	TYPE_GYROSCOPE	-0.09436035	0.024291992	-0.059295654
1560832358927	TYPE_ROTATION_VECTOR	0.018732114	-0.029777411	-0.12125926
1560832358927	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.3599987	43.02	-168.48
1560832358927	TYPE_GYROSCOPE_UNCALIBRATED	-0.19122314	-0.0021362305	-0.08682251
1560832358927	TYPE_ACCELEROMETER_UNCALIBRATED	0.51475525	1.1420288	10.156204
1560832358948	TYPE_ACCELEROMETER	0.7805023	1.1348572	9.756378
1560832358948	TYPE_MAGNETIC_FIELD	-9.9	27.18	-32.579998
1560832358948	TYPE_GYROSCOPE	-0.035232544	0.0045928955	-0.049179077
1560832358948	TYPE_ROTATION_VECTOR	0.017312776	-0.02939093	-0.12205451
1560832358948	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.299999	43.2	-168.42
1560832358948	TYPE_GYROSCOPE_UNCALIBRATED	-0.035690308	0.0037384033	-0.047409058
1560832358948	TYPE_ACCELEROMETER_UNCALIBRATED	0.7805023	1.1348572	9.756378
1560832358968	TYPE_ACCELEROMETER	0.7302246	1.1132965	10.110718
1560832358968	TYPE_MAGNETIC_FIELD	-9.9	27.18	-32.399998
1560832358968	TYPE_GYROSCOPE	-0.07199097	-0.025253296	-0.08113098
1560832358968	TYPE_ROTATION_VECTOR	0.016833048	-0.029134598	-0.12253356
1560832358968	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.299999	43.2	-168.23999
1560832358968	TYPE_GYROSCOPE_UNCALIBRATED	-0.035690308	0.0037384033	-0.047409058
1560832358968	TYPE_ACCELEROMETER_UNCALIBRATED	0.7302246	1.1132965	10.110718
1560832358988	TYPE_ACCELEROMETER	0.81163025	0.98402405	10.934326
1560832358988	TYPE_MAGNETIC_FIELD	-10.2	27.24	-32.28
1560832358988	TYPE_GYROSCOPE	-0.109802246	-0.053482056	-0.08912659
1560832358988	TYPE_ROTATION_VECTOR	0.01637352	-0.029179234	-0.12321299
1560832358988	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.999999	43.260002	-168.12
1560832358988	TYPE_GYROSCOPE_UNCALIBRATED	-0.11026001	-0.054336548	-0.08735657
1560832358988	TYPE_ACCELEROMETER_UNCALIBRATED	0.81163025	0.98402405	10.934326
1560832359008	TYPE_ACCELEROMETER	0.69192505	0.8738861	11.394012
1560832359008	TYPE_MAGNETIC_FIELD	-10.2	27.24	-32.28
1560832359008	TYPE_GYROSCOPE	-0.09487915	-0.036972046	-0.09764099
1560832359008	TYPE_ROTATION_VECTOR	0.01637352	-0.029179234	-0.12321299
1560832359008	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.999999	43.260002	-168.12
1560832359008	TYPE_GYROSCOPE_UNCALIBRATED	-0.11026001	-0.054336548	-0.08735657
1560832359008	TYPE_ACCELEROMETER_UNCALIBRATED	0.81163025	0.98402405	10.934326
1560832359029	TYPE_ACCELEROMETER	0.55784607	0.885849	11.425125
1560832359029	TYPE_MAGNETIC_FIELD	-10.08	27.599998	-31.8
1560832359029	TYPE_GYROSCOPE	-0.07997131	-0.0039367676	-0.10404968
1560832359029	TYPE_ROTATION_VECTOR	0.01426607	-0.029827662	-0.12507431
1560832359029	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.119999	43.62	-167.64
1560832359029	TYPE_GYROSCOPE_UNCALIBRATED	-0.095336914	-0.037826538	-0.09587097
1560832359029	TYPE_ACCELEROMETER_UNCALIBRATED	0.55784607	0.885849	11.425125
1560832359049	TYPE_ACCELEROMETER	0.6823425	0.9505005	11.243164
1560832359049	TYPE_MAGNETIC_FIELD	-10.08	27.599998	-31.8
1560832359049	TYPE_GYROSCOPE	-0.060272217	0.02217102	-0.101379395
1560832359049	TYPE_ROTATION_VECTOR	0.01426607	-0.029827662	-0.12507431
1560832359049	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.119999	43.62	-167.64
1560832359049	TYPE_GYROSCOPE_UNCALIBRATED	-0.08042908	-0.0047912598	-0.10227966
1560832359049	TYPE_ACCELEROMETER_UNCALIBRATED	0.6823425	0.9505005	11.243164
1560832359069	TYPE_ACCELEROMETER	0.70628357	0.806839	10.934326
1560832359069	TYPE_MAGNETIC_FIELD	-10.38	27.96	-31.8
1560832359069	TYPE_GYROSCOPE	-0.026184082	0.09779358	-0.12588501
1560832359069	TYPE_ROTATION_VECTOR	0.012725818	-0.02971186	-0.12717716
1560832359069	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.8199987	43.98	-167.64
1560832359069	TYPE_GYROSCOPE_UNCALIBRATED	-0.06072998	0.021316528	-0.099609375
1560832359069	TYPE_ACCELEROMETER_UNCALIBRATED	0.6823425	0.9505005	11.243164
1560832359090	TYPE_ACCELEROMETER	0.4980011	0.30885315	11.26712
1560832359090	TYPE_MAGNETIC_FIELD	-10.2	28.08	-31.98
1560832359090	TYPE_GYROSCOPE	-0.02458191	0.22296143	-0.17327881
1560832359090	TYPE_ROTATION_VECTOR	0.0123928925	-0.029154876	-0.1282916
1560832359090	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.999999	44.1	-167.81999
1560832359090	TYPE_GYROSCOPE_UNCALIBRATED	-0.025039673	0.22210693	-0.17150879
1560832359090	TYPE_ACCELEROMETER_UNCALIBRATED	0.4980011	0.30885315	11.26712
1560832359110	TYPE_ACCELEROMETER	0.0143585205	-0.03831482	11.590332
1560832359110	TYPE_MAGNETIC_FIELD	-10.08	27.96	-31.8
1560832359110	TYPE_GYROSCOPE	-0.030441284	0.15106201	-0.24359131
1560832359110	TYPE_ROTATION_VECTOR	0.0123928925	-0.029154876	-0.1282916
1560832359110	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.299999	44.16	-167.81999
1560832359110	TYPE_GYROSCOPE_UNCALIBRATED	-0.025039673	0.22210693	-0.17150879
1560832359110	TYPE_ACCELEROMETER_UNCALIBRATED	0.4980011	0.30885315	11.26712
1560832359130	TYPE_ACCELEROMETER	-0.3830719	-0.5626373	11.415558
1560832359130	TYPE_MAGNETIC_FIELD	-10.08	27.96	-31.8
1560832359130	TYPE_GYROSCOPE	0.015380859	0.03387451	-0.21855164
1560832359130	TYPE_ROTATION_VECTOR	0.012464726	-0.027431296	-0.12972006
1560832359130	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.119999	43.98	-167.64
1560832359130	TYPE_GYROSCOPE_UNCALIBRATED	-0.030899048	0.15020752	-0.24182129
1560832359130	TYPE_ACCELEROMETER_UNCALIBRATED	0.0143585205	-0.03831482	11.590332
1560832359150	TYPE_ACCELEROMETER	-0.5746155	-0.94091797	10.776306
1560832359150	TYPE_MAGNETIC_FIELD	-10.2	27.779999	-32.16
1560832359150	TYPE_GYROSCOPE	0.11657715	0.0035247803	-0.14344788
1560832359150	TYPE_ROTATION_VECTOR	0.012701577	-0.024258124	-0.13528264
1560832359150	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.999999	43.8	-168.0
1560832359150	TYPE_GYROSCOPE_UNCALIBRATED	0.014923096	0.03302002	-0.21678162
1560832359150	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3830719	-0.5626373	11.415558
1560832359171	TYPE_ACCELEROMETER	-0.27293396	-1.0773926	10.261551
1560832359171	TYPE_MAGNETIC_FIELD	-10.679999	27.66	-32.16
1560832359171	TYPE_GYROSCOPE	0.15119934	0.009918213	-0.01083374
1560832359171	TYPE_ROTATION_VECTOR	0.013903738	-0.024362287	-0.13669834
1560832359171	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.5199995	43.68	-168.0
1560832359171	TYPE_GYROSCOPE_UNCALIBRATED	0.116119385	0.002670288	-0.14167786
1560832359171	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5746155	-0.94091797	10.776306
1560832359191	TYPE_ACCELEROMETER	0.3136444	-1.0965424	10.093948
1560832359191	TYPE_MAGNETIC_FIELD	-10.62	27.599998	-32.28
1560832359191	TYPE_GYROSCOPE	0.14587402	0.02961731	0.12286377
1560832359191	TYPE_ROTATION_VECTOR	0.015429208	-0.024467371	-0.13677797
1560832359191	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.579999	43.62	-168.12
1560832359191	TYPE_GYROSCOPE_UNCALIBRATED	0.15074158	0.009063721	-0.009063721
