#	startTime:1560832540488
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b90e2acfd2d33b5e3bc	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560832540488	TYPE_WAYPOINT	81.91927	50.510067
1560832540659	TYPE_ACCELEROMETER	-0.09336853	0.09336853	11.063599
1560832540659	TYPE_MAGNETIC_FIELD	17.699999	17.16	-31.679998
1560832540659	TYPE_GYROSCOPE	0.016983032	-0.29689026	-0.2313385
1560832540659	TYPE_ROTATION_VECTOR	0.012394276	-0.009434471	0.35121793
1560832540659	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.899998	33.18	-167.51999
1560832540659	TYPE_GYROSCOPE_UNCALIBRATED	-0.15234375	-0.47190857	-0.17204285
1560832540659	TYPE_ACCELEROMETER_UNCALIBRATED	0.32800293	0.25857544	12.17691
1560832540679	TYPE_ACCELEROMETER	-0.40940857	-0.03591919	10.314224
1560832540679	TYPE_MAGNETIC_FIELD	17.699999	17.4	-31.859999
1560832540679	TYPE_GYROSCOPE	0.010040283	-0.24736023	-0.22814941
1560832540679	TYPE_ROTATION_VECTOR	1.23971995E-5	0.0053214305	0.36332184
1560832540679	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.899998	33.42	-167.7
1560832540679	TYPE_GYROSCOPE_UNCALIBRATED	0.016525269	-0.29774475	-0.22956848
1560832540679	TYPE_ACCELEROMETER_UNCALIBRATED	-0.40940857	-0.03591919	10.314224
1560832540700	TYPE_ACCELEROMETER	0.32081604	-0.50038147	10.508148
1560832540700	TYPE_MAGNETIC_FIELD	17.52	17.76	-31.8
1560832540700	TYPE_GYROSCOPE	-0.1769104	-0.40394592	-0.16369629
1560832540700	TYPE_ROTATION_VECTOR	-0.012257349	0.018335352	0.32672086
1560832540700	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.72	33.78	-167.64
1560832540700	TYPE_GYROSCOPE_UNCALIBRATED	0.0095825195	-0.24821472	-0.2263794
1560832540700	TYPE_ACCELEROMETER_UNCALIBRATED	0.32081604	-0.50038147	10.508148
1560832540720	TYPE_ACCELEROMETER	0.96965027	-1.4676514	11.772293
1560832540720	TYPE_MAGNETIC_FIELD	17.58	18.0	-31.8
1560832540720	TYPE_GYROSCOPE	-0.41394043	-0.5094147	-0.15090942
1560832540720	TYPE_ROTATION_VECTOR	-0.014195622	-0.02293667	0.4072736
1560832540720	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.78	34.02	-167.64
1560832540720	TYPE_GYROSCOPE_UNCALIBRATED	-0.17736816	-0.40480042	-0.16192627
1560832540720	TYPE_ACCELEROMETER_UNCALIBRATED	0.96965027	-1.4676514	11.772293
1560832540740	TYPE_ACCELEROMETER	1.1180878	-2.3918	13.067551
1560832540740	TYPE_MAGNETIC_FIELD	17.46	18.3	-31.98
1560832540740	TYPE_GYROSCOPE	-0.4629364	-0.38957214	-0.19404602
1560832540740	TYPE_ROTATION_VECTOR	-0.035700966	-0.06763197	0.4619411
1560832540740	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.659996	34.32	-167.81999
1560832540740	TYPE_GYROSCOPE_UNCALIBRATED	-0.4143982	-0.51026917	-0.1491394
1560832540740	TYPE_ACCELEROMETER_UNCALIBRATED	1.1180878	-2.3918	13.067551
1560832540761	TYPE_ACCELEROMETER	0.79966736	-2.6120758	13.309372
1560832540761	TYPE_MAGNETIC_FIELD	17.4	18.66	-32.28
1560832540761	TYPE_GYROSCOPE	-0.2706604	-0.1978302	-0.2744751
1560832540761	TYPE_ROTATION_VECTOR	-0.037895147	-0.07338035	0.46008286
1560832540761	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.6	34.68	-168.12
1560832540761	TYPE_GYROSCOPE_UNCALIBRATED	-0.46339417	-0.39042664	-0.192276
1560832540761	TYPE_ACCELEROMETER_UNCALIBRATED	1.1180878	-2.3918	13.067551
1560832540781	TYPE_ACCELEROMETER	0.23703003	-2.1715393	11.38443
1560832540781	TYPE_MAGNETIC_FIELD	17.1	19.14	-32.46
1560832540781	TYPE_GYROSCOPE	0.13948059	-0.02204895	-0.31922913
1560832540781	TYPE_ROTATION_VECTOR	-0.038822137	-0.07537701	0.45886707
