#	startTime:1560832588445
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b90e2acfd2d33b5e3bc	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560832588446	TYPE_WAYPOINT	61.087143	43.33038
1560832588619	TYPE_ACCELEROMETER	0.4980011	1.1372528	11.235992
1560832588619	TYPE_MAGNETIC_FIELD	6.66	22.5	-31.439999
1560832588619	TYPE_GYROSCOPE	0.07823181	0.34280396	-0.037460327
1560832588619	TYPE_ROTATION_VECTOR	0.0625487	-0.026750684	0.16531348
1560832588619	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.859999	38.52	-167.28
1560832588619	TYPE_GYROSCOPE_UNCALIBRATED	0.07777405	0.34194946	-0.035690308
1560832588619	TYPE_ACCELEROMETER_UNCALIBRATED	0.4980011	1.1372528	11.235992
1560832588639	TYPE_ACCELEROMETER	-0.02154541	0.98402405	11.480194
1560832588639	TYPE_MAGNETIC_FIELD	6.6	22.439999	-31.199999
1560832588639	TYPE_GYROSCOPE	0.089416504	0.34387207	-0.047042847
1560832588639	TYPE_ROTATION_VECTOR	0.052257888	-0.0140512	0.14331411
1560832588639	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.8	38.46	-167.04
1560832588639	TYPE_GYROSCOPE_UNCALIBRATED	0.07777405	0.34194946	-0.035690308
1560832588639	TYPE_ACCELEROMETER_UNCALIBRATED	-0.02154541	0.98402405	11.480194
1560832588660	TYPE_ACCELEROMETER	-0.14364624	0.885849	11.568787
1560832588660	TYPE_MAGNETIC_FIELD	6.48	22.56	-31.08
1560832588660	TYPE_GYROSCOPE	0.13415527	0.32629395	-0.009765625
1560832588660	TYPE_ROTATION_VECTOR	0.040967662	0.005473853	0.11296134
1560832588660	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.679998	38.58	-166.92
1560832588660	TYPE_GYROSCOPE_UNCALIBRATED	0.13369751	0.32543945	-0.0079956055
1560832588660	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14364624	0.885849	11.568787
1560832588680	TYPE_ACCELEROMETER	0.06942749	0.6033325	11.240784
1560832588680	TYPE_MAGNETIC_FIELD	6.66	22.5	-30.66
1560832588680	TYPE_GYROSCOPE	0.14320374	0.326828	0.013153076
1560832588680	TYPE_ROTATION_VECTOR	0.036647454	0.010970423	0.14654115
1560832588680	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.859999	38.52	-166.5
1560832588680	TYPE_GYROSCOPE_UNCALIBRATED	0.14274597	0.3259735	0.014923096
1560832588680	TYPE_ACCELEROMETER_UNCALIBRATED	0.06942749	0.6033325	11.240784
1560832588700	TYPE_ACCELEROMETER	0.04788208	0.12689209	11.276688
1560832588700	TYPE_MAGNETIC_FIELD	6.66	22.859999	-30.539999
1560832588700	TYPE_GYROSCOPE	0.08302307	0.2400055	-0.0134887695
1560832588700	TYPE_ROTATION_VECTOR	0.027325606	1.0974552E-5	0.12670532
1560832588700	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.859999	38.879997	-166.37999
1560832588700	TYPE_GYROSCOPE_UNCALIBRATED	0.14274597	0.3259735	0.014923096
1560832588700	TYPE_ACCELEROMETER_UNCALIBRATED	0.04788208	0.12689209	11.276688
