#	startTime:1560832687836
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b90e2acfd2d33b5e3bc	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560832687837	TYPE_WAYPOINT	18.379328	99.0012
1560832688011	TYPE_ACCELEROMETER	-0.42616272	0.12928772	9.859329
1560832688011	TYPE_MAGNETIC_FIELD	8.88	30.96	-39.84
1560832688011	TYPE_GYROSCOPE	-0.2791748	-0.060394287	-0.00390625
1560832688011	TYPE_ROTATION_VECTOR	-1.0661865E-9	0.008737591	0.13461535
1560832688011	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.079998	46.98	-175.68
1560832688011	TYPE_GYROSCOPE_UNCALIBRATED	-0.27963257	-0.06124878	-0.0021362305
1560832688011	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42616272	0.12928772	9.859329
1560832688031	TYPE_ACCELEROMETER	-0.5913696	0.22744751	9.7300415
1560832688031	TYPE_MAGNETIC_FIELD	8.88	31.14	-39.84
1560832688031	TYPE_GYROSCOPE	-0.24508667	-0.056137085	0.037109375
1560832688031	TYPE_ROTATION_VECTOR	3.8673801E-4	0.022045849	0.11096292
1560832688031	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.079998	47.16	-175.68
1560832688031	TYPE_GYROSCOPE_UNCALIBRATED	-0.24554443	-0.056991577	0.038879395
1560832688031	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5913696	0.22744751	9.7300415
1560832688052	TYPE_ACCELEROMETER	-0.5051727	0.2753296	9.337387
1560832688052	TYPE_MAGNETIC_FIELD	8.76	31.199999	-39.78
1560832688052	TYPE_GYROSCOPE	-0.24882507	-0.07371521	0.10848999
1560832688052	TYPE_ROTATION_VECTOR	0.0039028602	0.030936955	0.08470148
1560832688052	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.96	47.22	-175.62
1560832688052	TYPE_GYROSCOPE_UNCALIBRATED	-0.24554443	-0.056991577	0.038879395
1560832688052	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5051727	0.2753296	9.337387
1560832688072	TYPE_ACCELEROMETER	-0.13647461	0.33518982	9.136276
1560832688072	TYPE_MAGNETIC_FIELD	8.76	31.26	-39.66
1560832688072	TYPE_GYROSCOPE	-0.24508667	-0.079574585	0.16441345
1560832688072	TYPE_ROTATION_VECTOR	0.013480184	0.028142093	0.10230686
1560832688072	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.96	47.28	-175.5
1560832688072	TYPE_GYROSCOPE_UNCALIBRATED	-0.24928284	-0.0745697	0.11026001
1560832688072	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13647461	0.33518982	9.136276
1560832688092	TYPE_ACCELEROMETER	-0.0287323	0.36392212	8.705322
1560832688092	TYPE_MAGNETIC_FIELD	8.58	31.26	-39.84
1560832688092	TYPE_GYROSCOPE	-0.24882507	-0.082229614	0.15855408
1560832688092	TYPE_ROTATION_VECTOR	0.012330597	0.009540374	0.11064934
1560832688092	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.779999	47.28	-175.68
1560832688092	TYPE_GYROSCOPE_UNCALIBRATED	-0.24928284	-0.08308411	0.1603241
1560832688092	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0287323	0.36392212	8.705322
1560832688113	TYPE_ACCELEROMETER	-0.14604187	0.28730774	8.726868
1560832688113	TYPE_MAGNETIC_FIELD	8.46	31.439999	-39.78
1560832688113	TYPE_GYROSCOPE	-0.34309387	-0.10673523	0.1335144
1560832688113	TYPE_ROTATION_VECTOR	0.009979751	0.008435796	0.11073173
1560832688113	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.66	47.46	-175.62
1560832688113	TYPE_GYROSCOPE_UNCALIBRATED	-0.34355164	-0.10758972	0.13528442
1560832688113	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14604187	0.28730774	8.726868
1560832688133	TYPE_ACCELEROMETER	-0.64404297	0.28012085	9.765945
1560832688133	TYPE_MAGNETIC_FIELD	8.4	31.38	-39.6
1560832688133	TYPE_GYROSCOPE	-0.39794922	-0.10726929	0.119140625
1560832688133	TYPE_ROTATION_VECTOR	0.0075898385	0.0073168264	0.112333536
1560832688133	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.599998	47.4	-175.44
1560832688133	TYPE_GYROSCOPE_UNCALIBRATED	-0.39840698	-0.10812378	0.120910645
1560832688133	TYPE_ACCELEROMETER_UNCALIBRATED	-0.64404297	0.28012085	9.765945
1560832688153	TYPE_ACCELEROMETER	-0.826004	0.41419983	10.673355
1560832688153	TYPE_MAGNETIC_FIELD	8.16	31.74	-39.54
1560832688153	TYPE_GYROSCOPE	-0.31752014	-0.105148315	0.16760254
1560832688153	TYPE_ROTATION_VECTOR	0.0042737885	0.0058438214	0.11369404
1560832688153	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.359999	47.760002	-175.38
1560832688153	TYPE_GYROSCOPE_UNCALIBRATED	-0.39840698	-0.10812378	0.120910645
1560832688153	TYPE_ACCELEROMETER_UNCALIBRATED	-0.826004	0.41419983	10.673355
1560832688174	TYPE_ACCELEROMETER	-0.19871521	0.52911377	10.692505
1560832688174	TYPE_MAGNETIC_FIELD	7.9199996	31.98	-39.48
1560832688174	TYPE_GYROSCOPE	-0.17797852	-0.1317749	0.1873169
1560832688174	TYPE_ROTATION_VECTOR	4.031769E-4	0.004301708	0.11491063
1560832688174	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.119999	48.0	-175.31999
1560832688174	TYPE_GYROSCOPE_UNCALIBRATED	-0.17843628	-0.1326294	0.18908691
1560832688174	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19871521	0.52911377	10.692505
1560832688194	TYPE_ACCELEROMETER	0.17956543	0.6320648	10.268738
1560832688194	TYPE_MAGNETIC_FIELD	7.9199996	32.16	-39.239998
1560832688194	TYPE_GYROSCOPE	-0.07678223	-0.15254211	0.12606812
1560832688194	TYPE_ROTATION_VECTOR	-0.0026564703	0.0028783102	0.11660138
