#	startTime:1560832231392
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969de39e2fc0b4afea034	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560832231393	TYPE_WAYPOINT	107.49913	49.704597
1560832231556	TYPE_ACCELEROMETER	-0.9224396	0.8913269	11.020157
1560832231556	TYPE_MAGNETIC_FIELD	16.32	-18.48	-31.439999
1560832231556	TYPE_GYROSCOPE	-0.6627655	0.07728577	-0.07473755
1560832231556	TYPE_ROTATION_VECTOR	-0.0068016932	0.07774318	0.9142322
1560832231556	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.52	-46.079998	-90.24
1560832231556	TYPE_GYROSCOPE_UNCALIBRATED	-0.66096497	0.07635498	-0.07789612
1560832231556	TYPE_ACCELEROMETER_UNCALIBRATED	-0.76690674	1.4464722	10.3537445
1560832231575	TYPE_ACCELEROMETER	-0.87338257	0.41993713	12.589844
1560832231575	TYPE_MAGNETIC_FIELD	16.5	-18.24	-31.74
1560832231575	TYPE_GYROSCOPE	-0.6136017	-0.03540039	-0.009979248
1560832231575	TYPE_ROTATION_VECTOR	-0.02795359	0.030434702	0.9253031
1560832231575	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.7	-45.839996	-90.54
1560832231575	TYPE_GYROSCOPE_UNCALIBRATED	-0.61180115	-0.036331177	-0.013137817
1560832231575	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8757782	0.4355011	11.659042
1560832231594	TYPE_ACCELEROMETER	-0.89611816	0.25483704	14.268402
1560832231594	TYPE_MAGNETIC_FIELD	16.38	-18.0	-31.98
1560832231594	TYPE_GYROSCOPE	-0.54548645	-0.04396057	0.043777466
1560832231594	TYPE_ROTATION_VECTOR	-0.02337785	0.025946455	0.93242496
1560832231594	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.579994	-45.6	-90.78
1560832231594	TYPE_GYROSCOPE_UNCALIBRATED	-0.5436859	-0.044891357	0.040618896
1560832231594	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8267212	0.39242554	13.496719
1560832231613	TYPE_ACCELEROMETER	-0.89253235	0.022735596	15.82254
1560832231613	TYPE_MAGNETIC_FIELD	16.5	-17.699999	-32.1
1560832231613	TYPE_GYROSCOPE	-0.37046814	-0.0015106201	0.08042908
1560832231613	TYPE_ROTATION_VECTOR	-0.029617151	0.0094063915	0.93820155
1560832231613	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.7	-45.299995	-90.899994
1560832231613	TYPE_GYROSCOPE_UNCALIBRATED	-0.3686676	-0.0024414062	0.07727051
1560832231613	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9942169	0.12084961	15.074783
1560832231633	TYPE_ACCELEROMETER	-0.221344	-0.19262695	16.649261
1560832231633	TYPE_MAGNETIC_FIELD	16.5	-17.52	-32.52
1560832231633	TYPE_GYROSCOPE	-0.0619812	0.0039978027	0.12501526
1560832231633	TYPE_ROTATION_VECTOR	-0.030824246	0.0060787774	0.9384989
1560832231633	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.7	-45.12	-91.32
1560832231633	TYPE_GYROSCOPE_UNCALIBRATED	-0.060180664	0.0030670166	0.12185669
