#	startTime:1560832344460
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969de39e2fc0b4afea034	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560832344461	TYPE_WAYPOINT	92.38776	33.605362
1560832344573	TYPE_ACCELEROMETER	0.27757263	0.545578	7.520645
1560832344573	TYPE_MAGNETIC_FIELD	-16.14	25.32	-28.68
1560832344573	TYPE_GYROSCOPE	0.22329712	-0.066711426	0.03630066
1560832344573	TYPE_ROTATION_VECTOR	0.020244671	0.017884051	-0.27229923
1560832344573	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.059998	-2.2799988	-87.479996
1560832344573	TYPE_GYROSCOPE_UNCALIBRATED	0.020141602	-0.03907776	0.06413269
1560832344573	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5132599	0.27638245	11.430511
1560832344592	TYPE_ACCELEROMETER	0.59820557	0.52163696	5.782257
1560832344592	TYPE_MAGNETIC_FIELD	-16.14	25.32	-28.74
1560832344592	TYPE_GYROSCOPE	0.78834534	-0.15911865	-0.06465149
1560832344592	TYPE_ROTATION_VECTOR	0.031240867	1.788805E-5	-0.27066034
1560832344592	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.059998	-2.2799988	-87.54
1560832344592	TYPE_GYROSCOPE_UNCALIBRATED	0.22509766	-0.06764221	0.03314209
1560832344592	TYPE_ACCELEROMETER_UNCALIBRATED	0.6006012	0.5204468	6.4546356
1560832344611	TYPE_ACCELEROMETER	0.31825256	0.42233276	5.063217
1560832344611	TYPE_MAGNETIC_FIELD	-16.44	25.199999	-28.8
1560832344611	TYPE_GYROSCOPE	0.5571289	-0.22203064	-0.105285645
1560832344611	TYPE_ROTATION_VECTOR	0.024933975	-0.055061743	-0.2633962
1560832344611	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.759995	-2.3999996	-87.6
1560832344611	TYPE_GYROSCOPE_UNCALIBRATED	0.7901459	-0.16004944	-0.06781006
1560832344611	TYPE_ACCELEROMETER_UNCALIBRATED	0.43669128	0.49890137	5.3850555
1560832344630	TYPE_ACCELEROMETER	0.29432678	0.30747986	4.700699
1560832344630	TYPE_MAGNETIC_FIELD	-16.38	25.019999	-28.92
1560832344630	TYPE_GYROSCOPE	0.30210876	-0.28831482	-0.1159668
1560832344630	TYPE_ROTATION_VECTOR	0.034249853	-0.0498452	-0.23290849
1560832344630	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.82	-2.58	-87.72
1560832344630	TYPE_GYROSCOPE_UNCALIBRATED	0.55892944	-0.22296143	-0.108444214
1560832344630	TYPE_ACCELEROMETER_UNCALIBRATED	0.43669128	0.49890137	5.3850555
1560832344650	TYPE_ACCELEROMETER	0.44865417	0.19621277	4.532013
1560832344650	TYPE_MAGNETIC_FIELD	-16.5	24.96	-28.92
1560832344650	TYPE_GYROSCOPE	0.057754517	-0.27120972	-0.12727356
1560832344650	TYPE_ROTATION_VECTOR	0.02381562	-0.037204895	-0.26169434
1560832344650	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.699997	-2.6399994	-87.72
1560832344650	TYPE_GYROSCOPE_UNCALIBRATED	0.3039093	-0.2892456	-0.119125366
1560832344650	TYPE_ACCELEROMETER_UNCALIBRATED	0.3098755	0.24287415	4.553543
1560832344669	TYPE_ACCELEROMETER	0.8661957	0.26441956	4.3034973
1560832344669	TYPE_MAGNETIC_FIELD	-16.74	24.779999	-28.98
1560832344669	TYPE_GYROSCOPE	-0.14474487	-0.20584106	-0.14193726
1560832344669	TYPE_ROTATION_VECTOR	0.01626856	-0.03944323	-0.26565215
1560832344669	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.46	-2.8199997	-87.78
1560832344669	TYPE_GYROSCOPE_UNCALIBRATED	0.059555054	-0.2721405	-0.13043213
1560832344669	TYPE_ACCELEROMETER_UNCALIBRATED	0.72143555	0.2141571	4.4446716
1560832344688	TYPE_ACCELEROMETER	0.8877411	0.36012268	4.347763
1560832344688	TYPE_MAGNETIC_FIELD	-16.92	24.66	-29.099998
1560832344688	TYPE_GYROSCOPE	-0.3057251	-0.026550293	-0.1795044
1560832344688	TYPE_ROTATION_VECTOR	0.015182191	-0.04158954	-0.26692688
