#	startTime:1560832460635
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969de39e2fc0b4afea034	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560832460636	TYPE_WAYPOINT	107.49913	49.704597
1560832460751	TYPE_ACCELEROMETER	-0.41874695	-0.19741821	10.948364
1560832460751	TYPE_MAGNETIC_FIELD	22.859999	30.9	-44.28
1560832460751	TYPE_GYROSCOPE	-0.26905823	-0.050827026	-0.08894348
1560832460751	TYPE_ROTATION_VECTOR	-0.03644557	0.03809718	0.22720674
1560832460751	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.06	3.3000011	-103.08
1560832460751	TYPE_GYROSCOPE_UNCALIBRATED	-0.42425537	0.024291992	0.01083374
1560832460751	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4857483	0.051452637	10.381271
1560832460770	TYPE_ACCELEROMETER	-0.5862427	-0.4247284	11.991638
1560832460770	TYPE_MAGNETIC_FIELD	24.0	37.32	-43.2
1560832460770	TYPE_GYROSCOPE	-0.48408508	0.052871704	0.04866028
1560832460770	TYPE_ROTATION_VECTOR	-0.015625618	0.015625618	0.26559278
1560832460770	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.2	9.720001	-102.0
1560832460770	TYPE_GYROSCOPE_UNCALIBRATED	-0.42425537	0.024291992	0.01083374
1560832460770	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4857483	0.051452637	10.381271
1560832460789	TYPE_ACCELEROMETER	-1.0815582	-0.47018433	13.360321
1560832460789	TYPE_MAGNETIC_FIELD	24.06	37.26	-43.32
1560832460789	TYPE_GYROSCOPE	-0.41383362	0.01927185	-0.013641357
1560832460789	TYPE_ROTATION_VECTOR	-0.024955194	0.01867457	0.27895704
1560832460789	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.259995	9.66	-102.119995
1560832460789	TYPE_GYROSCOPE_UNCALIBRATED	-0.44502258	0.039413452	0.010391235
1560832460789	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37568665	-0.35772705	11.438889
1560832460808	TYPE_ACCELEROMETER	-0.9678955	-0.4402771	14.373688
1560832460808	TYPE_MAGNETIC_FIELD	23.88	37.5	-43.14
1560832460808	TYPE_GYROSCOPE	-0.32252502	-0.12428284	-0.029830933
1560832460808	TYPE_ROTATION_VECTOR	-0.027147822	0.034808498	0.23835349
1560832460808	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.079994	9.900002	-101.94
