#	startTime:1560833408020
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b90e2acfd2d33b5e3bc	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560833408020	TYPE_WAYPOINT	34.53476	85.12704
1560833408186	TYPE_ACCELEROMETER	0.20111084	-0.5482788	9.299072
1560833408186	TYPE_MAGNETIC_FIELD	-28.619999	13.08	-44.579998
1560833408186	TYPE_GYROSCOPE	-0.09169006	-0.14935303	-0.094451904
1560833408186	TYPE_ROTATION_VECTOR	-0.06072015	5.1619487E-8	-0.5941485
1560833408186	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.42	29.1	-180.42
1560833408186	TYPE_GYROSCOPE_UNCALIBRATED	-0.21305847	-0.17630005	-0.083099365
1560833408186	TYPE_ACCELEROMETER_UNCALIBRATED	0.20111084	-0.5482788	9.299072
1560833408206	TYPE_ACCELEROMETER	0.10055542	-0.19631958	8.614334
1560833408206	TYPE_MAGNETIC_FIELD	-28.619999	12.96	-44.46
1560833408206	TYPE_GYROSCOPE	0.13841248	-0.19515991	-0.047576904
1560833408206	TYPE_ROTATION_VECTOR	-0.030000808	0.008719819	-0.57088566
1560833408206	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.42	28.98	-180.29999
1560833408206	TYPE_GYROSCOPE_UNCALIBRATED	-0.09214783	-0.15020752	-0.092681885
1560833408206	TYPE_ACCELEROMETER_UNCALIBRATED	0.10055542	-0.19631958	8.614334
1560833408227	TYPE_ACCELEROMETER	0.38546753	0.05506897	7.249649
1560833408227	TYPE_MAGNETIC_FIELD	-28.74	12.78	-44.46
1560833408227	TYPE_GYROSCOPE	0.19966125	-0.2697296	-0.012420654
1560833408227	TYPE_ROTATION_VECTOR	-0.006846197	8.72243E-6	-0.5703051
1560833408227	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.540001	28.8	-180.29999
1560833408227	TYPE_GYROSCOPE_UNCALIBRATED	0.13795471	-0.1960144	-0.045806885
1560833408227	TYPE_ACCELEROMETER_UNCALIBRATED	0.38546753	0.05506897	7.249649
1560833408247	TYPE_ACCELEROMETER	0.4908142	0.15083313	6.5840607
