#	startTime:1560833003330
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969de39e2fc0b4afea034	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560833003330	TYPE_WAYPOINT	65.974434	139.18839
1560833003446	TYPE_ACCELEROMETER	-0.6089783	-0.37927246	11.765518
1560833003446	TYPE_MAGNETIC_FIELD	-38.16	1.4399999	-28.26
1560833003446	TYPE_GYROSCOPE	6.4086914E-4	-2.89917E-4	0.0049743652
1560833003446	TYPE_ROTATION_VECTOR	0.0068335463	0.02615886	-0.69966257
1560833003446	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.52	-24.119999	-88.979996
1560833003446	TYPE_GYROSCOPE_UNCALIBRATED	0.0024414062	-0.0012207031	0.0018157959
1560833003446	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6125641	-0.29551697	11.796616
1560833003465	TYPE_ACCELEROMETER	-0.79322815	-0.6388855	12.031113
1560833003465	TYPE_MAGNETIC_FIELD	-38.16	1.62	-28.38
1560833003465	TYPE_GYROSCOPE	0.10142517	-0.033737183	0.05354309
1560833003465	TYPE_ROTATION_VECTOR	6.833986E-6	0.035125554	-0.69334364
1560833003465	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.52	-23.939999	-89.1
1560833003465	TYPE_GYROSCOPE_UNCALIBRATED	0.10322571	-0.03466797	0.05038452
1560833003465	TYPE_ACCELEROMETER_UNCALIBRATED	-0.71665955	-0.4893341	11.794235
1560833003484	TYPE_ACCELEROMETER	-0.83151245	-0.96910095	12.647263
1560833003484	TYPE_MAGNETIC_FIELD	-38.1	1.62	-28.32
1560833003484	TYPE_GYROSCOPE	0.17198181	-0.11329651	0.05722046
1560833003484	TYPE_ROTATION_VECTOR	6.8343633E-9	0.044833686	-0.70686054
1560833003484	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.580002	-23.939999	-89.03999
1560833003484	TYPE_GYROSCOPE_UNCALIBRATED	0.17378235	-0.114227295	0.05406189
1560833003484	TYPE_ACCELEROMETER_UNCALIBRATED	-0.79681396	-0.81596375	12.3589325
1560833003503	TYPE_ACCELEROMETER	-0.93200684	-1.1174469	12.751358
1560833003503	TYPE_MAGNETIC_FIELD	-37.98	1.74	-28.5
1560833003503	TYPE_GYROSCOPE	0.28163147	-0.25379944	0.032470703
1560833003503	TYPE_ROTATION_VECTOR	-0.0054879924	0.05382716	-0.7033688
1560833003503	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.7	-23.82	-89.22
1560833003503	TYPE_GYROSCOPE_UNCALIBRATED	0.283432	-0.25473022	0.029312134
1560833003503	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9607239	-1.0588226	12.385254
1560833003523	TYPE_ACCELEROMETER	-0.9403839	-0.9750824	11.831314
1560833003523	TYPE_MAGNETIC_FIELD	-38.1	1.68	-28.68
1560833003523	TYPE_GYROSCOPE	0.4734497	-0.32495117	0.02911377
1560833003523	TYPE_ROTATION_VECTOR	-5.488489E-6	0.056580238	-0.7166028
1560833003523	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.580002	-23.88	-89.399994
1560833003523	TYPE_GYROSCOPE_UNCALIBRATED	0.47525024	-0.32588196	0.0259552
1560833003523	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7992096	-0.9056854	11.21637
1560833003542	TYPE_ACCELEROMETER	-0.53001404	-0.8147583	10.482971
1560833003542	TYPE_MAGNETIC_FIELD	-38.16	1.62	-28.619999
1560833003542	TYPE_GYROSCOPE	0.6435852	-0.27944946	0.06790161
1560833003542	TYPE_ROTATION_VECTOR	6.212774E-4	0.049518377	-0.7173834
1560833003542	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.52	-23.939999	-89.34
1560833003542	TYPE_GYROSCOPE_UNCALIBRATED	0.64538574	-0.28038025	0.06474304
1560833003542	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31944275	-0.69511414	9.682571
1560833003561	TYPE_ACCELEROMETER	-0.25125122	-0.5862427	8.924042
1560833003561	TYPE_MAGNETIC_FIELD	-37.8	1.38	-28.56
1560833003561	TYPE_GYROSCOPE	0.7138214	-0.28556824	0.07829285
1560833003561	TYPE_ROTATION_VECTOR	0.003020077	0.043206356	-0.7172225
1560833003561	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.880001	-24.18	-89.28
1560833003561	TYPE_GYROSCOPE_UNCALIBRATED	0.71562195	-0.28649902	0.07513428
1560833003561	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31944275	-0.69511414	9.682571
1560833003580	TYPE_ACCELEROMETER	-0.124435425	-0.40319824	7.684555
1560833003580	TYPE_MAGNETIC_FIELD	-37.92	1.38	-28.619999
1560833003580	TYPE_GYROSCOPE	0.6768646	-0.28189087	0.06668091
1560833003580	TYPE_ROTATION_VECTOR	0.0058406433	0.036410384	-0.71698534
1560833003580	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.760002	-24.18	-89.34
1560833003580	TYPE_GYROSCOPE_UNCALIBRATED	0.67866516	-0.28282166	0.06352234
1560833003580	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22492981	-0.4857483	8.263611
1560833003600	TYPE_ACCELEROMETER	0.12683105	-0.28834534	6.6018066
1560833003600	TYPE_MAGNETIC_FIELD	-37.98	1.0799999	-28.32
1560833003600	TYPE_GYROSCOPE	0.59288025	-0.22996521	0.08103943
1560833003600	TYPE_ROTATION_VECTOR	0.008438009	0.029886225	-0.716775
1560833003600	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.7	-24.48	-89.03999
1560833003600	TYPE_GYROSCOPE_UNCALIBRATED	0.5946808	-0.230896	0.07788086
1560833003600	TYPE_ACCELEROMETER_UNCALIBRATED	0.07418823	-0.21774292	6.077774
1560833003619	TYPE_ACCELEROMETER	-0.03111267	-0.13639832	5.65065
1560833003619	TYPE_MAGNETIC_FIELD	-37.92	0.96	-27.96
1560833003619	TYPE_GYROSCOPE	0.4563446	-0.17254639	0.0630188
1560833003619	TYPE_ROTATION_VECTOR	0.0108504435	0.024241472	-0.7164078
1560833003619	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.760002	-24.6	-88.67999
1560833003619	TYPE_GYROSCOPE_UNCALIBRATED	0.45814514	-0.17347717	0.05986023
1560833003619	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13998413	-0.0717926	5.3228455
1560833003638	TYPE_ACCELEROMETER	-0.19143677	-0.023925781	5.1182556
1560833003638	TYPE_MAGNETIC_FIELD	-37.98	0.71999997	-27.9
1560833003638	TYPE_GYROSCOPE	0.23216248	-0.14811707	0.04560852
1560833003638	TYPE_ROTATION_VECTOR	0.012729267	0.01995046	-0.71610284
1560833003638	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.7	-24.84	-88.619995
1560833003638	TYPE_GYROSCOPE_UNCALIBRATED	0.23396301	-0.14904785	0.04244995
1560833003638	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13998413	-0.0717926	5.3228455
1560833003657	TYPE_ACCELEROMETER	-0.1483612	0.01914978	4.76651
1560833003657	TYPE_MAGNETIC_FIELD	-38.16	0.24	-27.599998
1560833003657	TYPE_GYROSCOPE	-0.008834839	-0.087020874	0.063323975
1560833003657	TYPE_ROTATION_VECTOR	0.01328	0.017357077	-0.7158585
1560833003657	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.52	-25.32	-88.31999
1560833003657	TYPE_GYROSCOPE_UNCALIBRATED	-0.0070343018	-0.08795166	0.060165405
1560833003657	TYPE_ACCELEROMETER_UNCALIBRATED	-0.114868164	0.057434082	4.511673
1560833003677	TYPE_ACCELEROMETER	-0.058624268	0.07896423	4.235306
1560833003677	TYPE_MAGNETIC_FIELD	-37.98	0.24	-27.3
1560833003677	TYPE_GYROSCOPE	-0.1920929	0.036987305	0.09049988
1560833003677	TYPE_ROTATION_VECTOR	0.012641376	0.016817199	-0.7154464
1560833003677	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.7	-25.32	-88.02
1560833003677	TYPE_GYROSCOPE_UNCALIBRATED	-0.19029236	0.03605652	0.08734131
1560833003677	TYPE_ACCELEROMETER_UNCALIBRATED	-0.114868164	0.057434082	4.511673
1560833003696	TYPE_ACCELEROMETER	0.37687683	0.0143585205	3.6083832
1560833003696	TYPE_MAGNETIC_FIELD	-37.8	0.17999999	-27.119999
1560833003696	TYPE_GYROSCOPE	-0.37321472	0.14907837	0.0978241
1560833003696	TYPE_ROTATION_VECTOR	0.01162084	0.018366039	-0.7148023
1560833003696	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.880001	-25.38	-87.84
1560833003696	TYPE_GYROSCOPE_UNCALIBRATED	-0.37141418	0.14814758	0.09466553
1560833003696	TYPE_ACCELEROMETER_UNCALIBRATED	0.41516113	-0.12562561	3.3427734
