#	startTime:1560833108966
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969de39e2fc0b4afea034	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560833108966	TYPE_WAYPOINT	97.64814	88.21414
1560833109086	TYPE_ACCELEROMETER	-0.3972168	0.23570251	8.360535
1560833109086	TYPE_MAGNETIC_FIELD	36.66	-28.8	2.58
1560833109086	TYPE_GYROSCOPE	0.029953003	-0.1603241	0.052627563
1560833109086	TYPE_ROTATION_VECTOR	-0.017416386	0.030264087	0.89585495
1560833109086	TYPE_MAGNETIC_FIELD_UNCALIBRATED	95.759995	-50.94	-86.88
1560833109086	TYPE_GYROSCOPE_UNCALIBRATED	0.03175354	-0.16125488	0.049468994
1560833109086	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5024872	0.33738708	8.394028
1560833109105	TYPE_ACCELEROMETER	-0.49891663	0.16749573	8.642883
1560833109105	TYPE_MAGNETIC_FIELD	36.719997	-28.74	2.28
1560833109105	TYPE_GYROSCOPE	-0.31915283	-0.074661255	0.08378601
1560833109105	TYPE_ROTATION_VECTOR	-0.014591132	0.016555272	0.89647204
1560833109105	TYPE_MAGNETIC_FIELD_UNCALIBRATED	95.81999	-50.879997	-87.18
1560833109105	TYPE_GYROSCOPE_UNCALIBRATED	-0.084609985	-0.13270569	0.05986023
1560833109105	TYPE_ACCELEROMETER_UNCALIBRATED	-0.39482117	0.18904114	8.415558
1560833109124	TYPE_ACCELEROMETER	-0.7369995	0.16151428	9.235107
1560833109124	TYPE_MAGNETIC_FIELD	36.78	-28.56	2.04
1560833109124	TYPE_GYROSCOPE	-0.4590454	-0.016784668	0.08744812
1560833109124	TYPE_ROTATION_VECTOR	-0.027332032	0.021724164	0.894138
1560833109124	TYPE_MAGNETIC_FIELD_UNCALIBRATED	95.88	-50.699997	-87.42
1560833109124	TYPE_GYROSCOPE_UNCALIBRATED	-0.4434967	-0.035125732	0.087646484
1560833109124	TYPE_ACCELEROMETER_UNCALIBRATED	-0.63290405	0.15673828	8.927628
1560833109143	TYPE_ACCELEROMETER	-0.9403839	0.112472534	10.074982
1560833109143	TYPE_MAGNETIC_FIELD	36.96	-28.68	1.92
1560833109143	TYPE_GYROSCOPE	-0.47676086	0.009185791	0.09661865
1560833109143	TYPE_ROTATION_VECTOR	-0.03574172	0.025906181	0.8981689
1560833109143	TYPE_MAGNETIC_FIELD_UNCALIBRATED	96.06	-50.82	-87.54
1560833109143	TYPE_GYROSCOPE_UNCALIBRATED	-0.4657898	-0.0061035156	0.08703613
1560833109143	TYPE_ACCELEROMETER_UNCALIBRATED	-0.85066223	0.15434265	9.614365
1560833109163	TYPE_ACCELEROMETER	-0.91166687	-0.051452637	10.865814
1560833109163	TYPE_MAGNETIC_FIELD	37.02	-28.439999	1.62
1560833109163	TYPE_GYROSCOPE	-0.47157288	0.034225464	0.110961914
1560833109163	TYPE_ROTATION_VECTOR	-0.03909759	0.02056378	0.8922424
1560833109163	TYPE_MAGNETIC_FIELD_UNCALIBRATED	96.119995	-50.579998	-87.84
1560833109163	TYPE_GYROSCOPE_UNCALIBRATED	-0.47801208	0.02658081	0.10261536
1560833109163	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9523468	0.0335083	10.529617
1560833109182	TYPE_ACCELEROMETER	-0.7728882	-0.26202393	11.571686
1560833109182	TYPE_MAGNETIC_FIELD	37.26	-28.199999	1.3199999
1560833109182	TYPE_GYROSCOPE	-0.4541626	-0.027770996	0.08653259
1560833109182	TYPE_ROTATION_VECTOR	-0.0377421	0.009180527	0.89189196
1560833109182	TYPE_MAGNETIC_FIELD_UNCALIBRATED	96.36	-50.339996	-88.14
1560833109182	TYPE_GYROSCOPE_UNCALIBRATED	-0.45632935	0.012237549	0.099868774
1560833109182	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8614197	-0.1268158	11.132614
1560833109201	TYPE_ACCELEROMETER	-0.5539398	-0.8626251	13.409378
1560833109201	TYPE_MAGNETIC_FIELD	37.38	-28.199999	0.96
1560833109201	TYPE_GYROSCOPE	-0.48745728	-0.09802246	0.055389404
1560833109201	TYPE_ROTATION_VECTOR	-0.039465267	0.0051868856	0.8923085
1560833109201	TYPE_MAGNETIC_FIELD_UNCALIBRATED	96.479996	-50.339996	-88.5
1560833109201	TYPE_GYROSCOPE_UNCALIBRATED	-0.46702576	-0.070236206	0.0677948
1560833109201	TYPE_ACCELEROMETER_UNCALIBRATED	-0.64367676	-0.5240326	12.352951
1560833109220	TYPE_ACCELEROMETER	-0.46899414	-1.1677094	15.39064
1560833109220	TYPE_MAGNETIC_FIELD	37.32	-28.14	0.42
1560833109220	TYPE_GYROSCOPE	-0.4236145	-0.09741211	0.02268982
1560833109220	TYPE_ROTATION_VECTOR	-0.040723503	6.300347E-4	0.8925983
1560833109220	TYPE_MAGNETIC_FIELD_UNCALIBRATED	96.42	-50.28	-89.04
1560833109220	TYPE_GYROSCOPE_UNCALIBRATED	-0.47953796	-0.10871887	0.034194946
1560833109220	TYPE_ACCELEROMETER_UNCALIBRATED	-0.496521	-1.1365967	14.562729
1560833109240	TYPE_ACCELEROMETER	-0.3972168	-0.96791077	15.22673
1560833109240	TYPE_MAGNETIC_FIELD	37.38	-28.08	0.12
1560833109240	TYPE_GYROSCOPE	-0.123672485	-0.074798584	-0.009063721
1560833109240	TYPE_ROTATION_VECTOR	-0.041712083	-0.0034003598	0.8927292
1560833109240	TYPE_MAGNETIC_FIELD_UNCALIBRATED	96.479996	-50.22	-89.34
1560833109240	TYPE_GYROSCOPE_UNCALIBRATED	-0.29414368	-0.08276367	0.005493164
1560833109240	TYPE_ACCELEROMETER_UNCALIBRATED	-0.46061707	-1.0061951	15.536606
1560833109259	TYPE_ACCELEROMETER	-0.7310028	-1.4680023	14.81636
1560833109259	TYPE_MAGNETIC_FIELD	37.62	-28.14	-0.17999999
1560833109259	TYPE_GYROSCOPE	0.08921814	-0.0867157	-0.061294556
1560833109259	TYPE_ROTATION_VECTOR	-0.041610215	-0.004805711	0.8927161
1560833109259	TYPE_MAGNETIC_FIELD_UNCALIBRATED	96.72	-50.28	-89.64
1560833109259	TYPE_GYROSCOPE_UNCALIBRATED	0.024124146	-0.076660156	-0.034210205
1560833109259	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50727844	-1.1306152	14.886948
1560833109278	TYPE_ACCELEROMETER	-1.2071838	-2.2492523	15.457642
1560833109278	TYPE_MAGNETIC_FIELD	37.86	-28.26	-0.53999996
1560833109278	TYPE_GYROSCOPE	0.013168335	-0.19760132	-0.095199585
1560833109278	TYPE_ROTATION_VECTOR	-0.04048882	-0.004446922	0.8924923
1560833109278	TYPE_MAGNETIC_FIELD_UNCALIBRATED	96.72	-50.28	-89.64
1560833109278	TYPE_GYROSCOPE_UNCALIBRATED	0.07513428	-0.12582397	-0.087677
1560833109278	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9451752	-1.9058838	15.04248
1560833109297	TYPE_ACCELEROMETER	-1.4967194	-2.4347076	16.06662
1560833109297	TYPE_MAGNETIC_FIELD	37.86	-28.26	-0.53999996
1560833109297	TYPE_GYROSCOPE	-0.020141602	-0.31274414	-0.083602905
1560833109297	TYPE_ROTATION_VECTOR	-0.04048882	-0.004446922	0.8924923
1560833109297	TYPE_MAGNETIC_FIELD_UNCALIBRATED	96.96	-50.4	-90.0
1560833109297	TYPE_GYROSCOPE_UNCALIBRATED	-0.032684326	-0.27366638	-0.09957886
1560833109297	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3998108	-2.4215393	15.897919
1560833109317	TYPE_ACCELEROMETER	-1.1581268	-2.4000092	15.292526
1560833109317	TYPE_MAGNETIC_FIELD	37.8	-28.14	-0.78
1560833109317	TYPE_GYROSCOPE	0.22787476	-0.31304932	-0.048461914
1560833109317	TYPE_ROTATION_VECTOR	-0.038745884	-0.005211722	0.8921586
1560833109317	TYPE_MAGNETIC_FIELD_UNCALIBRATED	96.899994	-50.28	-90.24
1560833109317	TYPE_GYROSCOPE_UNCALIBRATED	0.07788086	-0.3176422	-0.06719971
1560833109317	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3866425	-2.3964233	15.79982
1560833109336	TYPE_ACCELEROMETER	-1.0121613	-2.4765778	14.15834
1560833109336	TYPE_MAGNETIC_FIELD	37.8	-28.14	-0.78
1560833109336	TYPE_GYROSCOPE	0.5391083	-0.34970093	-0.08909607
1560833109336	TYPE_ROTATION_VECTOR	-0.038745884	-0.005211722	0.8921586
1560833109336	TYPE_MAGNETIC_FIELD_UNCALIBRATED	96.899994	-50.28	-90.24
1560833109336	TYPE_GYROSCOPE_UNCALIBRATED	0.39186096	-0.3234558	-0.05895996
1560833109336	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0456696	-2.4299164	14.744568
1560833109355	TYPE_ACCELEROMETER	-0.7453766	-2.4789581	12.760925
1560833109355	TYPE_MAGNETIC_FIELD	37.98	-28.199999	-1.0799999
