#	startTime:1560833219576
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969de39e2fc0b4afea034	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560833219577	TYPE_WAYPOINT	81.63163	71.66533
1560833219698	TYPE_ACCELEROMETER	-0.49531555	-0.65682983	9.979279
1560833219698	TYPE_MAGNETIC_FIELD	4.44	32.399998	-23.939999
1560833219698	TYPE_GYROSCOPE	-0.056167603	-0.10656738	-0.6064911
1560833219698	TYPE_ROTATION_VECTOR	-0.033303976	0.0187149	0.04728758
1560833219698	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.559998	4.919998	-84.899994
1560833219698	TYPE_GYROSCOPE_UNCALIBRATED	-0.054367065	-0.10749817	-0.60964966
1560833219698	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41156006	-0.63409424	10.08934
1560833219717	TYPE_ACCELEROMETER	-0.49412537	-0.7154541	10.02713
1560833219717	TYPE_MAGNETIC_FIELD	4.2599998	32.399998	-24.18
1560833219717	TYPE_GYROSCOPE	-0.06762695	-0.005783081	-0.1698761
1560833219717	TYPE_ROTATION_VECTOR	-0.036192406	0.025263011	0.034881417
1560833219717	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.379997	4.919998	-85.14
1560833219717	TYPE_GYROSCOPE_UNCALIBRATED	-0.065826416	-0.006713867	-0.17303467
1560833219717	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5312042	-0.68196106	9.967316
1560833219736	TYPE_ACCELEROMETER	-0.54437256	-0.7621155	10.218552
1560833219736	TYPE_MAGNETIC_FIELD	4.2	32.399998	-24.359999
1560833219736	TYPE_GYROSCOPE	-0.07022095	-0.012191772	-0.036254883
1560833219736	TYPE_ROTATION_VECTOR	-0.038432434	0.021768687	0.045683816
1560833219736	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.379997	4.919998	-85.14
1560833219736	TYPE_GYROSCOPE_UNCALIBRATED	-0.06842041	-0.013122559	-0.039413452
1560833219736	TYPE_ACCELEROMETER_UNCALIBRATED	-0.48095703	-0.74775696	10.102509
1560833219755	TYPE_ACCELEROMETER	-0.6855469	-0.7417755	10.365707
1560833219755	TYPE_MAGNETIC_FIELD	4.2	32.399998	-24.359999
1560833219755	TYPE_GYROSCOPE	-0.050979614	-0.034484863	-0.04083252
1560833219755	TYPE_ROTATION_VECTOR	-0.038432434	0.021768687	0.045683816
1560833219755	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.32	4.919998	-85.32
1560833219755	TYPE_GYROSCOPE_UNCALIBRATED	-0.049179077	-0.03541565	-0.04399109
1560833219755	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6316986	-0.75613403	10.326233
1560833219775	TYPE_ACCELEROMETER	-0.72024536	-0.75613403	10.375275
1560833219775	TYPE_MAGNETIC_FIELD	4.2	32.399998	-24.359999
1560833219775	TYPE_GYROSCOPE	-0.014022827	-0.041519165	-0.024337769
1560833219775	TYPE_ROTATION_VECTOR	-0.038432434	0.021768687	0.045683816
1560833219775	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.32	4.919998	-85.32
1560833219775	TYPE_GYROSCOPE_UNCALIBRATED	-0.01222229	-0.04244995	-0.027496338
1560833219775	TYPE_ACCELEROMETER_UNCALIBRATED	-0.707077	-0.74298096	10.371689
1560833219794	TYPE_ACCELEROMETER	-0.83270264	-0.77407837	10.5392
1560833219794	TYPE_MAGNETIC_FIELD	4.14	32.28	-24.48
1560833219794	TYPE_GYROSCOPE	0.0018615723	-0.046707153	-0.014251709
1560833219794	TYPE_ROTATION_VECTOR	-0.038453676	0.03466806	0.037069134
1560833219794	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.26	4.799999	-85.44
1560833219794	TYPE_GYROSCOPE_UNCALIBRATED	0.0036621094	-0.04763794	-0.017410278
1560833219794	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7537384	-0.76330566	10.412369
1560833219813	TYPE_ACCELEROMETER	-0.90689087	-0.7369995	10.753357
1560833219813	TYPE_MAGNETIC_FIELD	4.14	32.16	-24.48
1560833219813	TYPE_GYROSCOPE	0.0067443848	-0.06777954	-0.011199951
1560833219813	TYPE_ROTATION_VECTOR	-0.034668703	0.041503645	0.030945754
1560833219813	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.26	4.6800003	-85.44
1560833219813	TYPE_GYROSCOPE_UNCALIBRATED	0.008544922	-0.06871033	-0.0143585205
1560833219813	TYPE_ACCELEROMETER_UNCALIBRATED	-0.92004395	-0.7621155	10.70311
1560833219832	TYPE_ACCELEROMETER	-0.7154541	-0.6616211	10.618164
1560833219832	TYPE_MAGNETIC_FIELD	4.08	32.34	-24.66
1560833219832	TYPE_GYROSCOPE	0.0617218	-0.10597229	-0.0032653809
1560833219832	TYPE_ROTATION_VECTOR	-0.03456322	0.040409766	0.030737178
1560833219832	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.199997	4.8600006	-85.619995
1560833219832	TYPE_GYROSCOPE_UNCALIBRATED	0.06352234	-0.106903076	-0.00642395
1560833219832	TYPE_ACCELEROMETER_UNCALIBRATED	-0.80519104	-0.7070923	10.694733
1560833219852	TYPE_ACCELEROMETER	-0.6759796	-0.5862427	10.5260315
1560833219852	TYPE_MAGNETIC_FIELD	4.14	32.28	-24.48
1560833219852	TYPE_GYROSCOPE	0.12463379	-0.12063599	-0.010894775
1560833219852	TYPE_ROTATION_VECTOR	-0.03394352	0.03941056	0.030716904
1560833219852	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.26	4.799999	-85.44
1560833219852	TYPE_GYROSCOPE_UNCALIBRATED	0.12643433	-0.12156677	-0.014053345
1560833219852	TYPE_ACCELEROMETER_UNCALIBRATED	-0.673584	-0.6305084	10.5750885
1560833219871	TYPE_ACCELEROMETER	-0.64367676	-0.42951965	10.11087
1560833219871	TYPE_MAGNETIC_FIELD	4.14	32.34	-24.48
1560833219871	TYPE_GYROSCOPE	0.18634033	-0.1560669	-0.021591187
1560833219871	TYPE_ROTATION_VECTOR	-0.032725617	0.038292848	0.030605763
1560833219871	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.26	4.8600006	-85.44
1560833219871	TYPE_GYROSCOPE_UNCALIBRATED	0.18814087	-0.15699768	-0.024749756
1560833219871	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6759796	-0.52163696	10.384857
1560833219890	TYPE_ACCELEROMETER	-0.56111145	-0.18544006	9.395416
1560833219890	TYPE_MAGNETIC_FIELD	4.2599998	32.34	-24.24
1560833219890	TYPE_GYROSCOPE	0.24621582	-0.17437744	-0.017303467
1560833219890	TYPE_ROTATION_VECTOR	-0.03091226	0.0368526	0.030380765
1560833219890	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.379997	4.8600006	-85.2
1560833219890	TYPE_GYROSCOPE_UNCALIBRATED	0.24801636	-0.17530823	-0.020462036
1560833219890	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6006012	-0.29910278	9.751953
1560833219909	TYPE_ACCELEROMETER	-0.45584106	-0.0095825195	8.715866
1560833219909	TYPE_MAGNETIC_FIELD	4.2	32.399998	-24.24
1560833219909	TYPE_GYROSCOPE	0.26757812	-0.15330505	0.006515503
1560833219909	TYPE_ROTATION_VECTOR	-0.028519625	0.03525444	0.030180043
1560833219909	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.32	4.919998	-85.2
1560833219909	TYPE_GYROSCOPE_UNCALIBRATED	0.26937866	-0.15423584	0.0033569336
1560833219909	TYPE_ACCELEROMETER_UNCALIBRATED	-0.52282715	-0.08615112	9.050858
1560833219929	TYPE_ACCELEROMETER	-0.36491394	-0.0059814453	8.039886
1560833219929	TYPE_MAGNETIC_FIELD	4.2599998	32.579998	-24.359999
1560833219929	TYPE_GYROSCOPE	0.2565918	-0.10443115	0.0471344
1560833219929	TYPE_ROTATION_VECTOR	-0.025902083	0.03385876	0.030192541
1560833219929	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.379997	5.0999985	-85.32
1560833219929	TYPE_GYROSCOPE_UNCALIBRATED	0.25839233	-0.10536194	0.04397583
1560833219929	TYPE_ACCELEROMETER_UNCALIBRATED	-0.34576416	0.010772705	8.353348
1560833219948	TYPE_ACCELEROMETER	-0.5431671	-0.0035858154	7.5876465
1560833219948	TYPE_MAGNETIC_FIELD	4.14	32.579998	-24.539999
1560833219948	TYPE_GYROSCOPE	0.20405579	-0.058013916	0.06637573
1560833219948	TYPE_ROTATION_VECTOR	-0.023405362	0.03294419	0.030583324
1560833219948	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.26	5.0999985	-85.5
1560833219948	TYPE_GYROSCOPE_UNCALIBRATED	0.20585632	-0.058944702	0.06321716
1560833219948	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47976685	-0.0023956299	7.841278
1560833219967	TYPE_ACCELEROMETER	-0.6424713	-0.06939697	7.0576324
1560833219967	TYPE_MAGNETIC_FIELD	3.8999999	32.399998	-24.539999
1560833219967	TYPE_GYROSCOPE	0.12495422	-0.043655396	0.07766724
1560833219967	TYPE_ROTATION_VECTOR	-0.021415392	0.0324625	0.031165045
1560833219967	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.02	4.919998	-85.5
1560833219967	TYPE_GYROSCOPE_UNCALIBRATED	0.12675476	-0.04458618	0.07450867
1560833219967	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6017914	-0.037094116	7.301697
1560833219986	TYPE_ACCELEROMETER	-0.68673706	-0.2632141	7.1078796
1560833219986	TYPE_MAGNETIC_FIELD	3.84	32.28	-24.84
1560833219986	TYPE_GYROSCOPE	-5.79834E-4	-0.027160645	0.08592224
1560833219986	TYPE_ROTATION_VECTOR	-0.020172484	0.03209583	0.031880844
1560833219986	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.96	4.799999	-85.8
1560833219986	TYPE_GYROSCOPE_UNCALIBRATED	0.0012207031	-0.02809143	0.08276367
1560833219986	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6963196	-0.14477539	6.941574
1560833220006	TYPE_ACCELEROMETER	-0.75971985	-0.4618225	7.2131653
1560833220006	TYPE_MAGNETIC_FIELD	3.6	32.16	-24.96
1560833220006	TYPE_GYROSCOPE	-0.12550354	-0.033584595	0.08103943
1560833220006	TYPE_ROTATION_VECTOR	-0.020136232	0.031852055	0.03270627
1560833220006	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.719997	4.6800003	-85.92
1560833220006	TYPE_GYROSCOPE_UNCALIBRATED	-0.123703	-0.03451538	0.07788086
1560833220006	TYPE_ACCELEROMETER_UNCALIBRATED	-0.66999817	-0.38883972	7.2131653
1560833220025	TYPE_ACCELEROMETER	-0.84347534	-0.48095703	7.100708
1560833220025	TYPE_MAGNETIC_FIELD	3.48	32.16	-25.14
1560833220025	TYPE_GYROSCOPE	-0.18965149	-0.10076904	0.044692993
1560833220025	TYPE_ROTATION_VECTOR	-0.021293942	0.031508807	0.033525333
1560833220025	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.6	4.6800003	-86.1
1560833220025	TYPE_GYROSCOPE_UNCALIBRATED	-0.18785095	-0.10169983	0.041534424
1560833220025	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8159485	-0.4749756	7.2107697
1560833220044	TYPE_ACCELEROMETER	-0.8913269	-0.50608826	6.660431
1560833220044	TYPE_MAGNETIC_FIELD	3.3	32.04	-25.14
1560833220044	TYPE_GYROSCOPE	-0.22599792	-0.101989746	0.030639648
1560833220044	TYPE_ROTATION_VECTOR	-0.023056226	0.030498318	0.034031417
1560833220044	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.42	4.5600014	-86.1
1560833220044	TYPE_GYROSCOPE_UNCALIBRATED	-0.22419739	-0.10292053	0.02748108
1560833220044	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8650055	-0.5001068	6.9427795
1560833220063	TYPE_ACCELEROMETER	-0.8422699	-0.22013855	6.138794
1560833220063	TYPE_MAGNETIC_FIELD	3.24	31.859999	-25.08
1560833220063	TYPE_GYROSCOPE	-0.33351135	-0.09222412	0.02758789
1560833220063	TYPE_ROTATION_VECTOR	-0.02518395	0.029450083	0.03441512
1560833220063	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.36	4.379999	-86.04
1560833220063	TYPE_GYROSCOPE_UNCALIBRATED	-0.33171082	-0.09315491	0.024429321
1560833220063	TYPE_ACCELEROMETER_UNCALIBRATED	-0.95474243	-0.44985962	6.3086853
1560833220083	TYPE_ACCELEROMETER	-1.154541	-0.51924133	6.251251
1560833220083	TYPE_MAGNETIC_FIELD	3.1799998	32.04	-25.08
1560833220083	TYPE_GYROSCOPE	-0.5931244	-0.11390686	0.022384644
1560833220083	TYPE_ROTATION_VECTOR	-0.028323378	0.0284661	0.03479427
1560833220083	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.3	4.5600014	-86.04
1560833220083	TYPE_GYROSCOPE_UNCALIBRATED	-0.59132385	-0.11483765	0.019226074
1560833220083	TYPE_ACCELEROMETER_UNCALIBRATED	-0.98942566	-0.33499146	6.1375885
1560833220102	TYPE_ACCELEROMETER	-1.159317	-0.65922546	6.8901367
1560833220102	TYPE_MAGNETIC_FIELD	3.06	32.28	-24.84
1560833220102	TYPE_GYROSCOPE	-0.89733887	-0.10107422	0.014144897
1560833220102	TYPE_ROTATION_VECTOR	-0.03392787	0.027188573	0.03519976
1560833220102	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.18	4.799999	-85.8
1560833220102	TYPE_GYROSCOPE_UNCALIBRATED	-0.89553833	-0.102005005	0.010986328
1560833220102	TYPE_ACCELEROMETER_UNCALIBRATED	-0.99780273	-0.48335266	6.55394
1560833220121	TYPE_ACCELEROMETER	-1.4931183	-1.0492554	8.6440735
1560833220121	TYPE_MAGNETIC_FIELD	3.06	32.46	-24.84
1560833220121	TYPE_GYROSCOPE	-1.189331	-0.1026001	-0.013336182
1560833220121	TYPE_ROTATION_VECTOR	-0.042440053	0.025924189	0.03559919
1560833220121	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.18	4.9799995	-85.8
1560833220121	TYPE_GYROSCOPE_UNCALIBRATED	-1.1875305	-0.103530884	-0.016494751
1560833220121	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4153595	-0.8339081	7.5960236
1560833220140	TYPE_ACCELEROMETER	-1.5014954	-1.3232422	10.266418
1560833220140	TYPE_MAGNETIC_FIELD	3.06	32.46	-24.84
1560833220140	TYPE_GYROSCOPE	-1.3319702	-0.0289917	-0.0032653809
1560833220140	TYPE_ROTATION_VECTOR	-0.042440053	0.025924189	0.03559919
1560833220140	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.18	4.9799995	-85.8
1560833220140	TYPE_GYROSCOPE_UNCALIBRATED	-1.3301697	-0.029922485	-0.00642395
1560833220140	TYPE_ACCELEROMETER_UNCALIBRATED	-1.537384	-1.2370911	9.541382
1560833220160	TYPE_ACCELEROMETER	-1.2502594	-1.4895325	10.989044
1560833220160	TYPE_MAGNETIC_FIELD	3.24	33.3	-24.119999
1560833220160	TYPE_GYROSCOPE	-1.2556152	0.1264801	0.023620605
1560833220160	TYPE_ROTATION_VECTOR	-0.06650383	0.023783606	0.03609815
1560833220160	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.36	5.8199997	-85.08
1560833220160	TYPE_GYROSCOPE_UNCALIBRATED	-1.2538147	0.12554932	0.020462036
1560833220160	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3292236	-1.4069824	10.72583
1560833220179	TYPE_ACCELEROMETER	-1.3447723	-1.5278168	11.7344055
1560833220179	TYPE_MAGNETIC_FIELD	3.36	33.54	-23.46
1560833220179	TYPE_GYROSCOPE	-1.1548309	0.28744507	0.02116394
1560833220179	TYPE_ROTATION_VECTOR	-0.07851132	0.02455989	0.036522217
1560833220179	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.48	6.0600014	-84.42
1560833220179	TYPE_GYROSCOPE_UNCALIBRATED	-1.1530304	0.28651428	0.018005371
1560833220179	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2849426	-1.5302124	11.319244
1560833220193	TYPE_WIFI	7c67c956ac9115e7bf481fdf26ef916c30a8a393	8b10a25255b3b46d765c8e08abe19cb0c8986442	-41	2417	1560833205814
1560833220193	TYPE_WIFI	1a11e38d288e588521dded65b0bba872f3642b40	381579f84ad9192234138038508f8fd1e981d18b	-80	5180	1560833219631
1560833220193	TYPE_WIFI	1a500343360c29fef85ac92011d0ff444ba8f275	5fc29b0d5a43619458bd82f34f7f96c009edc3ae	-55	2442	1560833205989
1560833220193	TYPE_WIFI	c0aaec09705ce55b3fec753eba06990cb4075ffb	1bc6c3b5be36a18da020f4eb47a5b352067325e4	-69	2422	1560833204633
1560833220193	TYPE_WIFI	b77fc82bbc6e343bad13b5ccb90c2503f901d78e	2c1db679bcb9d19893e2fb5b1791ac0e4899bfad	-69	2422	1560833204644
1560833220193	TYPE_WIFI	6e1f938a3268a16629796efc387cce8c2b41227f	1e2c7f4e04a7d8b1d5da659fa29fde8c586b56b1	-71	2452	1560833219918
1560833220193	TYPE_WIFI	90800ada462b4f7b2521e290f446752fc5d5cd29	2254ad3382810380ef27243c5f23f008643f8b08	-70	2437	1560833202928
1560833220193	TYPE_WIFI	e6b1ba4632f677aa4b4d4c34380ace37a5c924e5	0005575aeb390f796d7a326098c843f8854f95a5	-53	2447	1560833219881
1560833220193	TYPE_WIFI	3095e92d8fc5b65bfe7be7455c8ccc316b0dfffc	23f7979bd4c01feb1dccb51a54fdd3b88f68b5b8	-49	2457	1560833219953
1560833220193	TYPE_WIFI	9163c607aef1b2f958daeaacdf3e39bf29e9de2c	bdf7521ec375d44ead9ef291f43271b0a8b550ef	-69	2457	1560833205499
1560833220193	TYPE_WIFI	cb73a2a96103e09ff9bb5af7a5560d6c5f84e38a	dbc0fd5cb8d3d435b5873f747bed6982adba6f6b	-62	2472	1560833220093
1560833220193	TYPE_WIFI	b77fc82bbc6e343bad13b5ccb90c2503f901d78e	c77dbc60a2fe88902328c249efb05c5f1c94af8b	-30	2472	1560833220100
1560833220193	TYPE_WIFI	c0aaec09705ce55b3fec753eba06990cb4075ffb	8d6724794a70ad17de9a6455ae63938f0e1d0069	-30	2472	1560833220096
1560833220193	TYPE_WIFI	919b82a0b4b5d5896760f3a05f1930eaf0d6d1e1	a4f20be3a0dc672089528e8d5aef76ccaa50ef17	-76	2452	1560833206062
1560833220193	TYPE_WIFI	6405d76fb07929c8255ac745081dd03d0af1c7ee	e98eec5dec30b28f58fb8b7d2df694cafa180972	-55	2437	1560833219800
1560833220193	TYPE_WIFI	919b82a0b4b5d5896760f3a05f1930eaf0d6d1e1	4aaae8a407fd9c6e1be26e15b96afeae676f2353	-92	5320	1560833201339
1560833220193	TYPE_WIFI	919b82a0b4b5d5896760f3a05f1930eaf0d6d1e1	e6f5e0b72ee65bcdcbc7090aa5f8b7df7fc167e8	-79	2412	1560833203386
