#	startTime:1560833284521
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969de39e2fc0b4afea034	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560833284521	TYPE_WAYPOINT	76.65091	152.81885
1560833284624	TYPE_ACCELEROMETER	0.5240326	0.28474426	13.753952
1560833284624	TYPE_MAGNETIC_FIELD	-11.099999	-26.16	-31.679998
1560833284624	TYPE_GYROSCOPE	0.36532593	-0.31549072	-1.63031
1560833284624	TYPE_ROTATION_VECTOR	-3.5601578E-4	-0.041277796	-0.9770411
1560833284624	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.02	-53.64	-92.64
1560833284624	TYPE_GYROSCOPE_UNCALIBRATED	0.36712646	-0.3164215	-1.6334686
1560833284624	TYPE_ACCELEROMETER_UNCALIBRATED	0.5240326	0.28474426	13.753952
1560833284643	TYPE_ACCELEROMETER	0.21894836	-0.32662964	13.603195
1560833284643	TYPE_MAGNETIC_FIELD	-10.86	-26.46	-31.56
1560833284643	TYPE_GYROSCOPE	0.19581604	-0.22706604	-0.7153778
1560833284643	TYPE_ROTATION_VECTOR	-0.016911276	-0.014121771	-0.98929155
1560833284643	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.26	-53.94	-92.52
1560833284643	TYPE_GYROSCOPE_UNCALIBRATED	0.36712646	-0.3164215	-1.6334686
1560833284643	TYPE_ACCELEROMETER_UNCALIBRATED	0.21894836	-0.32662964	13.603195
1560833284662	TYPE_ACCELEROMETER	0.06820679	-0.879364	12.957138
1560833284662	TYPE_MAGNETIC_FIELD	-10.92	-26.76	-31.619999
1560833284662	TYPE_GYROSCOPE	0.21810913	-0.25164795	-0.3771057
1560833284662	TYPE_ROTATION_VECTOR	-0.010322516	0.011694009	-0.9842056
1560833284662	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.199997	-54.239998	-92.58
1560833284662	TYPE_GYROSCOPE_UNCALIBRATED	0.19761658	-0.22799683	-0.7185364
1560833284662	TYPE_ACCELEROMETER_UNCALIBRATED	0.06820679	-0.879364	12.957138
1560833284681	TYPE_ACCELEROMETER	0.18424988	-0.8135681	12.362518
1560833284681	TYPE_MAGNETIC_FIELD	-10.74	-26.76	-31.38
1560833284681	TYPE_GYROSCOPE	0.42060852	-0.1768341	-0.28579712
